region_bld,clim,urt,arch,eneff,value
C-EEU-HUN,Zone_5A Cool Humid,urb,inf,ns,1.0
C-WEU-IRL,Zone_5A Cool Humid,rur,inf,ns,0.0
C-WEU-IRL,Zone_5A Cool Humid,urb,inf,ns,0.0
C-WEU-IRL,Zone_4A Mixed Humid,rur,inf,ns,0.0
C-WEU-IRL,Zone_4A Mixed Humid,urb,inf,ns,0.0
C-WEU-ITA,Zone_4A Mixed Humid,rur,inf,ns,0.9291
C-WEU-ITA,Zone_4A Mixed Humid,urb,inf,ns,0.9291
C-WEU-ITA,Zone_5A Cool Humid,rur,inf,ns,0.9291
C-WEU-ITA,Zone_5A Cool Humid,urb,inf,ns,0.9291
C-WEU-ITA,Zone_7A Very cold Humid,rur,inf,ns,0.9291
C-WEU-ITA,Zone_7A Very cold Humid,urb,inf,ns,0.9291
C-WEU-ITA,Zone_6A Cold Humid,rur,inf,ns,0.9291
C-WEU-ITA,Zone_6A Cold Humid,urb,inf,ns,0.9291
C-WEU-ITA,Zone_3A Warm Humid,rur,inf,ns,0.9291
C-WEU-ITA,Zone_3A Warm Humid,urb,inf,ns,0.9291
C-WEU-ITA,Zone_4C Mixed Marine,rur,inf,ns,0.9291
C-WEU-ITA,Zone_4C Mixed Marine,urb,inf,ns,0.9291
C-WEU-ITA,Zone_5C Cool Marine,rur,inf,ns,0.9291
C-WEU-ITA,Zone_5C Cool Marine,urb,inf,ns,0.9291
C-EEU-LTU,Zone_6A Cold Humid,rur,inf,ns,1.0
C-EEU-LTU,Zone_6A Cold Humid,urb,inf,ns,1.0
C-EEU-LTU,Zone_5A Cool Humid,rur,inf,ns,1.0
C-EEU-LTU,Zone_5A Cool Humid,urb,inf,ns,1.0
C-WEU-LUX,Zone_5A Cool Humid,rur,inf,ns,0.98761
C-WEU-LUX,Zone_5A Cool Humid,urb,inf,ns,0.98761
C-EEU-LVA,Zone_6A Cold Humid,rur,inf,ns,1.0
C-EEU-LVA,Zone_6A Cold Humid,urb,inf,ns,1.0
C-WEU-MLT,Zone_3A Warm Humid,rur,inf,ns,1.0
C-WEU-MLT,Zone_3A Warm Humid,urb,inf,ns,1.0
C-WEU-NLD,Zone_5A Cool Humid,rur,inf,ns,0.99991
C-WEU-NLD,Zone_5A Cool Humid,urb,inf,ns,0.99991
C-WEU-NLD,Zone_4A Mixed Humid,rur,inf,ns,0.99991
C-WEU-NLD,Zone_4A Mixed Humid,urb,inf,ns,0.99991
C-EEU-POL,Zone_5A Cool Humid,rur,inf,ns,1.0
C-EEU-POL,Zone_5A Cool Humid,urb,inf,ns,1.0
C-EEU-POL,Zone_6A Cold Humid,rur,inf,ns,1.0
C-EEU-POL,Zone_6A Cold Humid,urb,inf,ns,1.0
C-WEU-PRT,Zone_3C Warm Marine,rur,inf,ns,0.99969
C-WEU-PRT,Zone_3C Warm Marine,urb,inf,ns,0.99969
C-WEU-PRT,Zone_4C Mixed Marine,rur,inf,ns,0.99969
C-WEU-PRT,Zone_4C Mixed Marine,urb,inf,ns,0.99969
C-WEU-PRT,Zone_4A Mixed Humid,rur,inf,ns,0.99969
