region_bld,urt,arch,year,value
C-EEU-BGR,rur,mfh,2015,2.4794861664070003
C-EEU-BGR,urb,mfh,2070,2.2802417423207233
C-EEU-BGR,urb,mfh,2075,2.2802417423207233
C-EEU-BGR,urb,mfh,2080,2.2802417423207233
C-EEU-BGR,urb,mfh,2085,2.2802417423207233
C-EEU-BGR,urb,mfh,2090,2.2802417423207233
C-EEU-BGR,urb,mfh,2095,2.2802417423207233
C-EEU-BGR,sub,mfh,2015,2.579108378450138
C-EEU-BGR,sub,mfh,2095,2.579108378450138
C-EEU-BGR,sub,mfh,2090,2.579108378450138
C-EEU-BGR,sub,mfh,2085,2.579108378450138
C-EEU-BGR,sub,mfh,2080,2.579108378450138
C-EEU-BGR,sub,mfh,2075,2.579108378450138
C-EEU-BGR,sub,mfh,2070,2.579108378450138
C-EEU-BGR,sub,mfh,2065,2.579108378450138
C-EEU-BGR,sub,mfh,2060,2.579108378450138
C-EEU-BGR,sub,mfh,2055,2.579108378450138
C-EEU-BGR,sub,mfh,2050,2.579108378450138
C-EEU-BGR,sub,mfh,2045,2.579108378450138
C-EEU-BGR,sub,mfh,2040,2.579108378450138
C-EEU-BGR,sub,mfh,2035,2.579108378450138
C-EEU-BGR,sub,mfh,2030,2.579108378450138
C-EEU-BGR,sub,mfh,2025,2.579108378450138
C-EEU-BGR,sub,mfh,2020,2.579108378450138
C-EEU-BGR,urb,mfh,2065,2.2802417423207233
C-EEU-BGR,urb,mfh,2060,2.2802417423207233
C-EEU-BGR,urb,mfh,2100,2.2802417423207233
C-EEU-BGR,urb,mfh,2050,2.2802417423207233
C-EEU-BGR,rur,mfh,2020,2.4794861664070003
C-EEU-BGR,rur,mfh,2025,2.4794861664070003
C-EEU-BGR,rur,mfh,2030,2.4794861664070003
C-EEU-BGR,urb,mfh,2055,2.2802417423207233
C-EEU-BGR,rur,mfh,2040,2.4794861664070003
C-EEU-BGR,rur,mfh,2045,2.4794861664070003
C-EEU-BGR,rur,mfh,2050,2.4794861664070003
C-EEU-BGR,rur,mfh,2055,2.4794861664070003
C-EEU-BGR,rur,mfh,2060,2.4794861664070003
C-EEU-BGR,rur,mfh,2065,2.4794861664070003
C-EEU-BGR,rur,mfh,2070,2.4794861664070003
C-EEU-BGR,rur,mfh,2075,2.4794861664070003
C-EEU-BGR,rur,mfh,2035,2.4794861664070003
C-EEU-BGR,rur,mfh,2085,2.4794861664070003
C-EEU-BGR,rur,mfh,2080,2.4794861664070003
