region_bld,year,value
C-EEU-BGR,2010,0.25065743184150324
C-EEU-BGR,2015,0.24233377480002752
C-EEU-BGR,2020,0.23510920440859948
C-EEU-BGR,2025,0.22715499069249023
C-EEU-BGR,2030,0.2185432118774802
C-EEU-BGR,2035,0.2093961560319246
C-EEU-BGR,2040,0.19987464053516354
C-EEU-BGR,2045,0.1901653600779856
C-EEU-BGR,2050,0.18046786075722063
C-EEU-BGR,2055,0.17098187668509707
C-EEU-BGR,2060,0.16189588364157692
C-EEU-BGR,2065,0.15337781143103874
C-EEU-BGR,2070,0.14556890507463108
C-EEU-BGR,2075,0.13858173121815065
C-EEU-BGR,2080,0.1325032920525619
C-EEU-BGR,2085,0.1274041427818035
C-EEU-BGR,2090,0.12335432481031233
C-EEU-BGR,2095,0.12044684588698355
C-EEU-BGR,2100,0.1188293859368059
C-EEU-CZE,2010,0.4330813565698495
C-EEU-CZE,2015,0.4394136889861965
C-EEU-CZE,2020,0.44280189147485477
C-EEU-CZE,2025,0.4434976322370358
C-EEU-CZE,2030,0.44182642802485206
C-EEU-CZE,2035,0.438121407614101
C-EEU-CZE,2040,0.43272054495868706
C-EEU-CZE,2045,0.42596457835591456
C-EEU-CZE,2050,0.418195373793
C-EEU-CZE,2055,0.40975459771469497
C-EEU-CZE,2060,0.4009826400078673
C-EEU-CZE,2065,0.3922177881725396
C-EEU-CZE,2070,0.3837957056150416
C-EEU-CZE,2075,0.3760493109096821
C-EEU-CZE,2080,0.36930918413567687
C-EEU-CZE,2085,0.3639046280349756
C-EEU-CZE,2090,0.36016546883654266
C-EEU-CZE,2095,0.3584245797175977
C-EEU-CZE,2100,0.35902094807254487
C-EEU-EST,2010,0.16024634604768298
C-EEU-EST,2015,0.16098138778722423
C-EEU-EST,2020,0.16112794407946454
C-EEU-EST,2025,0.16102454724244658
C-EEU-EST,2030,0.1607135136578336
C-EEU-EST,2035,0.16025054482768483
C-EEU-EST,2040,0.15969322930195243
C-EEU-EST,2045,0.15909132405394213
C-EEU-EST,2050,0.15847828014806448
C-EEU-EST,2055,0.15786398943214777
C-EEU-EST,2060,0.1572292208795458
C-EEU-EST,2065,0.15652272033274942
C-EEU-EST,2070,0.1556624287968362
C-EEU-EST,2075,0.15454260499154085
C-EEU-EST,2080,0.15304858828795725
C-EEU-EST,2085,0.1510802090928822
C-EEU-EST,2090,0.14858319633338485
C-EEU-EST,2095,0.14558537265878554
C-EEU-EST,2100,0.14223152408890888
C-EEU-HRV,2010,0.1894091219631943
C-EEU-HRV,2015,0.18546429376621953
C-EEU-HRV,2020,0.1817848367308804
C-EEU-HRV,2025,0.17762472158868328
C-EEU-HRV,2030,0.1730553379617139
C-EEU-HRV,2035,0.16815768946753362
C-EEU-HRV,2040,0.1630199626638476
C-EEU-HRV,2045,0.15773526593178328
C-EEU-HRV,2050,0.1523995283129358
C-EEU-HRV,2055,0.147109578272846
C-EEU-HRV,2060,0.14196145705669447
C-EEU-HRV,2065,0.1370490600462591
C-EEU-HRV,2070,0.1324632393464195
C-EEU-HRV,2075,0.1282915355152698
C-EEU-HRV,2080,0.12461872579757588
C-EEU-HRV,2085,0.12152836669140815
C-EEU-HRV,2090,0.11910545486332186
C-EEU-HRV,2095,0.11744022003213063
C-EEU-HRV,2100,0.11663289427169811
C-EEU-HUN,2010,0.5254110684771031
C-EEU-HUN,2015,0.5225934387152661
C-EEU-HUN,2020,0.5220139265523928
C-EEU-HUN,2025,0.5212060924306011
C-EEU-HUN,2030,0.5202240119834567
C-EEU-HUN,2035,0.5191214676002552
C-EEU-HUN,2040,0.5179494411046718
C-EEU-HUN,2045,0.5167536583172677
C-EEU-HUN,2050,0.5155721584219137
C-EEU-HUN,2055,0.5144328922287824
C-EEU-HUN,2060,0.513351389871461
C-EEU-HUN,2065,0.5123285822850365
C-EEU-HUN,2070,0.5113489131593664
C-EEU-HUN,2075,0.5103789385300393
C-EEU-HUN,2080,0.5093666767608015
C-EEU-HUN,2085,0.5082420355643745
C-EEU-HUN,2090,0.5069186929947291
C-EEU-HUN,2095,0.5052978282276943
C-EEU-HUN,2100,0.5032740622250063
C-EEU-LTU,2010,0.17420789260937322
C-EEU-LTU,2015,0.16806061931757327
C-EEU-LTU,2020,0.16368908365774712
C-EEU-LTU,2025,0.16001257478670758
C-EEU-LTU,2030,0.15700779614464205
C-EEU-LTU,2035,0.15467410340834825
C-EEU-LTU,2040,0.15301842139225014
C-EEU-LTU,2045,0.1520397734092054
C-EEU-LTU,2050,0.15171408042489332
C-EEU-LTU,2055,0.15198033340319267
C-EEU-LTU,2060,0.15272978388739875
C-EEU-LTU,2065,0.1538003763646982
C-EEU-LTU,2070,0.15497913753775128
C-EEU-LTU,2075,0.1560154396338961
C-EEU-LTU,2080,0.15664769694216643
C-EEU-LTU,2085,0.1566448569917556
C-EEU-LTU,2090,0.1558618411695536
C-EEU-LTU,2095,0.15430498448570895
C-EEU-LTU,2100,0.15220006085203155
C-EEU-LVA,2010,0.25486510084565894
C-EEU-LVA,2015,0.2471288793767136
C-EEU-LVA,2020,0.24247670131054408
C-EEU-LVA,2025,0.23857386095817967
C-EEU-LVA,2030,0.23531206693386558
C-EEU-LVA,2035,0.23258164007753362
C-EEU-LVA,2040,0.23027136943456522
C-EEU-LVA,2045,0.2282688413045415
C-EEU-LVA,2050,0.22646138812562847
C-EEU-LVA,2055,0.22473781183367644
C-EEU-LVA,2060,0.22299102519470607
C-EEU-LVA,2065,0.2211217143151204
C-EEU-LVA,2070,0.21904304594906734
C-EEU-LVA,2075,0.216686317391859
C-EEU-LVA,2080,0.2140072755685231
C-EEU-LVA,2085,0.21099262951401931
C-EEU-LVA,2090,0.2076660782595916
C-EEU-LVA,2095,0.20409302286869999
C-EEU-LVA,2100,0.2003830853917263
C-EEU-POL,2010,0.3489410960480341
C-EEU-POL,2015,0.3518604264626605
C-EEU-POL,2020,0.3518217846588136
C-EEU-POL,2025,0.3489103798920722
C-EEU-POL,2030,0.34353501986101453
C-EEU-POL,2035,0.3361112438758285
C-EEU-POL,2040,0.32705630420188014
C-EEU-POL,2045,0.31678485864507017
C-EEU-POL,2050,0.30570504021440226
C-EEU-POL,2055,0.29421478567071424
C-EEU-POL,2060,0.282698517216088
C-EEU-POL,2065,0.2715245165162757
C-EEU-POL,2070,0.2610436196925917
C-EEU-POL,2075,0.25159016974430637
C-EEU-POL,2080,0.2434864009878168
C-EEU-POL,2085,0.23705142797563378
C-EEU-POL,2090,0.23261552900277577
C-EEU-POL,2095,0.2305392342849534
C-EEU-POL,2100,0.23123485504919938
C-EEU-ROU,2010,0.4110984778686491
C-EEU-ROU,2015,0.3985258181622774
C-EEU-ROU,2020,0.3821904175135587
C-EEU-ROU,2025,0.3655350228337748
