region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT333,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT342,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT342,0.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE100,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE100,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE211,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE211,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE212,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE212,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE213,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE213,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE223,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE223,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE224,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE224,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE225,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE225,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE231,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE231,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE232,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE232,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE233,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE233,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE234,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE234,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE235,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE235,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE236,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE236,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE241,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE241,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE242,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE242,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE251,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE251,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE252,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE252,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE253,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE253,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE254,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE254,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE255,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE255,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE256,4.4999092
