region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2095,78.79424703647335
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2100,79.65745640758429
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2015,35.45572604611439
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2020,38.24678628076162
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2025,41.01215985840727
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2030,43.71557517540854
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2035,46.32426169927083
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2040,48.81041141497521
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2045,51.152128876612565
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2050,53.333832610650646
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2055,55.34614956693031
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2060,57.18540215714284
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2065,58.85281647140168
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2070,60.35358301008142
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2075,61.69588394080676
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2080,62.88997340644275
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2085,63.94736670008058
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2090,64.88016686018119
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2095,65.70053552462623
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2100,66.4203002279627
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2015,33.340256302773255
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2020,35.96478763811201
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2025,38.56516489683276
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2030,41.10728065383675
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2035,43.56031961386046
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2040,45.89813292365328
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2045,48.100131559686176
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2050,50.1516637128452
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2055,52.04391556204523
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2060,53.77342893039787
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2065,55.34135680159862
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2070,56.752579941493345
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2075,58.014792330522454
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2080,59.137636329174434
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2085,60.13194012975154
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2090,61.00908466511288
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2095,61.780505946780394
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2100,62.45732580932508
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2015,37.09539588561687
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2020,40.015530254515
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2025,42.90879008053285
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2030,45.73722635817163
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2035,48.46655304039252
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2040,51.067676130368945
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2045,53.517687619389335
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2050,55.80028547459224
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2055,57.9056631565585
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2060,59.829973000361406
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2065,61.574497810928015
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2070,63.14466813834525
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2075,64.54904452919284
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2080,65.79835532479014
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2085,66.90464836810894
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2090,67.88058639434414
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2095,68.73889346525216
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2100,69.4919440834958
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2015,36.449874102175116
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2020,39.31919326601422
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2025,42.16210554238171
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2030,44.94132230532921
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2035,47.62315416127233
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2040,50.17901335745919
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2045,52.586390565509454
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2050,54.8292674052132
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2055,56.89800800403464
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2060,58.78883164174918
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2065,60.50299882376481
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2070,62.04584556082082
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,sfh,2075,63.425783455321586
