year,region_bld,clim,arch,urt,value
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,rur,0.139
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,urb,0.087
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,rur,0.067
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,urb,0.044
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,rur,0.142
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,urb,0.118
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,rur,0.075
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,urb,0.062
2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,rur,0.391
2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,urb,0.168
2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,rur,0.066
2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,urb,0.048
2015,C-WEU-ESP,Zone_2B Hot Dry,mfh,urb,0.293
2015,C-WEU-ESP,Zone_2B Hot Dry,sfh,urb,0.245
2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,rur,0.377
2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,urb,0.241
2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,rur,0.357
2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,urb,0.372
2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,rur,0.354
2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,urb,0.279
2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,rur,0.423
2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,urb,0.384
2015,C-WEU-ESP,Zone_3C Warm Marine,mfh,urb,0.295
2015,C-WEU-ESP,Zone_3C Warm Marine,sfh,urb,0.321
2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,rur,0.385
2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,urb,0.255
2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,rur,0.635
2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,urb,0.488
2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,rur,0.412
2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,urb,0.28
2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,rur,0.608
2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,urb,0.483
2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,rur,0.192
2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,urb,0.101
2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,rur,0.087
2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,urb,0.071
2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,rur,0.193
2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,urb,0.134
2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,rur,0.109
2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,urb,0.084
2015,C-WEU-FRA,Zone_0A Extremely hot Humid,mfh,urb,0.256
2015,C-WEU-FRA,Zone_0A Extremely hot Humid,sfh,urb,0.256
2015,C-WEU-FRA,Zone_1A Very hot Humid,mfh,urb,0.24
2015,C-WEU-FRA,Zone_1A Very hot Humid,sfh,urb,0.21
2015,C-WEU-FRA,Zone_2A Hot Humid,mfh,urb,0.139
2015,C-WEU-FRA,Zone_2A Hot Humid,sfh,urb,0.111
2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,rur,0.335
2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,urb,0.244
2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,rur,0.207
2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,urb,0.183
2015,C-WEU-FRA,Zone_3C Warm Marine,mfh,urb,0.337
2015,C-WEU-FRA,Zone_3C Warm Marine,sfh,urb,0.322
2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,rur,0.263
2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,urb,0.147
2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,rur,0.2
2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,urb,0.104
2015,C-WEU-FRA,Zone_4C Mixed Marine,mfh,rur,0.411
2015,C-WEU-FRA,Zone_4C Mixed Marine,sfh,rur,0.366
2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,rur,0.274
2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,urb,0.227
2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,rur,0.246
2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,urb,0.126
2015,C-WEU-FRA,Zone_7A Very cold Humid,mfh,urb,0.516
2015,C-WEU-FRA,Zone_7A Very cold Humid,sfh,urb,0.263
2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,rur,0.453
2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,urb,0.234
2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,rur,0.518
2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,urb,0.422
2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,rur,0.337
2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,urb,0.262
2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,rur,0.443
2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,urb,0.402
2015,C-WEU-GRC,Zone_4C Mixed Marine,mfh,urb,0.22
2015,C-WEU-GRC,Zone_4C Mixed Marine,sfh,urb,0.327
2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,rur,0.343
2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,urb,0.313
2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,rur,0.401
2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,urb,0.375
2015,C-WEU-GRC,Zone_5C Cool Marine,mfh,urb,0.376
2015,C-WEU-GRC,Zone_5C Cool Marine,sfh,urb,0.401
2015,C-WEU-IRL,Zone_4A Mixed Humid,mfh,rur,0.208
2015,C-WEU-IRL,Zone_4A Mixed Humid,sfh,rur,0.148
2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,rur,0.267
2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,urb,0.134
2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,rur,0.154
2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,urb,0.068
2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,rur,0.337
2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,urb,0.269
2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,rur,0.357
2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,urb,0.367
2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,rur,0.344
2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,urb,0.205
2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,rur,0.34
2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,urb,0.241
2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,rur,0.461
2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,urb,0.322
2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,rur,0.511
2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,urb,0.402
2015,C-WEU-ITA,Zone_5A Cool Humid,mfh,urb,0.239
2015,C-WEU-ITA,Zone_5A Cool Humid,sfh,urb,0.256
2015,C-WEU-ITA,Zone_5C Cool Marine,mfh,urb,0.308
2015,C-WEU-ITA,Zone_5C Cool Marine,sfh,urb,0.341
2015,C-WEU-ITA,Zone_6A Cold Humid,mfh,urb,0.561
2015,C-WEU-ITA,Zone_6A Cold Humid,sfh,urb,0.554
