region_bld,clim,inc_cl,year,urt,region_nuts,value
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,rur,C-WEU-AUT-AT333,0.03443409
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,urb,C-WEU-AUT-AT333,0.06698321
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,rur,C-WEU-AUT-AT334,0.03443409
C-WEU-AUT,Zone_7A Very cold Humid,q1,2015,urb,C-WEU-AUT-AT334,0.06698321
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT335,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT335,0.06698321
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT341,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT341,0.06698321
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,rur,C-WEU-AUT-AT342,0.03443409
C-WEU-AUT,Zone_6A Cold Humid,q1,2015,urb,C-WEU-AUT-AT342,0.06698321
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE100,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE100,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE211,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE211,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE212,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE212,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE213,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE213,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE223,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE223,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE224,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE224,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE225,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE225,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE231,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE231,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE232,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE232,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE233,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE233,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE234,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE234,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE235,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE235,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE236,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE236,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE241,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE241,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE242,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE242,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE251,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE251,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE252,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE252,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE253,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE253,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE254,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE254,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE255,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE255,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE256,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE256,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE257,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE257,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE258,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE258,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE310,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE310,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE323,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE323,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE328,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE328,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE329,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE329,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE32A,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE32A,0.17160359
