region_bld,urt,arch,year,value
C-EEU-BGR,rur,mfh,2015,2.304523091399144
C-EEU-BGR,rur,mfh,2020,2.304523091399144
C-EEU-BGR,rur,mfh,2025,2.3040175665131857
C-EEU-BGR,rur,mfh,2030,2.3035362779922584
C-EEU-BGR,rur,mfh,2035,2.30309938139541
C-EEU-BGR,rur,mfh,2040,2.30264993209511
C-EEU-BGR,rur,mfh,2045,2.302163857822878
C-EEU-BGR,rur,mfh,2050,2.301650072235154
C-EEU-BGR,rur,mfh,2055,2.301153258562695
C-EEU-BGR,rur,mfh,2060,2.300739706520512
C-EEU-BGR,rur,mfh,2065,2.3004549712667597
C-EEU-BGR,rur,mfh,2070,2.300280313026819
C-EEU-BGR,rur,mfh,2075,2.3001923211346207
C-EEU-BGR,rur,mfh,2080,2.3001858832950113
C-EEU-BGR,rur,mfh,2085,2.30026717215701
C-EEU-BGR,rur,mfh,2090,2.300426620678431
C-EEU-BGR,rur,mfh,2095,2.3006348444217073
C-EEU-BGR,rur,mfh,2100,2.3008783700945132
C-EEU-BGR,urb,mfh,2015,2.304523091399144
C-EEU-BGR,urb,mfh,2020,2.304523091399144
C-EEU-BGR,urb,mfh,2025,2.3040175665131857
C-EEU-BGR,urb,mfh,2030,2.3035362779922584
C-EEU-BGR,urb,mfh,2035,2.30309938139541
C-EEU-BGR,urb,mfh,2040,2.30264993209511
C-EEU-BGR,urb,mfh,2045,2.302163857822878
C-EEU-BGR,urb,mfh,2050,2.301650072235154
C-EEU-BGR,urb,mfh,2055,2.301153258562695
C-EEU-BGR,urb,mfh,2060,2.300739706520512
C-EEU-BGR,urb,mfh,2065,2.3004549712667597
C-EEU-BGR,urb,mfh,2070,2.300280313026819
C-EEU-BGR,urb,mfh,2075,2.3001923211346207
C-EEU-BGR,urb,mfh,2080,2.3001858832950113
C-EEU-BGR,urb,mfh,2085,2.30026717215701
C-EEU-BGR,urb,mfh,2090,2.300426620678431
C-EEU-BGR,urb,mfh,2095,2.3006348444217073
C-EEU-BGR,urb,mfh,2100,2.3008783700945132
C-EEU-BGR,rur,sfh,2015,2.668951985256676
C-EEU-BGR,rur,sfh,2020,2.668951985256676
C-EEU-BGR,rur,sfh,2025,2.6741096972003913
C-EEU-BGR,rur,sfh,2030,2.6785352557559494
C-EEU-BGR,rur,sfh,2035,2.6826170001123635
C-EEU-BGR,rur,sfh,2040,2.6864177016206594
C-EEU-BGR,rur,sfh,2045,2.6899266984904084
C-EEU-BGR,rur,sfh,2050,2.693138618404347
C-EEU-BGR,rur,sfh,2055,2.6960910514814223
C-EEU-BGR,rur,sfh,2060,2.6987870637794966
C-EEU-BGR,rur,sfh,2065,2.7012080933789395
C-EEU-BGR,rur,sfh,2070,2.7032989414243205
C-EEU-BGR,rur,sfh,2075,2.705064056275599
C-EEU-BGR,rur,sfh,2080,2.7065279409578755
C-EEU-BGR,rur,sfh,2085,2.7077567347113307
C-EEU-BGR,rur,sfh,2090,2.7088249685999584
C-EEU-BGR,rur,sfh,2095,2.7097954321779003
C-EEU-BGR,rur,sfh,2100,2.7107155230966598
C-EEU-BGR,urb,sfh,2015,2.668951985256676
C-EEU-BGR,urb,sfh,2020,2.668951985256676
C-EEU-BGR,urb,sfh,2025,2.6741096972003913
C-EEU-BGR,urb,sfh,2030,2.6785352557559494
C-EEU-BGR,urb,sfh,2035,2.6826170001123635
C-EEU-BGR,urb,sfh,2040,2.6864177016206594
C-EEU-BGR,urb,sfh,2045,2.6899266984904084
C-EEU-BGR,urb,sfh,2050,2.693138618404347
C-EEU-BGR,urb,sfh,2055,2.6960910514814223
C-EEU-BGR,urb,sfh,2060,2.6987870637794966
