region_bld,urt,clim
C-WEU-DNK,rur,Zone_5A Cool Humid
C-EEU-EST,rur,Zone_6A Cold Humid
C-EEU-EST,urb,Zone_6A Cold Humid
C-EEU-EST,sub,Zone_6A Cold Humid
C-WEU-GRC,rur,Zone_3A Warm Humid
C-WEU-GRC,sub,Zone_3A Warm Humid
C-WEU-GRC,urb,Zone_3A Warm Humid
C-WEU-GRC,rur,Zone_4A Mixed Humid
C-WEU-GRC,sub,Zone_4A Mixed Humid
C-WEU-GRC,urb,Zone_4A Mixed Humid
C-WEU-GRC,rur,Zone_4C Mixed Marine
C-WEU-GRC,sub,Zone_4C Mixed Marine
C-WEU-GRC,urb,Zone_4C Mixed Marine
C-WEU-GRC,rur,Zone_5C Cool Marine
C-WEU-GRC,sub,Zone_5C Cool Marine
C-WEU-GRC,urb,Zone_5C Cool Marine
C-WEU-GRC,rur,Zone_5A Cool Humid
C-WEU-GRC,sub,Zone_5A Cool Humid
C-WEU-GRC,urb,Zone_5A Cool Humid
C-WEU-ESP,sub,Zone_3C Warm Marine
C-WEU-ESP,rur,Zone_3C Warm Marine
C-WEU-ESP,urb,Zone_3C Warm Marine
C-WEU-ESP,sub,Zone_4C Mixed Marine
C-WEU-ESP,rur,Zone_4C Mixed Marine
C-WEU-ESP,urb,Zone_4C Mixed Marine
C-WEU-ESP,sub,Zone_4A Mixed Humid
C-WEU-ESP,rur,Zone_4A Mixed Humid
C-WEU-ESP,urb,Zone_4A Mixed Humid
C-WEU-ESP,sub,Zone_3A Warm Humid
C-WEU-ESP,rur,Zone_3A Warm Humid
C-WEU-ESP,urb,Zone_3A Warm Humid
C-WEU-ESP,sub,Zone_3B Warm Dry
C-WEU-ESP,rur,Zone_3B Warm Dry
C-WEU-ESP,urb,Zone_3B Warm Dry
C-WEU-ESP,sub,Zone_2B Hot Dry
C-WEU-ESP,rur,Zone_2B Hot Dry
C-WEU-ESP,urb,Zone_2B Hot Dry
C-WEU-FIN,sub,Zone_6A Cold Humid
C-WEU-FIN,rur,Zone_6A Cold Humid
