region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.09537996117207016
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.08998634690140046
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.12581002513326256
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.07881209216933702
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.015537598667889771
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.029668387876169777
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.020164462589065867
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.02321600390528453
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.013649989807822085
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.015554091994304554
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.07072072366088161
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.17631910319510377
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.14393442461759753
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.10124678830980964
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.09537996117207016
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.08998634690140046
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.12581002513326256
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.07881209216933702
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.015537598667889771
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.029668387876169777
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.020164462214561477
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.023216004279788902
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.013649989807822085
C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.015554091994304554
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1945,p1,0.05617990106913613
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1960,p2,0.133590820546708
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1965,p2,0.14728477211839336
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1970,p2,0.1036034998823093
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1975,p2,0.09760011118404847
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1980,p2,0.09208095028240425
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1985,p2,0.13952800934484147
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0874055491288701
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1995,p3,0.017231776321746783
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,2000,p3,0.03290334849268024
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,2005,p3,0.02763669065653889
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,2010,p3,0.03181902395748751
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,2015,p3,0.01668518020921231
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,2020,p3,0.016450366805622577
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1945,p1,0.05617990106913618
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1960,p2,0.133590820546708
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1965,p2,0.14728477279691166
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1970,p2,0.10360349964262101
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1975,p2,0.09760011095824908
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1980,p2,0.09208095006937356
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1985,p2,0.13952801035457973
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1990,p2,0.08740554976140781
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,1995,p3,0.017231774441355412
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2000,p3,0.03290334873079566
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2005,p3,0.027636690143256582
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2010,p3,0.03181902447076978
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2015,p3,0.01668518020921231
C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2020,p3,0.016450366805622577
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.050863121312562126
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1397180952687774
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1402970886173103
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.09868820241896982
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.09296963461260473
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.08771232121235217
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.13907455810063474
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.0871214903568059
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.017175774874799488
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.03279641609693669
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.031607062387242445
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.03639024251579551
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.019863840845828557
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.025722151379379443
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.050863121312562126
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.1397180952687774
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1402970886173103
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.09868820241896982
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.09296963461260473
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.08771232121235217
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.13907455810063474
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.0871214903568059
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.017175774874799488
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.03279641609693669
