region_bld,inc_cl,year,value
C-EEU-EST,q1,2090,0.10312065
C-EEU-EST,q1,2095,0.10323675
C-EEU-EST,q1,2100,0.10328645
C-EEU-EST,q2,2015,0.062266395
C-EEU-EST,q2,2020,0.07482635
C-EEU-EST,q2,2025,0.085113925
C-EEU-EST,q2,2030,0.09351774
C-EEU-EST,q2,2035,0.097897185
C-EEU-EST,q2,2040,0.100801625
C-EEU-EST,q2,2045,0.10209950000000001
C-EEU-EST,q2,2050,0.1026745
C-EEU-EST,q2,2055,0.1030132
C-EEU-EST,q2,2060,0.10318515
C-EEU-EST,q2,2065,0.10326015
C-EEU-EST,q2,2070,0.10329445000000001
C-EEU-EST,q2,2075,0.103309
C-EEU-EST,q2,2080,0.1033146
C-EEU-EST,q2,2085,0.1033173
C-EEU-EST,q2,2090,0.10331845
C-EEU-EST,q2,2095,0.10331894999999999
C-EEU-EST,q2,2100,0.10331915
C-EEU-EST,q3,2015,0.10045924
C-EEU-EST,q3,2020,0.10255534999999999
C-EEU-EST,q3,2025,0.1030914
C-EEU-EST,q3,2030,0.1032699
C-EEU-EST,q3,2035,0.10330675
C-EEU-EST,q3,2040,0.10331625
C-EEU-EST,q3,2045,0.10331835
C-EEU-EST,q3,2050,0.10331894999999999
C-EEU-EST,q3,2055,0.10331915
C-EEU-EST,q3,2060,0.1033192
C-EEU-EST,q3,2065,0.1033192
C-EEU-EST,q3,2070,0.1033192
C-EEU-EST,q3,2075,0.1033192
C-EEU-EST,q3,2080,0.1033192
C-EEU-EST,q3,2085,0.1033192
C-EEU-EST,q3,2090,0.1033192
C-EEU-EST,q3,2095,0.1033192
C-EEU-EST,q3,2100,0.1033192
C-EEU-HRV,q1,2015,0.10041276716666665
C-EEU-HRV,q1,2020,0.09331353416666666
C-EEU-HRV,q1,2025,0.08863953083333333
C-EEU-HRV,q1,2030,0.09071662166666666
C-EEU-HRV,q1,2035,0.09693504050000001
C-EEU-HRV,q1,2040,0.10625450266666665
C-EEU-HRV,q1,2045,0.12032395166666665
C-EEU-HRV,q1,2050,0.13479596883333334
C-EEU-HRV,q1,2055,0.15286318283333333
C-EEU-HRV,q1,2060,0.15422234416666666
C-EEU-HRV,q1,2065,0.17814794616666665
C-EEU-HRV,q1,2070,0.20446231883333332
C-EEU-HRV,q1,2075,0.23124972033333333
C-EEU-HRV,q1,2080,0.2607374425
C-EEU-HRV,q1,2085,0.2884803831666667
C-EEU-HRV,q1,2090,0.3143089763333333
C-EEU-HRV,q1,2095,0.33573230633333334
C-EEU-HRV,q1,2100,0.36084337966666663
C-EEU-HRV,q2,2015,0.19489262649999997
C-EEU-HRV,q2,2020,0.19797699783333333
C-EEU-HRV,q2,2025,0.20488233633333333
C-EEU-HRV,q2,2030,0.21858574233333336
C-EEU-HRV,q2,2035,0.23757237983333332
C-EEU-HRV,q2,2040,0.26098760466666665
C-EEU-HRV,q2,2045,0.28817262299999996
C-EEU-HRV,q2,2050,0.2758717368333334
C-EEU-HRV,q2,2055,0.31351039566666666
C-EEU-HRV,q2,2060,0.36119575416666666
C-EEU-HRV,q2,2065,0.3890254031666667
C-EEU-HRV,q2,2070,0.40637631516666667
C-EEU-HRV,q2,2075,0.42437596433333336
C-EEU-HRV,q2,2080,0.44235624716666666
C-EEU-HRV,q2,2085,0.4549926593333333
C-EEU-HRV,q2,2090,0.46339419233333334
C-EEU-HRV,q2,2095,0.4694433468333334
C-EEU-HRV,q2,2100,0.47471128133333335
C-EEU-HRV,q3,2015,0.43349921733333335
C-EEU-HRV,q3,2020,0.44309971016666666
C-EEU-HRV,q3,2025,0.44702437500000003
C-EEU-HRV,q3,2030,0.44894127683333335
C-EEU-HRV,q3,2035,0.4491425023333333
C-EEU-HRV,q3,2040,0.45159834299999996
C-EEU-HRV,q3,2045,0.469015083
C-EEU-HRV,q3,2050,0.5157874198333333
C-EEU-HRV,q3,2055,0.5299416036666666
C-EEU-HRV,q3,2060,0.5277305143333333
C-EEU-HRV,q3,2065,0.5239320436666667
C-EEU-HRV,q3,2070,0.5174229406666667
C-EEU-HRV,q3,2075,0.5112770018333334
C-EEU-HRV,q3,2080,0.5052847518333333
C-EEU-HRV,q3,2085,0.5000509271666667
C-EEU-HRV,q3,2090,0.49515802800000003
C-EEU-HRV,q3,2095,0.4907041876666667
C-EEU-HRV,q3,2100,0.48760884016666667
C-EEU-HUN,q1,2015,0.0719192325
C-EEU-HUN,q1,2020,0.08607079249999998
C-EEU-HUN,q1,2025,0.10856973749999999
C-EEU-HUN,q1,2030,0.138615095
C-EEU-HUN,q1,2035,0.1746174075
C-EEU-HUN,q1,2040,0.20267732
C-EEU-HUN,q1,2045,0.23502717499999998
C-EEU-HUN,q1,2050,0.26402139999999996
C-EEU-HUN,q1,2055,0.2881679
C-EEU-HUN,q1,2060,0.3130191
C-EEU-HUN,q1,2065,0.333500425
C-EEU-HUN,q1,2070,0.352747325
C-EEU-HUN,q1,2075,0.365230375
C-EEU-HUN,q1,2080,0.3772008
C-EEU-HUN,q1,2085,0.383438025
C-EEU-HUN,q1,2090,0.386816875
C-EEU-HUN,q1,2095,0.389239625
C-EEU-HUN,q1,2100,0.39052355
C-EEU-HUN,q2,2015,0.1936759125
C-EEU-HUN,q2,2020,0.22182225
C-EEU-HUN,q2,2025,0.2570872
C-EEU-HUN,q2,2030,0.29069295
