region_bld,region_nuts,year,value
C-EEU-BGR,C-EEU-BGR-BG311,2020,0.08281099999999991
C-EEU-BGR,C-EEU-BGR-BG311,2025,0.0739719999999999
C-EEU-BGR,C-EEU-BGR-BG311,2030,0.0668789999999999
C-EEU-BGR,C-EEU-BGR-BG311,2035,0.0606199999999999
C-EEU-BGR,C-EEU-BGR-BG311,2040,0.0552099999999999
C-EEU-BGR,C-EEU-BGR-BG311,2045,0.0506899999999999
C-EEU-BGR,C-EEU-BGR-BG311,2050,0.0467889999999999
C-EEU-BGR,C-EEU-BGR-BG311,2055,0.0433409999999999
C-EEU-BGR,C-EEU-BGR-BG311,2060,0.0401919999999999
C-EEU-BGR,C-EEU-BGR-BG311,2065,0.0373039999999999
C-EEU-BGR,C-EEU-BGR-BG311,2070,0.0348379999999999
C-EEU-BGR,C-EEU-BGR-BG311,2075,0.032929999999999904
C-EEU-BGR,C-EEU-BGR-BG311,2080,0.0315999999999999
C-EEU-BGR,C-EEU-BGR-BG311,2085,0.0307039999999999
C-EEU-BGR,C-EEU-BGR-BG311,2090,0.0301329999999999
C-EEU-BGR,C-EEU-BGR-BG311,2095,0.0297619999999999
C-EEU-BGR,C-EEU-BGR-BG311,2100,0.0294139999999999
C-EEU-BGR,C-EEU-BGR-BG312,2020,0.127137
C-EEU-BGR,C-EEU-BGR-BG312,2025,0.1164789999999999
C-EEU-BGR,C-EEU-BGR-BG312,2030,0.10794799999999989
C-EEU-BGR,C-EEU-BGR-BG312,2035,0.1003409999999999
C-EEU-BGR,C-EEU-BGR-BG312,2040,0.0936519999999999
C-EEU-BGR,C-EEU-BGR-BG312,2045,0.0878319999999999
C-EEU-BGR,C-EEU-BGR-BG312,2050,0.0827059999999999
C-EEU-BGR,C-EEU-BGR-BG312,2055,0.0779999999999999
C-EEU-BGR,C-EEU-BGR-BG312,2060,0.07361699999999989
C-EEU-BGR,C-EEU-BGR-BG312,2065,0.0695919999999999
C-EEU-BGR,C-EEU-BGR-BG312,2070,0.0661329999999999
C-EEU-BGR,C-EEU-BGR-BG312,2075,0.0631459999999999
C-EEU-BGR,C-EEU-BGR-BG312,2080,0.0605919999999999
C-EEU-BGR,C-EEU-BGR-BG312,2085,0.0584429999999999
C-EEU-BGR,C-EEU-BGR-BG312,2090,0.0566989999999999
C-EEU-BGR,C-EEU-BGR-BG312,2095,0.0553369999999999
C-EEU-BGR,C-EEU-BGR-BG312,2100,0.0542339999999999
C-EEU-BGR,C-EEU-BGR-BG313,2020,0.1592919999999999
C-EEU-BGR,C-EEU-BGR-BG313,2025,0.1454559999999999
C-EEU-BGR,C-EEU-BGR-BG313,2030,0.1342449999999999
C-EEU-BGR,C-EEU-BGR-BG313,2035,0.1242529999999999
C-EEU-BGR,C-EEU-BGR-BG313,2040,0.1153389999999999
C-EEU-BGR,C-EEU-BGR-BG313,2045,0.1075489999999999
C-EEU-BGR,C-EEU-BGR-BG313,2050,0.1006009999999999
C-EEU-BGR,C-EEU-BGR-BG313,2055,0.0943299999999999
C-EEU-BGR,C-EEU-BGR-BG313,2060,0.0885669999999999
C-EEU-BGR,C-EEU-BGR-BG313,2065,0.0833709999999999
C-EEU-BGR,C-EEU-BGR-BG313,2070,0.07889099999999989
C-EEU-BGR,C-EEU-BGR-BG313,2075,0.0752769999999999
C-EEU-BGR,C-EEU-BGR-BG313,2080,0.0723859999999999
C-EEU-BGR,C-EEU-BGR-BG313,2085,0.0699669999999999
C-EEU-BGR,C-EEU-BGR-BG313,2090,0.06805699999999991
C-EEU-BGR,C-EEU-BGR-BG313,2095,0.0666199999999999
C-EEU-BGR,C-EEU-BGR-BG313,2100,0.0653859999999999
C-EEU-BGR,C-EEU-BGR-BG314,2020,0.23639900000000003
C-EEU-BGR,C-EEU-BGR-BG314,2025,0.2183179999999999
C-EEU-BGR,C-EEU-BGR-BG314,2030,0.2028619999999999
C-EEU-BGR,C-EEU-BGR-BG314,2035,0.1890379999999999
C-EEU-BGR,C-EEU-BGR-BG314,2040,0.176805
C-EEU-BGR,C-EEU-BGR-BG314,2045,0.16616999999999998
C-EEU-BGR,C-EEU-BGR-BG314,2050,0.1568479999999999
C-EEU-BGR,C-EEU-BGR-BG314,2055,0.1485439999999999
C-EEU-BGR,C-EEU-BGR-BG314,2060,0.1410659999999999
C-EEU-BGR,C-EEU-BGR-BG314,2065,0.1343329999999999
C-EEU-BGR,C-EEU-BGR-BG314,2070,0.128609
C-EEU-BGR,C-EEU-BGR-BG314,2075,0.1237739999999999
C-EEU-BGR,C-EEU-BGR-BG314,2080,0.1199289999999999
C-EEU-BGR,C-EEU-BGR-BG314,2085,0.11700899999999989
C-EEU-BGR,C-EEU-BGR-BG314,2090,0.1149139999999999
C-EEU-BGR,C-EEU-BGR-BG314,2095,0.1134649999999999
C-EEU-BGR,C-EEU-BGR-BG314,2100,0.1122459999999999
C-EEU-BGR,C-EEU-BGR-BG315,2020,0.1227599999999999
C-EEU-BGR,C-EEU-BGR-BG315,2025,0.1132689999999999
C-EEU-BGR,C-EEU-BGR-BG315,2030,0.1052969999999999
C-EEU-BGR,C-EEU-BGR-BG315,2035,0.0982519999999999
C-EEU-BGR,C-EEU-BGR-BG315,2040,0.09196299999999999
C-EEU-BGR,C-EEU-BGR-BG315,2045,0.0864779999999999
C-EEU-BGR,C-EEU-BGR-BG315,2050,0.0815439999999999
C-EEU-BGR,C-EEU-BGR-BG315,2055,0.0770609999999999
C-EEU-BGR,C-EEU-BGR-BG315,2060,0.072942
C-EEU-BGR,C-EEU-BGR-BG315,2065,0.069176
C-EEU-BGR,C-EEU-BGR-BG315,2070,0.06598699999999989
C-EEU-BGR,C-EEU-BGR-BG315,2075,0.0633629999999999
C-EEU-BGR,C-EEU-BGR-BG315,2080,0.0613269999999999
C-EEU-BGR,C-EEU-BGR-BG315,2085,0.0597419999999999
C-EEU-BGR,C-EEU-BGR-BG315,2090,0.0585949999999999
C-EEU-BGR,C-EEU-BGR-BG315,2095,0.0577859999999999
C-EEU-BGR,C-EEU-BGR-BG315,2100,0.057233999999999896
C-EEU-BGR,C-EEU-BGR-BG321,2020,0.23261599999999988
C-EEU-BGR,C-EEU-BGR-BG321,2025,0.2184119999999999
C-EEU-BGR,C-EEU-BGR-BG321,2030,0.2057639999999999
C-EEU-BGR,C-EEU-BGR-BG321,2035,0.1938009999999999
C-EEU-BGR,C-EEU-BGR-BG321,2040,0.1828469999999999
C-EEU-BGR,C-EEU-BGR-BG321,2045,0.1730199999999999
C-EEU-BGR,C-EEU-BGR-BG321,2050,0.1642669999999999
C-EEU-BGR,C-EEU-BGR-BG321,2055,0.1562919999999999
C-EEU-BGR,C-EEU-BGR-BG321,2060,0.1487289999999999
C-EEU-BGR,C-EEU-BGR-BG321,2065,0.1415099999999999
C-EEU-BGR,C-EEU-BGR-BG321,2070,0.134644
C-EEU-BGR,C-EEU-BGR-BG321,2075,0.1283439999999999
C-EEU-BGR,C-EEU-BGR-BG321,2080,0.12271399999999989
C-EEU-BGR,C-EEU-BGR-BG321,2085,0.1179339999999999
C-EEU-BGR,C-EEU-BGR-BG321,2090,0.1142749999999999
C-EEU-BGR,C-EEU-BGR-BG321,2095,0.1116239999999999
C-EEU-BGR,C-EEU-BGR-BG321,2100,0.10931499999999991
C-EEU-BGR,C-EEU-BGR-BG322,2020,0.10644099999999991
C-EEU-BGR,C-EEU-BGR-BG322,2025,0.09749199999999991
C-EEU-BGR,C-EEU-BGR-BG322,2030,0.089651
C-EEU-BGR,C-EEU-BGR-BG322,2035,0.0825189999999999
C-EEU-BGR,C-EEU-BGR-BG322,2040,0.0762159999999999
C-EEU-BGR,C-EEU-BGR-BG322,2045,0.0707099999999999
C-EEU-BGR,C-EEU-BGR-BG322,2050,0.0659719999999999
C-EEU-BGR,C-EEU-BGR-BG322,2055,0.0616229999999999
C-EEU-BGR,C-EEU-BGR-BG322,2060,0.0575639999999999
C-EEU-BGR,C-EEU-BGR-BG322,2065,0.053846999999999895
C-EEU-BGR,C-EEU-BGR-BG322,2070,0.0505759999999999
C-EEU-BGR,C-EEU-BGR-BG322,2075,0.0478299999999999
C-EEU-BGR,C-EEU-BGR-BG322,2080,0.045701999999999895
C-EEU-BGR,C-EEU-BGR-BG322,2085,0.0441629999999999
C-EEU-BGR,C-EEU-BGR-BG322,2090,0.043095999999999905
C-EEU-BGR,C-EEU-BGR-BG322,2095,0.0424029999999999
C-EEU-BGR,C-EEU-BGR-BG322,2100,0.0418599999999999
C-EEU-BGR,C-EEU-BGR-BG323,2020,0.2162609999999999
C-EEU-BGR,C-EEU-BGR-BG323,2025,0.2050019999999999
C-EEU-BGR,C-EEU-BGR-BG323,2030,0.19486599999999987
C-EEU-BGR,C-EEU-BGR-BG323,2035,0.1854729999999999
C-EEU-BGR,C-EEU-BGR-BG323,2040,0.17710599999999999
C-EEU-BGR,C-EEU-BGR-BG323,2045,0.1696359999999999
C-EEU-BGR,C-EEU-BGR-BG323,2050,0.1629709999999999
C-EEU-BGR,C-EEU-BGR-BG323,2055,0.15682899999999989
C-EEU-BGR,C-EEU-BGR-BG323,2060,0.1510759999999999
C-EEU-BGR,C-EEU-BGR-BG323,2065,0.1456669999999999
C-EEU-BGR,C-EEU-BGR-BG323,2070,0.1407689999999999
C-EEU-BGR,C-EEU-BGR-BG323,2075,0.1365129999999999
C-EEU-BGR,C-EEU-BGR-BG323,2080,0.132953
C-EEU-BGR,C-EEU-BGR-BG323,2085,0.130083
C-EEU-BGR,C-EEU-BGR-BG323,2090,0.12804899999999989
C-EEU-BGR,C-EEU-BGR-BG323,2095,0.1267329999999999
C-EEU-BGR,C-EEU-BGR-BG323,2100,0.1256749999999999
C-EEU-BGR,C-EEU-BGR-BG324,2020,0.11053299999999999
C-EEU-BGR,C-EEU-BGR-BG324,2025,0.10289999999999991
C-EEU-BGR,C-EEU-BGR-BG324,2030,0.0965019999999999
C-EEU-BGR,C-EEU-BGR-BG324,2035,0.09069499999999991
C-EEU-BGR,C-EEU-BGR-BG324,2040,0.0854209999999999
C-EEU-BGR,C-EEU-BGR-BG324,2045,0.08067999999999989
C-EEU-BGR,C-EEU-BGR-BG324,2050,0.0763949999999999
C-EEU-BGR,C-EEU-BGR-BG324,2055,0.0725049999999999
C-EEU-BGR,C-EEU-BGR-BG324,2060,0.06902599999999989
C-EEU-BGR,C-EEU-BGR-BG324,2065,0.0660329999999999
C-EEU-BGR,C-EEU-BGR-BG324,2070,0.0634659999999999
C-EEU-BGR,C-EEU-BGR-BG324,2075,0.061440999999999905
C-EEU-BGR,C-EEU-BGR-BG324,2080,0.0598169999999999
C-EEU-BGR,C-EEU-BGR-BG324,2085,0.058640999999999895
C-EEU-BGR,C-EEU-BGR-BG324,2090,0.0578629999999999
C-EEU-BGR,C-EEU-BGR-BG324,2095,0.0574219999999999
C-EEU-BGR,C-EEU-BGR-BG324,2100,0.057156999999999895
C-EEU-BGR,C-EEU-BGR-BG325,2020,0.10787199999999991
C-EEU-BGR,C-EEU-BGR-BG325,2025,0.10090899999999989
C-EEU-BGR,C-EEU-BGR-BG325,2030,0.09451999999999999
C-EEU-BGR,C-EEU-BGR-BG325,2035,0.08875099999999991
C-EEU-BGR,C-EEU-BGR-BG325,2040,0.0835649999999999
C-EEU-BGR,C-EEU-BGR-BG325,2045,0.07901699999999989
C-EEU-BGR,C-EEU-BGR-BG325,2050,0.0749489999999999
C-EEU-BGR,C-EEU-BGR-BG325,2055,0.0712789999999999
C-EEU-BGR,C-EEU-BGR-BG325,2060,0.0679399999999999
C-EEU-BGR,C-EEU-BGR-BG325,2065,0.0650289999999999
C-EEU-BGR,C-EEU-BGR-BG325,2070,0.06259999999999989
C-EEU-BGR,C-EEU-BGR-BG325,2075,0.060538999999999905
C-EEU-BGR,C-EEU-BGR-BG325,2080,0.058822999999999896
C-EEU-BGR,C-EEU-BGR-BG325,2085,0.057435999999999904
C-EEU-BGR,C-EEU-BGR-BG325,2090,0.0564329999999999
C-EEU-BGR,C-EEU-BGR-BG325,2095,0.0557599999999999
C-EEU-BGR,C-EEU-BGR-BG325,2100,0.0552409999999999
C-EEU-BGR,C-EEU-BGR-BG331,2020,0.470583
C-EEU-BGR,C-EEU-BGR-BG331,2025,0.46384800000000004
C-EEU-BGR,C-EEU-BGR-BG331,2030,0.4558239999999999
C-EEU-BGR,C-EEU-BGR-BG331,2035,0.447641
C-EEU-BGR,C-EEU-BGR-BG331,2040,0.44006499999999993
C-EEU-BGR,C-EEU-BGR-BG331,2045,0.4328479999999999
C-EEU-BGR,C-EEU-BGR-BG331,2050,0.4256759999999999
C-EEU-BGR,C-EEU-BGR-BG331,2055,0.4181069999999999
C-EEU-BGR,C-EEU-BGR-BG331,2060,0.40986499999999987
C-EEU-BGR,C-EEU-BGR-BG331,2065,0.40118699999999996
C-EEU-BGR,C-EEU-BGR-BG331,2070,0.39280199999999993
C-EEU-BGR,C-EEU-BGR-BG331,2075,0.38566999999999996
C-EEU-BGR,C-EEU-BGR-BG331,2080,0.380215
C-EEU-BGR,C-EEU-BGR-BG331,2085,0.3766739999999999
C-EEU-BGR,C-EEU-BGR-BG331,2090,0.3751599999999999
C-EEU-BGR,C-EEU-BGR-BG331,2095,0.3750009999999999
C-EEU-BGR,C-EEU-BGR-BG331,2100,0.375315
C-EEU-BGR,C-EEU-BGR-BG332,2020,0.171584
C-EEU-BGR,C-EEU-BGR-BG332,2025,0.16086099999999992
C-EEU-BGR,C-EEU-BGR-BG332,2030,0.1512849999999999
C-EEU-BGR,C-EEU-BGR-BG332,2035,0.1424539999999999
C-EEU-BGR,C-EEU-BGR-BG332,2040,0.1343949999999999
C-EEU-BGR,C-EEU-BGR-BG332,2045,0.12708199999999992
C-EEU-BGR,C-EEU-BGR-BG332,2050,0.1204009999999999
C-EEU-BGR,C-EEU-BGR-BG332,2055,0.1142969999999999
C-EEU-BGR,C-EEU-BGR-BG332,2060,0.1086839999999999
C-EEU-BGR,C-EEU-BGR-BG332,2065,0.1035739999999999
C-EEU-BGR,C-EEU-BGR-BG332,2070,0.09913999999999991
C-EEU-BGR,C-EEU-BGR-BG332,2075,0.09547499999999991
C-EEU-BGR,C-EEU-BGR-BG332,2080,0.0924459999999999
C-EEU-BGR,C-EEU-BGR-BG332,2085,0.09011399999999989
C-EEU-BGR,C-EEU-BGR-BG332,2090,0.0883619999999999
C-EEU-BGR,C-EEU-BGR-BG332,2095,0.0870159999999999
C-EEU-BGR,C-EEU-BGR-BG332,2100,0.08585699999999989
C-EEU-BGR,C-EEU-BGR-BG333,2020,0.1715309999999999
C-EEU-BGR,C-EEU-BGR-BG333,2025,0.1656439999999999
C-EEU-BGR,C-EEU-BGR-BG333,2030,0.15946699999999991
C-EEU-BGR,C-EEU-BGR-BG333,2035,0.1536629999999999
C-EEU-BGR,C-EEU-BGR-BG333,2040,0.1483429999999999
C-EEU-BGR,C-EEU-BGR-BG333,2045,0.143544
C-EEU-BGR,C-EEU-BGR-BG333,2050,0.13918399999999992
C-EEU-BGR,C-EEU-BGR-BG333,2055,0.1351399999999999
C-EEU-BGR,C-EEU-BGR-BG333,2060,0.1314509999999999
C-EEU-BGR,C-EEU-BGR-BG333,2065,0.1281289999999999
C-EEU-BGR,C-EEU-BGR-BG333,2070,0.1252679999999999
C-EEU-BGR,C-EEU-BGR-BG333,2075,0.12292199999999989
C-EEU-BGR,C-EEU-BGR-BG333,2080,0.1211989999999999
C-EEU-BGR,C-EEU-BGR-BG333,2085,0.1201309999999999
C-EEU-BGR,C-EEU-BGR-BG333,2090,0.1197089999999999
C-EEU-BGR,C-EEU-BGR-BG333,2095,0.1197779999999999
C-EEU-BGR,C-EEU-BGR-BG333,2100,0.1201119999999999
C-EEU-BGR,C-EEU-BGR-BG334,2020,0.1104329999999999
C-EEU-BGR,C-EEU-BGR-BG334,2025,0.1045229999999999
C-EEU-BGR,C-EEU-BGR-BG334,2030,0.0992279999999999
C-EEU-BGR,C-EEU-BGR-BG334,2035,0.09444099999999989
C-EEU-BGR,C-EEU-BGR-BG334,2040,0.090034
C-EEU-BGR,C-EEU-BGR-BG334,2045,0.0861249999999999
C-EEU-BGR,C-EEU-BGR-BG334,2050,0.08252399999999999
C-EEU-BGR,C-EEU-BGR-BG334,2055,0.0792289999999999
C-EEU-BGR,C-EEU-BGR-BG334,2060,0.0761799999999999
C-EEU-BGR,C-EEU-BGR-BG334,2065,0.0734169999999999
C-EEU-BGR,C-EEU-BGR-BG334,2070,0.07118899999999989
C-EEU-BGR,C-EEU-BGR-BG334,2075,0.0694349999999999
C-EEU-BGR,C-EEU-BGR-BG334,2080,0.06805299999999989
C-EEU-BGR,C-EEU-BGR-BG334,2085,0.0670539999999999
C-EEU-BGR,C-EEU-BGR-BG334,2090,0.0663989999999999
C-EEU-BGR,C-EEU-BGR-BG334,2095,0.0660239999999999
C-EEU-BGR,C-EEU-BGR-BG334,2100,0.0658239999999999
C-EEU-BGR,C-EEU-BGR-BG341,2020,0.409625
C-EEU-BGR,C-EEU-BGR-BG341,2025,0.4023739999999999
C-EEU-BGR,C-EEU-BGR-BG341,2030,0.3936589999999999
C-EEU-BGR,C-EEU-BGR-BG341,2035,0.3850519999999999
C-EEU-BGR,C-EEU-BGR-BG341,2040,0.376854
C-EEU-BGR,C-EEU-BGR-BG341,2045,0.3689689999999999
C-EEU-BGR,C-EEU-BGR-BG341,2050,0.3612369999999999
C-EEU-BGR,C-EEU-BGR-BG341,2055,0.35360099999999994
C-EEU-BGR,C-EEU-BGR-BG341,2060,0.346074
C-EEU-BGR,C-EEU-BGR-BG341,2065,0.3388199999999999
C-EEU-BGR,C-EEU-BGR-BG341,2070,0.33229399999999987
C-EEU-BGR,C-EEU-BGR-BG341,2075,0.327154
C-EEU-BGR,C-EEU-BGR-BG341,2080,0.323806
C-EEU-BGR,C-EEU-BGR-BG341,2085,0.32239799999999996
C-EEU-BGR,C-EEU-BGR-BG341,2090,0.3227989999999999
C-EEU-BGR,C-EEU-BGR-BG341,2095,0.324429
C-EEU-BGR,C-EEU-BGR-BG341,2100,0.32644099999999987
C-EEU-BGR,C-EEU-BGR-BG342,2020,0.1847109999999999
C-EEU-BGR,C-EEU-BGR-BG342,2025,0.1767639999999999
C-EEU-BGR,C-EEU-BGR-BG342,2030,0.1706019999999999
C-EEU-BGR,C-EEU-BGR-BG342,2035,0.1652359999999999
C-EEU-BGR,C-EEU-BGR-BG342,2040,0.1604669999999999
C-EEU-BGR,C-EEU-BGR-BG342,2045,0.1562739999999999
C-EEU-BGR,C-EEU-BGR-BG342,2050,0.1525679999999999
C-EEU-BGR,C-EEU-BGR-BG342,2055,0.1494039999999999
C-EEU-BGR,C-EEU-BGR-BG342,2060,0.1467119999999999
C-EEU-BGR,C-EEU-BGR-BG342,2065,0.1444979999999999
C-EEU-BGR,C-EEU-BGR-BG342,2070,0.1427829999999999
C-EEU-BGR,C-EEU-BGR-BG342,2075,0.1415489999999999
C-EEU-BGR,C-EEU-BGR-BG342,2080,0.1409509999999999
C-EEU-BGR,C-EEU-BGR-BG342,2085,0.140983
C-EEU-BGR,C-EEU-BGR-BG342,2090,0.141647
C-EEU-BGR,C-EEU-BGR-BG342,2095,0.1426169999999999
C-EEU-BGR,C-EEU-BGR-BG342,2100,0.1437069999999999
C-EEU-BGR,C-EEU-BGR-BG343,2020,0.11725899999999989
C-EEU-BGR,C-EEU-BGR-BG343,2025,0.1097809999999999
C-EEU-BGR,C-EEU-BGR-BG343,2030,0.10354899999999989
C-EEU-BGR,C-EEU-BGR-BG343,2035,0.0981079999999999
C-EEU-BGR,C-EEU-BGR-BG343,2040,0.0932739999999999
C-EEU-BGR,C-EEU-BGR-BG343,2045,0.0889689999999999
C-EEU-BGR,C-EEU-BGR-BG343,2050,0.0851529999999999
C-EEU-BGR,C-EEU-BGR-BG343,2055,0.0817899999999999
C-EEU-BGR,C-EEU-BGR-BG343,2060,0.0788289999999999
C-EEU-BGR,C-EEU-BGR-BG343,2065,0.0761959999999999
C-EEU-BGR,C-EEU-BGR-BG343,2070,0.0739479999999999
C-EEU-BGR,C-EEU-BGR-BG343,2075,0.0721859999999999
C-EEU-BGR,C-EEU-BGR-BG343,2080,0.0709199999999999
C-EEU-BGR,C-EEU-BGR-BG343,2085,0.0700939999999999
C-EEU-BGR,C-EEU-BGR-BG343,2090,0.0696329999999999
C-EEU-BGR,C-EEU-BGR-BG343,2095,0.0694089999999999
C-EEU-BGR,C-EEU-BGR-BG343,2100,0.06935599999999989
C-EEU-BGR,C-EEU-BGR-BG344,2020,0.3139459999999999
C-EEU-BGR,C-EEU-BGR-BG344,2025,0.301401
C-EEU-BGR,C-EEU-BGR-BG344,2030,0.2896099999999999
C-EEU-BGR,C-EEU-BGR-BG344,2035,0.278671
C-EEU-BGR,C-EEU-BGR-BG344,2040,0.268681
C-EEU-BGR,C-EEU-BGR-BG344,2045,0.25962599999999997
C-EEU-BGR,C-EEU-BGR-BG344,2050,0.2513729999999999
C-EEU-BGR,C-EEU-BGR-BG344,2055,0.24367199999999992
C-EEU-BGR,C-EEU-BGR-BG344,2060,0.236336
C-EEU-BGR,C-EEU-BGR-BG344,2065,0.22942199999999988
C-EEU-BGR,C-EEU-BGR-BG344,2070,0.22305899999999998
C-EEU-BGR,C-EEU-BGR-BG344,2075,0.2176889999999999
C-EEU-BGR,C-EEU-BGR-BG344,2080,0.2135129999999999
C-EEU-BGR,C-EEU-BGR-BG344,2085,0.2104879999999999
C-EEU-BGR,C-EEU-BGR-BG344,2090,0.2086669999999999
C-EEU-BGR,C-EEU-BGR-BG344,2095,0.2077179999999999
C-EEU-BGR,C-EEU-BGR-BG344,2100,0.2070249999999999
C-EEU-BGR,C-EEU-BGR-BG411,2020,1.330976
C-EEU-BGR,C-EEU-BGR-BG411,2025,1.335765
C-EEU-BGR,C-EEU-BGR-BG411,2030,1.3350269999999997
C-EEU-BGR,C-EEU-BGR-BG411,2035,1.3294599999999999
C-EEU-BGR,C-EEU-BGR-BG411,2040,1.322749
C-EEU-BGR,C-EEU-BGR-BG411,2045,1.316109
C-EEU-BGR,C-EEU-BGR-BG411,2050,1.3089459999999997
C-EEU-BGR,C-EEU-BGR-BG411,2055,1.299467
C-EEU-BGR,C-EEU-BGR-BG411,2060,1.285869
C-EEU-BGR,C-EEU-BGR-BG411,2065,1.268042
C-EEU-BGR,C-EEU-BGR-BG411,2070,1.248212
C-EEU-BGR,C-EEU-BGR-BG411,2075,1.229356
C-EEU-BGR,C-EEU-BGR-BG411,2080,1.213444
C-EEU-BGR,C-EEU-BGR-BG411,2085,1.2018910000000003
C-EEU-BGR,C-EEU-BGR-BG411,2090,1.195793
C-EEU-BGR,C-EEU-BGR-BG411,2095,1.194219
C-EEU-BGR,C-EEU-BGR-BG411,2100,1.1941140000000001
