region_gea,arch,mat
AFR,mfh,perm
AFR,sfh,perm
AFR,inf,sub
CPA,mfh,perm
CPA,sfh,perm
CPA,inf,sub
EEU,mfh,perm
EEU,sfh,perm
FSU,mfh,perm
FSU,sfh,perm
LAC,mfh,perm
LAC,sfh,perm
LAC,inf,sub
MEA,mfh,perm
MEA,sfh,perm
MEA,inf,sub
NAM,mfh,perm
NAM,sfh,perm
PAO,mfh,perm
PAO,sfh,perm
PAS,mfh,perm
PAS,sfh,perm
PAS,inf,sub
SAS,mfh,perm
SAS,sfh,perm
SAS,inf,sub
WEU,mfh,perm
WEU,sfh,perm
