region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,mfh,2015,0.2323983135525065
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2015,0.7676016864474935
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2015,0.19649448691386248
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,sfh,2015,0.8035055130861375
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,mfh,2015,0.24188169538891477
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,sfh,2015,0.7581183046110852
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,mfh,2015,0.31181507521897955
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,sfh,2015,0.6881849247810204
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,mfh,2015,0.19209489664940468
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,sfh,2015,0.8079051033505953
C-EEU-BGR,C-EEU-BGR-BG321,rur,perm,mfh,2015,0.3545891735551334
C-EEU-BGR,C-EEU-BGR-BG321,rur,perm,sfh,2015,0.6454108264448666
C-EEU-BGR,C-EEU-BGR-BG322,rur,perm,mfh,2015,0.36529122767159855
C-EEU-BGR,C-EEU-BGR-BG322,rur,perm,sfh,2015,0.6347087723284015
C-EEU-BGR,C-EEU-BGR-BG323,rur,perm,mfh,2015,0.3458824728087827
C-EEU-BGR,C-EEU-BGR-BG323,rur,perm,sfh,2015,0.6541175271912173
C-EEU-BGR,C-EEU-BGR-BG324,rur,perm,mfh,2015,0.2701471435303974
C-EEU-BGR,C-EEU-BGR-BG324,rur,perm,sfh,2015,0.7298528564696025
C-EEU-BGR,C-EEU-BGR-BG325,rur,perm,mfh,2015,0.3246766577704783
C-EEU-BGR,C-EEU-BGR-BG325,rur,perm,sfh,2015,0.6753233422295217
C-EEU-BGR,C-EEU-BGR-BG331,rur,perm,mfh,2015,0.5622817338918435
C-EEU-BGR,C-EEU-BGR-BG331,rur,perm,sfh,2015,0.43771826610815645
C-EEU-BGR,C-EEU-BGR-BG332,rur,perm,mfh,2015,0.35880351573575275
C-EEU-BGR,C-EEU-BGR-BG332,rur,perm,sfh,2015,0.6411964842642472
C-EEU-BGR,C-EEU-BGR-BG333,rur,perm,mfh,2015,0.34978924055154675
C-EEU-BGR,C-EEU-BGR-BG333,rur,perm,sfh,2015,0.6502107594484532
C-EEU-BGR,C-EEU-BGR-BG334,rur,perm,mfh,2015,0.298525701671397
C-EEU-BGR,C-EEU-BGR-BG334,rur,perm,sfh,2015,0.701474298328603
C-EEU-BGR,C-EEU-BGR-BG341,rur,perm,mfh,2015,0.766343721989735
C-EEU-BGR,C-EEU-BGR-BG341,rur,perm,sfh,2015,0.233656278010265
C-EEU-BGR,C-EEU-BGR-BG342,rur,perm,mfh,2015,0.3185875399553706
C-EEU-BGR,C-EEU-BGR-BG342,rur,perm,sfh,2015,0.6814124600446294
C-EEU-BGR,C-EEU-BGR-BG343,rur,perm,mfh,2015,0.36191527964029346
C-EEU-BGR,C-EEU-BGR-BG343,rur,perm,sfh,2015,0.6380847203597065
C-EEU-BGR,C-EEU-BGR-BG344,rur,perm,mfh,2015,0.43623613829093283
C-EEU-BGR,C-EEU-BGR-BG344,rur,perm,sfh,2015,0.5637638617090672
C-EEU-BGR,C-EEU-BGR-BG411,rur,perm,mfh,2015,0.8257434721380519
C-EEU-BGR,C-EEU-BGR-BG411,rur,perm,sfh,2015,0.17425652786194812
C-EEU-BGR,C-EEU-BGR-BG412,rur,perm,mfh,2015,0.15281969120019315
C-EEU-BGR,C-EEU-BGR-BG412,rur,perm,sfh,2015,0.8471803087998069
C-EEU-BGR,C-EEU-BGR-BG413,rur,perm,mfh,2015,0.5664360033852741
C-EEU-BGR,C-EEU-BGR-BG413,rur,perm,sfh,2015,0.4335639966147259
C-EEU-BGR,C-EEU-BGR-BG414,rur,perm,mfh,2015,0.23981147249705426
C-EEU-BGR,C-EEU-BGR-BG414,rur,perm,sfh,2015,0.7601885275029457
C-EEU-BGR,C-EEU-BGR-BG415,rur,perm,mfh,2015,0.30804178921030684
C-EEU-BGR,C-EEU-BGR-BG415,rur,perm,sfh,2015,0.6919582107896931
C-EEU-BGR,C-EEU-BGR-BG421,rur,perm,mfh,2015,0.5323724156569524
C-EEU-BGR,C-EEU-BGR-BG421,rur,perm,sfh,2015,0.46762758434304763
C-EEU-BGR,C-EEU-BGR-BG422,rur,perm,mfh,2015,0.35681496054663536
C-EEU-BGR,C-EEU-BGR-BG422,rur,perm,sfh,2015,0.6431850394533647
C-EEU-BGR,C-EEU-BGR-BG423,rur,perm,mfh,2015,0.344512755570988
C-EEU-BGR,C-EEU-BGR-BG423,rur,perm,sfh,2015,0.6554872444290121
C-EEU-BGR,C-EEU-BGR-BG424,rur,perm,mfh,2015,0.648186358063455
C-EEU-BGR,C-EEU-BGR-BG424,rur,perm,sfh,2015,0.35181364193654496
C-EEU-BGR,C-EEU-BGR-BG425,rur,perm,mfh,2015,0.4511595221363317
C-EEU-BGR,C-EEU-BGR-BG425,rur,perm,sfh,2015,0.5488404778636683
C-EEU-CZE,C-EEU-CZE-CZ010,rur,perm,mfh,2015,0.936727653347859
C-EEU-CZE,C-EEU-CZE-CZ010,rur,perm,sfh,2015,0.06327234665214099
