year,region_bld,clim,arch,mat,urt,Occupied conventional dwellings,Unoccupied conventional dwellings
2015,C-EEU-SVK,Zone_5A Cool Humid,sfh,perm,rur,348021.0,102661.0
2015,C-EEU-SVK,Zone_5A Cool Humid,sfh,perm,urb,270175.0,80977.0
2015,C-EEU-SVK,Zone_6A Cold Humid,mfh,perm,rur,97126.99999999999,19628.0
2015,C-EEU-SVK,Zone_6A Cold Humid,mfh,perm,urb,93207.99999999999,21854.999999999996
2015,C-EEU-SVK,Zone_6A Cold Humid,sfh,perm,rur,113823.0,28043.0
2015,C-EEU-SVK,Zone_6A Cold Humid,sfh,perm,urb,115077.0,34702.0
2015,C-EEU-SVN,Zone_4A Mixed Humid,mfh,perm,rur,96583.0,23079.0
2015,C-EEU-SVN,Zone_4A Mixed Humid,mfh,perm,urb,24152.999999999996,8685.0
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,perm,rur,164057.0,39951.0
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,perm,urb,17323.999999999996,5758.0
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,perm,rur,41826.0,8504.0
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,perm,urb,140933.0,32066.0
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,perm,rur,64002.0,17390.0
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,perm,urb,110022.99999999999,18919.0
2015,C-EEU-SVN,Zone_7A Very cold Humid,mfh,perm,rur,16486.0,4453.0
2015,C-EEU-SVN,Zone_7A Very cold Humid,sfh,perm,rur,23359.999999999996,6771.0
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,perm,rur,73624.0,19596.0
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,perm,urb,948460.0,146191.0
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,perm,rur,103909.0,21901.0
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,perm,urb,136152.99999999994,37067.999999999985
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,perm,rur,349996.0,100743.0
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,perm,urb,324463.0,70330.0
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,perm,rur,382034.0,76030.0
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,perm,urb,213789.0,42946.0
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,perm,rur,153345.0,48857.0
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,perm,urb,634089.0,166393.0
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,perm,rur,98671.0,19242.999999999996
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,perm,urb,246288.99999999997,39816.99999999999
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,perm,rur,137721.0,58042.0
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,perm,urb,119792.0,26254.0
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,perm,rur,70941.0,16833.0
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,perm,urb,22610.0,3279.999999999999
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,perm,rur,29446.0,5665.999999999999
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,perm,urb,1476516.0,465792.0
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,perm,rur,140024.0,14267.0
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,perm,urb,2668495.0,237825.99999999997
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,perm,rur,56462.999999999985,13668.999999999998
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,perm,urb,117907.99999999999,27819.0
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,perm,rur,179165.0,37351.0
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,perm,urb,281974.0,28706.999999999996
2015,C-WEU-CYP,Zone_3A Warm Humid,mfh,perm,urb,182993.0,72235.0
2015,C-WEU-CYP,Zone_3A Warm Humid,sfh,perm,urb,170439.0,65875.0
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,perm,rur,25536.999999999996,2759.0
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,perm,urb,5168629.0,386448.0
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,perm,rur,31749.0,1828.9999999999995
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,perm,urb,1895743.9999999998,72448.99999999999
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,perm,rur,2828954.0,455307.0
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,perm,urb,19111880.0,1815594.0
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,perm,rur,2324737.0,167258.99999999997
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,perm,urb,8288497.999999999,385871.99999999994
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,perm,rur,49461.0,8180.0
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,perm,urb,36657.0,4881.0
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,perm,rur,28480.999999999996,2320.999999999999
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,perm,urb,12461.0,827.9999999999998
2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,perm,rur,158291.0,101724.0
2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,perm,urb,1123824.0,227183.0
2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,perm,rur,331776.0,23528.999999999993
2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,perm,urb,1052357.0,53294.999999999985
2015,C-WEU-ESP,Zone_2B Hot Dry,mfh,perm,urb,36311.0,15043.000000000002
2015,C-WEU-ESP,Zone_2B Hot Dry,sfh,perm,urb,19811.999999999996,6443.0
2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,perm,rur,1086.0,657.0
2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,perm,urb,9196410.0,2921764.0
2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,perm,rur,3146.0,1748.0
2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,perm,urb,2900155.9999999995,1715039.0
2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,perm,rur,4458.0,2447.0
2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,perm,urb,1182715.0,458707.0
2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,perm,rur,4562.0,3343.0
2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,perm,urb,445953.99999999994,277658.0
2015,C-WEU-ESP,Zone_3C Warm Marine,mfh,perm,urb,557836.0,233111.0
2015,C-WEU-ESP,Zone_3C Warm Marine,sfh,perm,urb,272535.0,128948.0
2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,perm,rur,67551.0,42370.0
2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,perm,urb,1466755.0,502748.0
2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,perm,rur,62104.0,108203.0
2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,perm,urb,402661.99999999994,383159.0
2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,perm,rur,220599.0,154782.0
2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,perm,urb,1016720.0,396252.0
2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,perm,rur,181340.0,281126.0
2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,perm,urb,426055.99999999994,398466.0
2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,perm,rur,63770.0,15151.0
2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,perm,urb,948806.0,106894.0
2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,perm,rur,60760.0,5786.999999999999
2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,perm,urb,306423.0,23469.999999999996
2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,perm,rur,239384.0,57315.0
2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,perm,urb,589844.0,91240.0
