region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.20393348127854388
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1965,p2,0.042313629555116174
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1970,p2,0.057570725577661075
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1975,p2,0.1030422610179833
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.11522846928784729
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1985,p2,0.05727259614919068
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0547078584073282
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1995,p3,0.057515630702100806
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0491433484804528
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2005,p3,0.03755852073899742
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.06589168989093554
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03991128052353739
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.20393348127854388
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1965,p2,0.042313629555116174
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1970,p2,0.057570725577661075
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1975,p2,0.1030422610179833
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.11522846928784729
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1985,p2,0.05727259614919068
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0547078584073282
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1995,p3,0.057515630702100806
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0491433484804528
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2005,p3,0.03755852073899742
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.06589168989093554
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.03991128052353739
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.20393348127854388
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1965,p2,0.042313629555116174
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1970,p2,0.057570725577661075
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1975,p2,0.1030422610179833
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.11522846928784729
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1985,p2,0.05727259614919068
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0547078584073282
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1995,p3,0.057515630702100806
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0491433484804528
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2005,p3,0.03755852073899742
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.06589168989093554
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03991128052353739
