region_bld,urt,clim
C-EEU-HRV,rur,Zone_3A Warm Humid
C-EEU-HRV,urb,Zone_3A Warm Humid
C-EEU-HUN,rur,Zone_4A Mixed Humid
C-EEU-HUN,urb,Zone_4A Mixed Humid
C-EEU-HUN,rur,Zone_5A Cool Humid
C-EEU-HUN,urb,Zone_5A Cool Humid
C-WEU-IRL,rur,Zone_5A Cool Humid
C-WEU-IRL,urb,Zone_5A Cool Humid
C-WEU-IRL,rur,Zone_4A Mixed Humid
C-WEU-IRL,urb,Zone_4A Mixed Humid
C-WEU-ITA,rur,Zone_4A Mixed Humid
C-WEU-ITA,urb,Zone_4A Mixed Humid
C-WEU-ITA,rur,Zone_5A Cool Humid
C-WEU-ITA,urb,Zone_5A Cool Humid
C-WEU-ITA,rur,Zone_7A Very cold Humid
C-WEU-ITA,urb,Zone_7A Very cold Humid
C-WEU-ITA,rur,Zone_6A Cold Humid
C-WEU-ITA,urb,Zone_6A Cold Humid
C-WEU-ITA,rur,Zone_3A Warm Humid
C-WEU-ITA,urb,Zone_3A Warm Humid
C-WEU-ITA,rur,Zone_4C Mixed Marine
C-WEU-ITA,urb,Zone_4C Mixed Marine
C-WEU-ITA,rur,Zone_5C Cool Marine
C-WEU-ITA,urb,Zone_5C Cool Marine
C-EEU-LTU,rur,Zone_6A Cold Humid
C-EEU-LTU,urb,Zone_6A Cold Humid
C-EEU-LTU,rur,Zone_5A Cool Humid
C-EEU-LTU,urb,Zone_5A Cool Humid
C-WEU-LUX,rur,Zone_5A Cool Humid
C-WEU-LUX,urb,Zone_5A Cool Humid
C-EEU-LVA,rur,Zone_6A Cold Humid
C-EEU-LVA,urb,Zone_6A Cold Humid
C-WEU-MLT,rur,Zone_3A Warm Humid
C-WEU-MLT,urb,Zone_3A Warm Humid
C-WEU-NLD,rur,Zone_5A Cool Humid
C-WEU-NLD,urb,Zone_5A Cool Humid
C-WEU-NLD,rur,Zone_4A Mixed Humid
C-WEU-NLD,urb,Zone_4A Mixed Humid
C-EEU-POL,rur,Zone_5A Cool Humid
C-EEU-POL,urb,Zone_5A Cool Humid
C-EEU-POL,rur,Zone_6A Cold Humid
C-EEU-POL,urb,Zone_6A Cold Humid
C-WEU-PRT,rur,Zone_3C Warm Marine
C-WEU-PRT,urb,Zone_3C Warm Marine
C-WEU-PRT,rur,Zone_4C Mixed Marine
C-WEU-PRT,urb,Zone_4C Mixed Marine
C-WEU-PRT,rur,Zone_4A Mixed Humid
C-WEU-PRT,urb,Zone_4A Mixed Humid
C-WEU-PRT,rur,Zone_3A Warm Humid
C-WEU-PRT,urb,Zone_3A Warm Humid
C-EEU-ROU,rur,Zone_5A Cool Humid
C-EEU-ROU,urb,Zone_5A Cool Humid
C-EEU-ROU,rur,Zone_6A Cold Humid
C-EEU-ROU,urb,Zone_6A Cold Humid
C-EEU-ROU,rur,Zone_4A Mixed Humid
C-EEU-ROU,urb,Zone_4A Mixed Humid
C-WEU-SWE,rur,Zone_6A Cold Humid
C-WEU-SWE,urb,Zone_6A Cold Humid
C-WEU-SWE,rur,Zone_5A Cool Humid
C-WEU-SWE,urb,Zone_5A Cool Humid
C-WEU-SWE,rur,Zone_7A Very cold Humid
C-WEU-SWE,urb,Zone_7A Very cold Humid
C-WEU-SWE,rur,Zone_8A Subarctic/arctic Humid
C-WEU-SWE,urb,Zone_8A Subarctic/arctic Humid
C-EEU-SVN,rur,Zone_4A Mixed Humid
C-EEU-SVN,urb,Zone_4A Mixed Humid
C-EEU-SVN,rur,Zone_5A Cool Humid
C-EEU-SVN,urb,Zone_5A Cool Humid
C-EEU-SVN,rur,Zone_7A Very cold Humid
C-EEU-SVN,urb,Zone_7A Very cold Humid
C-EEU-SVK,rur,Zone_5A Cool Humid
C-EEU-SVK,urb,Zone_5A Cool Humid
C-EEU-SVK,rur,Zone_6A Cold Humid
C-EEU-SVK,urb,Zone_6A Cold Humid
