region_bld,region_nuts,urt,mat,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2095,76.48248906764186
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2090,75.52749171362879
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2085,74.44161201404667
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2080,73.21069249956139
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2075,71.82064394037138
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2070,70.25806129846133
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2065,68.51100765109298
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2060,66.56995806855673
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2055,64.42887026577192
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2020,45.819390377127625
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2050,62.086316909283134
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2040,56.8205681562852
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2035,53.926422533106155
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2030,50.88963086804545
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2025,47.742564694104864
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2020,44.52337244667315
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2015,41.274278171982736
C-EEU-BGR,C-EEU-BGR-BG311,sub,perm,sfh,2045,59.54657912070599
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2015,42.475719159893615
C-EEU-BGR,C-EEU-BGR-BG311,urb,perm,sfh,2100,79.57106887965723
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2045,64.84246977213597
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2040,61.87401572877847
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2035,58.72247364427455
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2030,55.41559901514071
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2025,51.988642399530626
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2020,48.4831450380172
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2015,44.94508625438214
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2050,67.60808407302028
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2055,70.15897696142335
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2065,74.60416716247295
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2060,72.49048656586487
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2070,76.5065984186858
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2075,78.2081523823338
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2080,79.72182760956002
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2085,81.06222134146779
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2095,83.28460775913483
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2100,84.19701007738118
C-EEU-BGR,C-EEU-BGR-BG311,rur,perm,sfh,2090,82.24467586087185
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2015,36.03915481011528
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2055,51.6621998778897
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2050,49.783826735474584
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2045,47.747341531506166
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2040,45.561493437007535
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2035,43.240826795486925
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2030,40.80577963017214
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2025,38.28230900353255
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2020,35.70100418935474
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2060,53.37902815006703
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2065,54.935456062480334
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2070,56.33632859777287
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2075,57.58928330400508
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2015,33.09572246222617
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2100,61.9992330561111
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2095,61.327377322817796
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2090,60.56161402521907
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2085,59.69090289870238
C-EEU-BGR,C-EEU-BGR-BG312,sub,perm,mfh,2080,58.703891808764524
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2095,63.112538155666094
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2100,67.51325524825268
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2095,66.78164672059908
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2090,65.94777877704344
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2085,64.99962926560009
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2080,63.924836427638326
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2070,61.34670938475392
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2065,59.821247530090716
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,mfh,2100,63.80395074256635
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2055,56.2568779501769
C-EEU-BGR,C-EEU-BGR-BG312,rur,perm,mfh,2050,54.211448044607536
