region_bld,region_gea,mat,arch,yr_con,bld_age,value
C-EEU-HRV,EEU,perm,mfh,1975,p2,0.11068096106028756
C-EEU-HRV,EEU,perm,mfh,1980,p2,0.11842555198543148
C-EEU-HRV,EEU,perm,mfh,1985,p2,0.09155039169740702
C-EEU-HRV,EEU,perm,mfh,1990,p2,0.09893177645226059
C-EEU-HRV,EEU,perm,mfh,1995,p3,0.02961046819772775
C-EEU-HRV,EEU,perm,mfh,2000,p3,0.05920734337745322
C-EEU-HRV,EEU,perm,mfh,2005,p3,0.05835991575965429
C-EEU-HRV,EEU,perm,mfh,2010,p3,0.07490067145443918
C-EEU-HRV,EEU,perm,mfh,2015,p3,0.03592893165158675
C-EEU-HRV,EEU,perm,mfh,2020,p3,0.03555018064453928
C-EEU-HRV,EEU,perm,sfh,1945,p1,0.08174575818097624
C-EEU-HRV,EEU,perm,sfh,1960,p2,0.06996050187201558
C-EEU-HRV,EEU,perm,sfh,1965,p2,0.061194136567345084
C-EEU-HRV,EEU,perm,sfh,1970,p2,0.07395341185228493
C-EEU-HRV,EEU,perm,sfh,1975,p2,0.11068095988858256
C-EEU-HRV,EEU,perm,sfh,1980,p2,0.11842555240372689
C-EEU-HRV,EEU,perm,sfh,1985,p2,0.09155039169740702
C-EEU-HRV,EEU,perm,sfh,1990,p2,0.09893177645226059
C-EEU-HRV,EEU,perm,sfh,1995,p3,0.02961046819772775
C-EEU-HRV,EEU,perm,sfh,2000,p3,0.05920734337745322
C-EEU-HRV,EEU,perm,sfh,2005,p3,0.05835991575965429
C-EEU-HRV,EEU,perm,sfh,2010,p3,0.07490067145443918
C-EEU-HRV,EEU,perm,sfh,2015,p3,0.03592893165158675
C-EEU-HRV,EEU,perm,sfh,2020,p3,0.03555018064453928
C-EEU-HUN,EEU,perm,mfh,1945,p1,0.1620337074613338
C-EEU-HUN,EEU,perm,mfh,1960,p2,0.1159468480658389
C-EEU-HUN,EEU,perm,mfh,1965,p2,0.07470660046106774
C-EEU-HUN,EEU,perm,mfh,1970,p2,0.09225436365455623
C-EEU-HUN,EEU,perm,mfh,1975,p2,0.09789137558488939
C-EEU-HUN,EEU,perm,mfh,1980,p2,0.09694892770195633
C-EEU-HUN,EEU,perm,mfh,1985,p2,0.04804680437526774
C-EEU-HUN,EEU,perm,mfh,1990,p2,0.048718929478507485
C-EEU-HUN,EEU,perm,mfh,1995,p3,0.06875422279010687
C-EEU-HUN,EEU,perm,mfh,2000,p3,0.06009362103053796
C-EEU-HUN,EEU,perm,mfh,2005,p3,0.040886466064435835
C-EEU-HUN,EEU,perm,mfh,2010,p3,0.04604934975184405
C-EEU-HUN,EEU,perm,mfh,2015,p3,0.014334054074306395
C-EEU-HUN,EEU,perm,mfh,2020,p3,0.03333472950535061
C-EEU-HUN,EEU,perm,sfh,1945,p1,0.16203370746133383
C-EEU-HUN,EEU,perm,sfh,1960,p2,0.1159468480658389
C-EEU-HUN,EEU,perm,sfh,1965,p2,0.07470660040654471
C-EEU-HUN,EEU,perm,sfh,1970,p2,0.09225436505300084
C-EEU-HUN,EEU,perm,sfh,1975,p2,0.09789137540177967
C-EEU-HUN,EEU,perm,sfh,1980,p2,0.09694892654114447
C-EEU-HUN,EEU,perm,sfh,1985,p2,0.04804680420311315
C-EEU-HUN,EEU,perm,sfh,1990,p2,0.04871893028249188
C-EEU-HUN,EEU,perm,sfh,1995,p3,0.06875422253567799
C-EEU-HUN,EEU,perm,sfh,2000,p3,0.060093620653137024
C-EEU-HUN,EEU,perm,sfh,2005,p3,0.040886466064435835
C-EEU-HUN,EEU,perm,sfh,2010,p3,0.04604934975184405
C-EEU-HUN,EEU,perm,sfh,2015,p3,0.014334054074306395
C-EEU-HUN,EEU,perm,sfh,2020,p3,0.03333472950535061
C-EEU-LTU,EEU,perm,mfh,1945,p1,0.0859972541916713
C-EEU-LTU,EEU,perm,mfh,1960,p2,0.07400476431580923
C-EEU-LTU,EEU,perm,mfh,1965,p2,0.050418062052310274
C-EEU-LTU,EEU,perm,mfh,1970,p2,0.20425559150610334
C-EEU-LTU,EEU,perm,mfh,1975,p2,0.06815121522775176
C-EEU-LTU,EEU,perm,mfh,1980,p2,0.07062283385436299
C-EEU-LTU,EEU,perm,mfh,1985,p2,0.0719605829032229
C-EEU-LTU,EEU,perm,mfh,1990,p2,0.09627368556065442
C-EEU-LTU,EEU,perm,mfh,1995,p3,0.07376190460424163
C-EEU-LTU,EEU,perm,mfh,2000,p3,0.053814745006323994
C-EEU-LTU,EEU,perm,mfh,2005,p3,0.03431040454828643
C-EEU-LTU,EEU,perm,mfh,2010,p3,0.03632608647169129
C-EEU-LTU,EEU,perm,mfh,2015,p3,0.036022300597757455
C-EEU-LTU,EEU,perm,mfh,2020,p3,0.04408056915981234
C-EEU-LTU,EEU,perm,sfh,1945,p1,0.0859972541916713
C-EEU-LTU,EEU,perm,sfh,1960,p2,0.07400476431580923
C-EEU-LTU,EEU,perm,sfh,1965,p2,0.050418062052310274
C-EEU-LTU,EEU,perm,sfh,1970,p2,0.20425559150610334
C-EEU-LTU,EEU,perm,sfh,1975,p2,0.06815121522775176
C-EEU-LTU,EEU,perm,sfh,1980,p2,0.07062283385436299
C-EEU-LTU,EEU,perm,sfh,1985,p2,0.0719605829032229
C-EEU-LTU,EEU,perm,sfh,1990,p2,0.09627368556065442
C-EEU-LTU,EEU,perm,sfh,1995,p3,0.07376190460424163
C-EEU-LTU,EEU,perm,sfh,2000,p3,0.053814745006323994
C-EEU-LTU,EEU,perm,sfh,2005,p3,0.03431040469781954
C-EEU-LTU,EEU,perm,sfh,2010,p3,0.03632608632215818
C-EEU-LTU,EEU,perm,sfh,2015,p3,0.036022300597757455
C-EEU-LTU,EEU,perm,sfh,2020,p3,0.04408056915981234
C-EEU-LVA,EEU,perm,mfh,1945,p1,0.1891738413722619
C-EEU-LVA,EEU,perm,mfh,1960,p2,0.08766370907759738
C-EEU-LVA,EEU,perm,mfh,1965,p2,0.05295548017612935
C-EEU-LVA,EEU,perm,mfh,1970,p2,0.16221626095269745
C-EEU-LVA,EEU,perm,mfh,1975,p2,0.1284492681777958
C-EEU-LVA,EEU,perm,mfh,1980,p2,0.06643906348767886
C-EEU-LVA,EEU,perm,mfh,1985,p2,0.09426802329722786
C-EEU-LVA,EEU,perm,mfh,1990,p2,0.11319147427768733
C-EEU-LVA,EEU,perm,mfh,1995,p3,0.008404147864120162
C-EEU-LVA,EEU,perm,mfh,2000,p3,0.029804190760366688
C-EEU-LVA,EEU,perm,mfh,2005,p3,0.019403994847614386
C-EEU-LVA,EEU,perm,mfh,2010,p3,0.02802024793607244
C-EEU-LVA,EEU,perm,mfh,2015,p3,0.010674800165406109
C-EEU-LVA,EEU,perm,mfh,2020,p3,0.009335497607343788
C-EEU-LVA,EEU,perm,sfh,1945,p1,0.18917384137226187
C-EEU-LVA,EEU,perm,sfh,1960,p2,0.08766370907759738
C-EEU-LVA,EEU,perm,sfh,1965,p2,0.0529554803459371
C-EEU-LVA,EEU,perm,sfh,1970,p2,0.16221626896908273
C-EEU-LVA,EEU,perm,sfh,1975,p2,0.1284492597785583
C-EEU-LVA,EEU,perm,sfh,1980,p2,0.0664390637007233
C-EEU-LVA,EEU,perm,sfh,1985,p2,0.09426802325582306
C-EEU-LVA,EEU,perm,sfh,1990,p2,0.113191474499939
C-EEU-LVA,EEU,perm,sfh,1995,p3,0.008404147222954055
C-EEU-LVA,EEU,perm,sfh,2000,p3,0.02980419122068588
C-EEU-LVA,EEU,perm,sfh,2005,p3,0.019403994737826714
C-EEU-LVA,EEU,perm,sfh,2010,p3,0.02802024804586012
C-EEU-LVA,EEU,perm,sfh,2015,p3,0.010674800165406109
C-EEU-LVA,EEU,perm,sfh,2020,p3,0.009335497607343788
C-EEU-POL,EEU,perm,mfh,1945,p1,0.15518127431851278
C-EEU-POL,EEU,perm,mfh,1960,p2,0.09950207160961869
C-EEU-POL,EEU,perm,mfh,1965,p2,0.07461149685901533
C-EEU-POL,EEU,perm,mfh,1970,p2,0.08200944329990822
C-EEU-POL,EEU,perm,mfh,1975,p2,0.06178790290952206
C-EEU-POL,EEU,perm,mfh,1980,p2,0.07250864090087163
C-EEU-POL,EEU,perm,mfh,1985,p2,0.08242492893741965
C-EEU-POL,EEU,perm,mfh,1990,p2,0.06177906271454311
C-EEU-POL,EEU,perm,mfh,1995,p3,0.05288942622339936
C-EEU-POL,EEU,perm,mfh,2000,p3,0.039677569278457656
C-EEU-POL,EEU,perm,mfh,2005,p3,0.046399243806263084
C-EEU-POL,EEU,perm,mfh,2010,p3,0.057792635708483996
C-EEU-POL,EEU,perm,mfh,2015,p3,0.04952437222729573
C-EEU-POL,EEU,perm,mfh,2020,p3,0.06391193120668814
C-EEU-POL,EEU,perm,sfh,1945,p1,0.1551812743185128
C-EEU-POL,EEU,perm,sfh,1960,p2,0.09950207160961869
C-EEU-POL,EEU,perm,sfh,1965,p2,0.07461149665222568
C-EEU-POL,EEU,perm,sfh,1970,p2,0.08200944380605547
C-EEU-POL,EEU,perm,sfh,1975,p2,0.06178790276542642
C-EEU-POL,EEU,perm,sfh,1980,p2,0.07250864074560966
C-EEU-POL,EEU,perm,sfh,1985,p2,0.08242492893741965
C-EEU-POL,EEU,perm,sfh,1990,p2,0.06177906271454311
C-EEU-POL,EEU,perm,sfh,1995,p3,0.05288942622339936
C-EEU-POL,EEU,perm,sfh,2000,p3,0.039677569278457656
C-EEU-POL,EEU,perm,sfh,2005,p3,0.046399243806263084
C-EEU-POL,EEU,perm,sfh,2010,p3,0.057792635708483996
C-EEU-POL,EEU,perm,sfh,2015,p3,0.04952437222729573
C-EEU-POL,EEU,perm,sfh,2020,p3,0.06391193120668814
C-EEU-ROU,EEU,perm,mfh,1945,p1,0.07450900330420226
C-EEU-ROU,EEU,perm,mfh,1960,p2,0.14009599313276636
C-EEU-ROU,EEU,perm,mfh,1965,p2,0.11298064684318025
C-EEU-ROU,EEU,perm,mfh,1970,p2,0.12339470448872747
C-EEU-ROU,EEU,perm,mfh,1975,p2,0.10731445440374415
C-EEU-ROU,EEU,perm,mfh,1980,p2,0.09501241327927616
C-EEU-ROU,EEU,perm,mfh,1985,p2,0.045813077162388256
C-EEU-ROU,EEU,perm,mfh,1990,p2,0.04874682350037538
C-EEU-ROU,EEU,perm,mfh,1995,p3,0.014844977562372977
C-EEU-ROU,EEU,perm,mfh,2000,p3,0.07377126554463105
C-EEU-ROU,EEU,perm,mfh,2005,p3,0.027479961754966233
C-EEU-ROU,EEU,perm,mfh,2010,p3,0.04785017870080559
C-EEU-ROU,EEU,perm,mfh,2015,p3,0.032428368723949476
C-EEU-ROU,EEU,perm,mfh,2020,p3,0.05575813159861376
C-EEU-ROU,EEU,perm,sfh,1945,p1,0.07450900330420226
C-EEU-ROU,EEU,perm,sfh,1960,p2,0.14009599313276636
C-EEU-ROU,EEU,perm,sfh,1965,p2,0.11298064680046495
C-EEU-ROU,EEU,perm,sfh,1970,p2,0.12339470434805813
C-EEU-ROU,EEU,perm,sfh,1975,p2,0.10731445478040749
C-EEU-ROU,EEU,perm,sfh,1980,p2,0.09501241308599748
C-EEU-ROU,EEU,perm,sfh,1985,p2,0.045813077162388256
C-EEU-ROU,EEU,perm,sfh,1990,p2,0.04874682350037538
C-EEU-ROU,EEU,perm,sfh,1995,p3,0.014844977373471785
C-EEU-ROU,EEU,perm,sfh,2000,p3,0.07377126573353225
C-EEU-ROU,EEU,perm,sfh,2005,p3,0.0274799618786237
C-EEU-ROU,EEU,perm,sfh,2010,p3,0.047850178577148114
C-EEU-ROU,EEU,perm,sfh,2015,p3,0.032428368723949476
C-EEU-ROU,EEU,perm,sfh,2020,p3,0.05575813159861376
C-EEU-SVK,EEU,perm,mfh,1945,p1,0.08675260623793207
C-EEU-SVK,EEU,perm,mfh,1960,p2,0.14204763818801727
C-EEU-SVK,EEU,perm,mfh,1965,p2,0.21471933885749594
C-EEU-SVK,EEU,perm,mfh,1970,p2,0.06438147088089932
C-EEU-SVK,EEU,perm,mfh,1975,p2,0.058116959536099896
C-EEU-SVK,EEU,perm,mfh,1980,p2,0.0681565639588174
C-EEU-SVK,EEU,perm,mfh,1985,p2,0.06038303458175078
C-EEU-SVK,EEU,perm,mfh,1990,p2,0.049235531964099466
C-EEU-SVK,EEU,perm,mfh,1995,p3,0.07070487941270596
C-EEU-SVK,EEU,perm,mfh,2000,p3,0.060120771827639884
C-EEU-SVK,EEU,perm,mfh,2005,p3,0.026857654896614635
C-EEU-SVK,EEU,perm,mfh,2010,p3,0.036069713718863645
C-EEU-SVK,EEU,perm,mfh,2015,p3,0.03282879095075224
C-EEU-SVK,EEU,perm,mfh,2020,p3,0.02962504498831093
C-EEU-SVK,EEU,perm,sfh,1945,p1,0.08675260623793207
C-EEU-SVK,EEU,perm,sfh,1960,p2,0.14204763818801727
C-EEU-SVK,EEU,perm,sfh,1965,p2,0.21471933783156189
C-EEU-SVK,EEU,perm,sfh,1970,p2,0.06438147190683341
C-EEU-SVK,EEU,perm,sfh,1975,p2,0.058116959536099896
C-EEU-SVK,EEU,perm,sfh,1980,p2,0.0681565639588174
C-EEU-SVK,EEU,perm,sfh,1985,p2,0.060383034364595634
C-EEU-SVK,EEU,perm,sfh,1990,p2,0.04923553215936432
C-EEU-SVK,EEU,perm,sfh,1995,p3,0.07070487940654063
C-EEU-SVK,EEU,perm,sfh,2000,p3,0.06012077185569552
C-EEU-SVK,EEU,perm,sfh,2005,p3,0.026857654932663892
C-EEU-SVK,EEU,perm,sfh,2010,p3,0.03606971368281439
C-EEU-SVK,EEU,perm,sfh,2015,p3,0.03282879095075224
C-EEU-SVK,EEU,perm,sfh,2020,p3,0.02962504498831093
C-EEU-SVN,EEU,perm,mfh,1945,p1,0.17377449549063478
C-EEU-SVN,EEU,perm,mfh,1960,p2,0.09338956967061805
C-EEU-SVN,EEU,perm,mfh,1965,p2,0.02747398024298684
C-EEU-SVN,EEU,perm,mfh,1970,p2,0.10861452587283846
C-EEU-SVN,EEU,perm,mfh,1975,p2,0.12166063039805837
C-EEU-SVN,EEU,perm,mfh,1980,p2,0.10670681864521346
C-EEU-SVN,EEU,perm,mfh,1985,p2,0.05568845548822007
C-EEU-SVN,EEU,perm,mfh,1990,p2,0.059236339661347115
C-EEU-SVN,EEU,perm,mfh,1995,p3,0.0637261872128071
C-EEU-SVN,EEU,perm,mfh,2000,p3,0.06090430529457565
C-EEU-SVN,EEU,perm,mfh,2005,p3,0.04228539939905726
C-EEU-SVN,EEU,perm,mfh,2010,p3,0.049685369032069014
C-EEU-SVN,EEU,perm,mfh,2015,p3,0.02244164495449587
C-EEU-SVN,EEU,perm,mfh,2020,p3,0.014412278637077258
C-EEU-SVN,EEU,perm,sfh,1945,p1,0.1737744954906348
C-EEU-SVN,EEU,perm,sfh,1960,p2,0.09338956967061805
C-EEU-SVN,EEU,perm,sfh,1965,p2,0.02747397971953644
C-EEU-SVN,EEU,perm,sfh,1970,p2,0.1086145260007551
C-EEU-SVN,EEU,perm,sfh,1975,p2,0.1216606305744296
C-EEU-SVN,EEU,perm,sfh,1980,p2,0.10670681886437598
C-EEU-SVN,EEU,perm,sfh,1985,p2,0.05568845515732626
C-EEU-SVN,EEU,perm,sfh,1990,p2,0.05923633937727855
C-EEU-SVN,EEU,perm,sfh,1995,p3,0.06372618751350925
C-EEU-SVN,EEU,perm,sfh,2000,p3,0.060904305608835876
C-EEU-SVN,EEU,perm,sfh,2005,p3,0.04228539939905726
C-EEU-SVN,EEU,perm,sfh,2010,p3,0.049685369032069014
C-EEU-SVN,EEU,perm,sfh,2015,p3,0.02244164495449587
C-EEU-SVN,EEU,perm,sfh,2020,p3,0.014412278637077258
C-WEU-AUT,WEU,perm,mfh,1945,p1,0.20657788341946412
C-WEU-AUT,WEU,perm,mfh,1960,p2,0.09527110170237418
C-WEU-AUT,WEU,perm,mfh,1965,p2,0.05512698018648305
C-WEU-AUT,WEU,perm,mfh,1970,p2,0.08151226879304162
C-WEU-AUT,WEU,perm,mfh,1975,p2,0.07160856658560663
C-WEU-AUT,WEU,perm,mfh,1980,p2,0.05070073436008287
C-WEU-AUT,WEU,perm,mfh,1985,p2,0.039152807644002564
C-WEU-AUT,WEU,perm,mfh,1990,p2,0.0527511277012092
C-WEU-AUT,WEU,perm,mfh,1995,p3,0.07504781633097071
C-WEU-AUT,WEU,perm,mfh,2000,p3,0.05396898869544858
C-WEU-AUT,WEU,perm,mfh,2005,p3,0.05832849822225438
C-WEU-AUT,WEU,perm,mfh,2010,p3,0.04917517492138632
C-WEU-AUT,WEU,perm,mfh,2015,p3,0.04919276029294184
C-WEU-AUT,WEU,perm,mfh,2020,p3,0.06158529114473329
C-WEU-AUT,WEU,perm,sfh,1945,p1,0.20657788341946412
C-WEU-AUT,WEU,perm,sfh,1960,p2,0.09527110170237418
C-WEU-AUT,WEU,perm,sfh,1965,p2,0.05512699168465204
C-WEU-AUT,WEU,perm,sfh,1970,p2,0.08151224494815425
C-WEU-AUT,WEU,perm,sfh,1975,p2,0.07160858533011175
