region_bld,region_nuts,urt,mat,year,arch,value
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,2095,mfh,0.4648041497376829
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,2095,sfh,0.5351958502623171
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,2100,mfh,0.4648041497376829
C-EEU-BGR,C-EEU-BGR-BG312,urb,perm,2100,sfh,0.5351958502623171
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2015,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2015,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2020,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2020,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2025,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2025,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2030,mfh,0.45608233117483804
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2030,sfh,0.5439176688251619
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2035,mfh,0.4672062904717853
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2035,sfh,0.5327937095282147
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2040,mfh,0.4783302497687326
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2040,sfh,0.5216697502312674
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2045,mfh,0.4894542090656799
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2045,sfh,0.5105457909343201
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2050,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2050,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2055,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2055,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2060,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2060,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2065,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2065,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2070,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2070,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2075,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2075,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2080,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2080,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2085,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2085,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2090,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2090,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2095,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2095,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2100,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,rur,perm,2100,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2015,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2015,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2020,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2020,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2025,mfh,0.4449583718778908
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2025,sfh,0.5550416281221092
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2030,mfh,0.45608233117483804
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2030,sfh,0.5439176688251619
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2035,mfh,0.4672062904717853
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2035,sfh,0.5327937095282147
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2040,mfh,0.4783302497687326
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2040,sfh,0.5216697502312674
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2045,mfh,0.4894542090656799
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2045,sfh,0.5105457909343201
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2050,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2050,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2055,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2055,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2060,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2060,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2065,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2065,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2070,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2070,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2075,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2075,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2080,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2080,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2085,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2085,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2090,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2090,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2095,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2095,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2100,mfh,0.5005781683626271
C-EEU-BGR,C-EEU-BGR-BG313,urb,perm,2100,sfh,0.49942183163737286
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2015,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2015,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2020,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2020,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2025,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2025,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2030,mfh,0.5015739946380696
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2030,sfh,0.4984260053619304
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2035,mfh,0.5138075067024128
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2035,sfh,0.4861924932975872
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2040,mfh,0.526041018766756
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2040,sfh,0.473958981233244
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2045,mfh,0.5382745308310991
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2045,sfh,0.4617254691689009
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2050,mfh,0.5505080428954423
