region_bld,region_nuts,urt,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,sub,sfh,2035,2.357841730739822
C-EEU-BGR,C-EEU-BGR-BG311,sub,sfh,2030,2.357841730739822
C-EEU-BGR,C-EEU-BGR-BG311,sub,sfh,2025,2.357841730739822
C-EEU-BGR,C-EEU-BGR-BG311,sub,sfh,2020,2.357841730739822
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2065,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2060,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2100,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2050,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2020,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2025,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2030,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2055,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2040,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2045,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2050,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2055,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2060,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2065,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2070,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2075,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2035,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2085,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2080,2.266766299080344
