urt,year,region_bld,region_nuts,clim,arch,Occupied conventional dwellings,Unoccupied conventional dwellings,mat
rur,2015,C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,mfh,0.4637694335848713,0.2323983135525065,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,sfh,0.5362305664151287,0.7676016864474935,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,mfh,0.4131592442112737,0.19649448691386248,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,sfh,0.5868407557887263,0.8035055130861375,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,mfh,0.44495837187789083,0.24188169538891477,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,sfh,0.5550416281221091,0.7581183046110852,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,mfh,0.48934048257372653,0.31181507521897955,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,sfh,0.5106595174262735,0.6881849247810204,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,mfh,0.41898551340328816,0.19209489664940468,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,sfh,0.5810144865967118,0.8079051033505953,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,mfh,0.555822961791469,0.3545891735551334,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,sfh,0.44417703820853105,0.6454108264448666,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,mfh,0.6496191007060572,0.36529122767159855,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,sfh,0.3503808992939428,0.6347087723284014,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,mfh,0.6371631981173562,0.3458824728087827,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,sfh,0.3628368018826438,0.6541175271912173,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,mfh,0.3561603019317674,0.2701471435303974,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,sfh,0.6438396980682326,0.7298528564696025,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,mfh,0.4010851311200103,0.3246766577704783,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,sfh,0.5989148688799897,0.6753233422295216,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,mfh,0.7516431680627091,0.5622817338918435,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,sfh,0.2483568319372908,0.43771826610815645,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,mfh,0.543206432556613,0.35880351573575275,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,sfh,0.45679356744338695,0.6411964842642472,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,mfh,0.5370920850619018,0.34978924055154675,perm
rur,2015,C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,sfh,0.4629079149380982,0.6502107594484532,perm
