,region_bld,clim,arch,eneff,urt,value
76,C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,sub,1.0
77,C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,urb,1.0
78,C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,rur,1.0
79,C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,sub,1.0
80,C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,urb,1.0
81,C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,rur,1.0
82,C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,sub,1.0
83,C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,urb,1.0
84,C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,rur,1.0
85,C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,sub,1.0
86,C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,urb,1.0
87,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,rur,1.0
88,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,sub,1.0
89,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,urb,1.0
90,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,rur,1.0
91,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,sub,1.0
92,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,urb,1.0
93,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,rur,1.0
94,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,sub,1.0
95,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,urb,1.0
96,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,rur,1.0
97,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,sub,1.0
98,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,urb,1.0
99,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,rur,1.0
100,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,sub,1.0
101,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,urb,1.0
102,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,rur,1.0
103,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,sub,1.0
104,C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,urb,1.0
