region_bld,clim,urt,inc_cl,mat,year,value
C-EEU-ROU,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-EEU-ROU,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-WEU-SWE,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-WEU-SWE,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-WEU-SWE,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-WEU-SWE,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-SWE,Zone_7A Very cold Humid,rur,q1,sub,2015,0.0
C-WEU-SWE,Zone_7A Very cold Humid,urb,q1,sub,2015,0.0
C-WEU-SWE,Zone_8A Subarctic/arctic Humid,rur,q1,sub,2015,0.0
C-WEU-SWE,Zone_8A Subarctic/arctic Humid,urb,q1,sub,2015,0.0
C-EEU-SVN,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-EEU-SVN,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-EEU-SVN,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-SVN,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-SVN,Zone_7A Very cold Humid,rur,q1,sub,2015,0.0
C-EEU-SVN,Zone_7A Very cold Humid,urb,q1,sub,2015,0.0
C-EEU-SVK,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-SVK,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-SVK,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-EEU-SVK,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-WEU-AUT,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-AUT,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-AUT,Zone_6A Cold Humid,rur,q2,sub,2015,0.0
C-WEU-AUT,Zone_6A Cold Humid,urb,q2,sub,2015,0.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,q2,sub,2015,0.0
