region_bld,arch,year,value
C-EEU-HRV,mfh,2025,2.4521070047874294
C-EEU-HRV,mfh,2030,2.4516350175417587
C-EEU-HRV,mfh,2035,2.4514059788840825
C-EEU-HRV,mfh,2040,2.4513991598236333
C-EEU-HRV,mfh,2045,2.4515909024195364
C-EEU-HRV,mfh,2050,2.451953678226591
C-EEU-HRV,mfh,2055,2.4524551363045153
C-EEU-HRV,mfh,2060,2.4530571973165674
C-EEU-HRV,mfh,2065,2.4537152799156288
C-EEU-HRV,mfh,2070,2.4543777787547953
C-EEU-HRV,mfh,2075,2.454985945467826
C-EEU-HRV,mfh,2080,2.455474346876611
C-EEU-HRV,mfh,2085,2.4557720770442812
C-EEU-HRV,mfh,2090,2.4558048679291944
C-EEU-HRV,mfh,2095,2.455498164808388
C-EEU-HRV,mfh,2100,2.4547811017531664
C-EEU-HRV,sfh,2015,3.003504451089472
C-EEU-HRV,sfh,2020,3.0051127290891904
C-EEU-HRV,sfh,2025,3.0065531576881397
C-EEU-HRV,sfh,2030,3.0078324460942913
C-EEU-HRV,sfh,2035,3.0089565689623403
C-EEU-HRV,sfh,2040,3.0099310597195386
C-EEU-HRV,sfh,2045,3.0107613301327985
C-EEU-HRV,sfh,2050,3.01145302360189
C-EEU-HRV,sfh,2055,3.0120124061063045
C-EEU-HRV,sfh,2060,3.0124467931565406
C-EEU-HRV,sfh,2065,3.0127650029259208
C-EEU-HRV,sfh,2070,3.0129778146272264
C-EEU-HRV,sfh,2075,3.013098397362177
C-EEU-HRV,sfh,2080,3.0131426592874027
C-EEU-HRV,sfh,2085,3.0131294525637866
C-EEU-HRV,sfh,2090,3.013080560338446
C-EEU-HRV,sfh,2095,3.0130203933979476
C-EEU-HRV,sfh,2100,3.0129753417234872
C-EEU-HUN,mfh,2015,2.0060605723864846
C-EEU-HUN,mfh,2020,2.0048792884925937
C-EEU-HUN,mfh,2025,2.0034977511880694
C-EEU-HUN,mfh,2030,2.001927462679355
C-EEU-HUN,mfh,2035,2.0001802005269522
C-EEU-HUN,mfh,2040,1.9982686509498067
C-EEU-HUN,mfh,2045,1.9962070691080094
C-EEU-HUN,mfh,2050,1.9940119775990663
C-EEU-HUN,mfh,2055,1.9917029078678297
C-EEU-HUN,mfh,2060,1.9893031808144783
C-EEU-HUN,mfh,2065,1.9868407117865665
C-EEU-HUN,mfh,2070,1.9843488106655367
C-EEU-HUN,mfh,2075,1.9818669294957598
C-EEU-HUN,mfh,2080,1.9794412882215748
C-EEU-HUN,mfh,2085,1.97712528474854
C-EEU-HUN,mfh,2090,1.9749795713679155
C-EEU-HUN,mfh,2095,1.9730716601799985
C-EEU-HUN,mfh,2100,1.971474912327686
C-EEU-HUN,sfh,2015,2.645421731334034
C-EEU-HUN,sfh,2020,2.644355571289849
C-EEU-HUN,sfh,2025,2.6430825610069655
C-EEU-HUN,sfh,2030,2.6416141612116606
C-EEU-HUN,sfh,2035,2.6399619440816684
C-EEU-HUN,sfh,2040,2.6381382258120456
C-EEU-HUN,sfh,2045,2.6361567239586168
C-EEU-HUN,sfh,2050,2.634033251861512
C-EEU-HUN,sfh,2055,2.631786456092178
C-EEU-HUN,sfh,2060,2.6294385947214884
C-EEU-HUN,sfh,2065,2.6270163434607596
C-EEU-HUN,sfh,2070,2.624551602663065
C-EEU-HUN,sfh,2075,2.622082260334391
C-EEU-HUN,sfh,2080,2.6196528447826313
C-EEU-HUN,sfh,2085,2.617314976363398
C-EEU-HUN,sfh,2090,2.615127503442046
C-EEU-HUN,sfh,2095,2.6131561875836473
C-EEU-HUN,sfh,2100,2.6114727937029345
C-EEU-LTU,mfh,2015,2.150824098202577
C-EEU-LTU,mfh,2020,2.149260169459929
C-EEU-LTU,mfh,2025,2.1474445143674545
C-EEU-LTU,mfh,2030,2.1453854416321247
C-EEU-LTU,mfh,2035,2.1430970339375164
C-EEU-LTU,mfh,2040,2.140600776256118
C-EEU-LTU,mfh,2045,2.137927386068331
C-EEU-LTU,mfh,2050,2.135118770592035
C-EEU-LTU,mfh,2055,2.1322299717600077
C-EEU-LTU,mfh,2060,2.1293308762912453
C-EEU-LTU,mfh,2065,2.1265073715640166
C-EEU-LTU,mfh,2070,2.123861533403397
C-EEU-LTU,mfh,2075,2.1215103673208935
C-EEU-LTU,mfh,2080,2.119582631044075
C-EEU-LTU,mfh,2085,2.118213390708968
C-EEU-LTU,mfh,2090,2.117536243571372
C-EEU-LTU,mfh,2095,2.1176735790792853
C-EEU-LTU,mfh,2100,2.118725788174556
C-EEU-LTU,sfh,2015,2.600854762300191
C-EEU-LTU,sfh,2020,2.601312107692822
C-EEU-LTU,sfh,2025,2.601060421135157
C-EEU-LTU,sfh,2030,2.6001186573823976
C-EEU-LTU,sfh,2035,2.5985178856796898
C-EEU-LTU,sfh,2040,2.596304991935122
C-EEU-LTU,sfh,2045,2.593546879896718
C-EEU-LTU,sfh,2050,2.590335020959181
C-EEU-LTU,sfh,2055,2.586790059408742
C-EEU-LTU,sfh,2060,2.583065991894257
C-EEU-LTU,sfh,2065,2.579353217851225
C-EEU-LTU,sfh,2070,2.5758795337921057
C-EEU-LTU,sfh,2075,2.5729079799639707
C-EEU-LTU,sfh,2080,2.5707304343834037
C-EEU-LTU,sfh,2085,2.56965609568435
C-EEU-LTU,sfh,2090,2.5699945940249953
C-EEU-LTU,sfh,2095,2.572034435244233
C-EEU-LTU,sfh,2100,2.5760186970409613
C-EEU-LVA,mfh,2015,2.0715713069131487
C-EEU-LVA,mfh,2020,2.068016931934907
C-EEU-LVA,mfh,2025,2.064506954699917
C-EEU-LVA,mfh,2030,2.0610557247223333
C-EEU-LVA,mfh,2035,2.057680941893438
C-EEU-LVA,mfh,2040,2.05440398542002
C-EEU-LVA,mfh,2045,2.051250167452776
C-EEU-LVA,mfh,2050,2.048248857976217
C-EEU-LVA,mfh,2055,2.0454334148742412
C-EEU-LVA,mfh,2060,2.042840843060366
C-EEU-LVA,mfh,2065,2.0405111028542184
C-EEU-LVA,mfh,2070,2.03848599515273
C-EEU-LVA,mfh,2075,2.0368075745682543
C-EEU-LVA,mfh,2080,2.035516085837813
C-EEU-LVA,mfh,2085,2.0346474846715754
C-EEU-LVA,mfh,2090,2.034230687521597
C-EEU-LVA,mfh,2095,2.0342847837562648
C-EEU-LVA,mfh,2100,2.0348165190878746
C-EEU-LVA,sfh,2015,2.81661698045436
C-EEU-LVA,sfh,2020,2.8154261836874923
C-EEU-LVA,sfh,2025,2.81428068444904
C-EEU-LVA,sfh,2030,2.813180462378702
C-EEU-LVA,sfh,2035,2.8121254211671287
C-EEU-LVA,sfh,2040,2.8111153243592963
C-EEU-LVA,sfh,2045,2.8101497181588773
C-EEU-LVA,sfh,2050,2.8092278415195144
C-EEU-LVA,sfh,2055,2.8083485253947877
C-EEU-LVA,sfh,2060,2.8075100852384076
C-EEU-LVA,sfh,2065,2.8067102136749607
C-EEU-LVA,sfh,2070,2.8059458835039446
C-EEU-LVA,sfh,2075,2.805213274416171
C-EEU-LVA,sfh,2080,2.8045077392654654
C-EEU-LVA,sfh,2085,2.8038238264729998
C-EEU-LVA,sfh,2090,2.8031553730849654
C-EEU-LVA,sfh,2095,2.8024956773311143
C-EEU-LVA,sfh,2100,2.8018377500846885
C-EEU-POL,mfh,2015,2.515227342521446
C-EEU-POL,mfh,2020,2.515394975568339
C-EEU-POL,mfh,2025,2.516094474414363
C-EEU-POL,mfh,2030,2.517246694669374
C-EEU-POL,mfh,2035,2.518782031474815
C-EEU-POL,mfh,2040,2.520633570136461
C-EEU-POL,mfh,2045,2.5227310927450213
C-EEU-POL,mfh,2050,2.524995450738723
C-EEU-POL,mfh,2055,2.527333094744029
C-EEU-POL,mfh,2060,2.5296308343603604
C-EEU-POL,mfh,2065,2.5317512368951447
C-EEU-POL,mfh,2070,2.5335294917640754
C-EEU-POL,mfh,2075,2.5347730441155045
C-EEU-POL,mfh,2080,2.5352657300388395
C-EEU-POL,mfh,2085,2.5347782967286157
C-EEU-POL,mfh,2090,2.533086713511732
C-EEU-POL,mfh,2095,2.5299982105410153
C-EEU-POL,mfh,2100,2.525382415698716
C-EEU-POL,sfh,2015,3.5405531387568456
C-EEU-POL,sfh,2020,3.5407698016334224
C-EEU-POL,sfh,2025,3.5416480810228186
C-EEU-POL,sfh,2030,3.5430883991179534
C-EEU-POL,sfh,2035,3.545002941315378
C-EEU-POL,sfh,2040,3.5473070791443946
C-EEU-POL,sfh,2045,3.549911864544895
C-EEU-POL,sfh,2050,3.5527169876092204
C-EEU-POL,sfh,2055,3.5556039436516937
C-EEU-POL,sfh,2060,3.558429509735139
C-EEU-POL,sfh,2065,3.5610200539891887
C-EEU-POL,sfh,2070,3.563167725201586
C-EEU-POL,sfh,2075,3.564630165703745
C-EEU-POL,sfh,2080,3.5651359208772253
C-EEU-POL,sfh,2085,3.5643978934453444
C-EEU-POL,sfh,2090,3.562136569915181
C-EEU-POL,sfh,2095,3.558112878562735
C-EEU-POL,sfh,2100,3.552167301239169
C-EEU-ROU,mfh,2015,2.459258013379091
C-EEU-ROU,mfh,2020,2.4618624853843225
C-EEU-ROU,mfh,2025,2.464575217443638
C-EEU-ROU,mfh,2030,2.467394146989417
C-EEU-ROU,mfh,2035,2.470313737296273
C-EEU-ROU,mfh,2040,2.4733239142361403
C-EEU-ROU,mfh,2045,2.4764087573249554
C-EEU-ROU,mfh,2050,2.4795449286823934
C-EEU-ROU,mfh,2055,2.4826998472859723
C-EEU-ROU,mfh,2060,2.4858296584126123
C-EEU-ROU,mfh,2065,2.488877116610982
C-EEU-ROU,mfh,2070,2.4917696014052293
C-EEU-ROU,mfh,2075,2.4944176202590347
C-EEU-ROU,mfh,2080,2.496714314330571
C-EEU-ROU,mfh,2085,2.498536640378208
C-EEU-ROU,mfh,2090,2.499748998372399
C-EEU-ROU,mfh,2095,2.500210017498307
C-EEU-ROU,mfh,2100,2.4997828933746025
C-EEU-ROU,sfh,2015,2.6870175847587294
C-EEU-ROU,sfh,2020,2.6884279642895055
C-EEU-ROU,sfh,2025,2.689869455677678
C-EEU-ROU,sfh,2030,2.691342901959024
C-EEU-ROU,sfh,2035,2.692847331871009
C-EEU-ROU,sfh,2040,2.6943795209908052
C-EEU-ROU,sfh,2045,2.695933434965742
C-EEU-ROU,sfh,2050,2.6974995492442027
C-EEU-ROU,sfh,2055,2.699064050076355
C-EEU-ROU,sfh,2060,2.700607940460654
C-EEU-ROU,sfh,2065,2.7021061053600315
C-EEU-ROU,sfh,2070,2.7035264357729245
C-EEU-ROU,sfh,2075,2.704829172001126
C-EEU-ROU,sfh,2080,2.7059666986921127
C-EEU-ROU,sfh,2085,2.7068840949019437
C-EEU-ROU,sfh,2090,2.707520785161236
C-EEU-ROU,sfh,2095,2.7078136111730307
C-EEU-ROU,sfh,2100,2.707701498946175
C-EEU-SVK,mfh,2015,2.6670654942488117
C-EEU-SVK,mfh,2020,2.667728163769784
C-EEU-SVK,mfh,2025,2.6678463924378835
C-EEU-SVK,mfh,2030,2.6675132111785684
C-EEU-SVK,mfh,2035,2.666810616707004
C-EEU-SVK,mfh,2040,2.665815060194394
C-EEU-SVK,mfh,2045,2.6646019025453858
C-EEU-SVK,mfh,2050,2.663249199711852
C-EEU-SVK,mfh,2055,2.6618410072272916
C-EEU-SVK,mfh,2060,2.6604702537054825
C-EEU-SVK,mfh,2065,2.6592411045480517
C-EEU-SVK,mfh,2070,2.6582706076851736
C-EEU-SVK,mfh,2075,2.657689282273016
C-EEU-SVK,mfh,2080,2.6576401919968737
C-EEU-SVK,mfh,2085,2.6582759672611926
C-EEU-SVK,mfh,2090,2.6597532541533107
C-EEU-SVK,mfh,2095,2.662224235346267
C-EEU-SVK,mfh,2100,2.665825247536034
C-EEU-SVK,sfh,2015,3.5463841311255533
C-EEU-SVK,sfh,2020,3.5472420067816977
C-EEU-SVK,sfh,2025,3.5473626273632908
C-EEU-SVK,sfh,2030,3.5468706365567457
C-EEU-SVK,sfh,2035,3.5458757790160287
C-EEU-SVK,sfh,2040,3.544480290615743
C-EEU-SVK,sfh,2045,3.5427849024396787
C-EEU-SVK,sfh,2050,3.5408939492963416
C-EEU-SVK,sfh,2055,3.538919839425689
C-EEU-SVK,sfh,2060,3.536986954689168
C-EEU-SVK,sfh,2065,3.5352348776788385
C-EEU-SVK,sfh,2070,3.5338206676756094
C-EEU-SVK,sfh,2075,3.5329197302070727
C-EEU-SVK,sfh,2080,3.532724662422859
C-EEU-SVK,sfh,2085,3.533441349093201
C-EEU-SVK,sfh,2090,3.535281597702406
C-EEU-SVK,sfh,2095,3.5384518206099145
C-EEU-SVK,sfh,2100,3.5431377773877455
C-EEU-SVN,mfh,2015,2.4319317965711775
C-EEU-SVN,mfh,2020,2.4318113273847035
C-EEU-SVN,mfh,2025,2.4317226208281553
C-EEU-SVN,mfh,2030,2.4316558803203963
C-EEU-SVN,mfh,2035,2.4316022026010518
C-EEU-SVN,mfh,2040,2.4315531006095337
C-EEU-SVN,mfh,2045,2.4315001467110027
C-EEU-SVN,mfh,2050,2.4314347052177654
C-EEU-SVN,mfh,2055,2.431347740984807
C-EEU-SVN,mfh,2060,2.431229703887734
C-EEU-SVN,mfh,2065,2.43107049918061
C-EEU-SVN,mfh,2070,2.4308595616174147
C-EEU-SVN,mfh,2075,2.4305860562164567
C-EEU-SVN,mfh,2080,2.4302392290779458
C-EEU-SVN,mfh,2085,2.429808925391798
C-EEU-SVN,mfh,2090,2.4292862761372933
C-EEU-SVN,mfh,2095,2.4286645282745534
C-EEU-SVN,mfh,2100,2.4279399562402615
C-EEU-SVN,sfh,2015,3.463260064426955
C-EEU-SVN,sfh,2020,3.4631745844560564
C-EEU-SVN,sfh,2025,3.462987955387073
C-EEU-SVN,sfh,2030,3.4627079676223937
C-EEU-SVN,sfh,2035,3.4623403189037307
C-EEU-SVN,sfh,2040,3.461889366302193
C-EEU-SVN,sfh,2045,3.461358743819451
C-EEU-SVN,sfh,2050,3.460751912454035
C-EEU-SVN,sfh,2055,3.460072686211501
C-EEU-SVN,sfh,2060,3.459325760498036
C-EEU-SVN,sfh,2065,3.458517254235517
C-EEU-SVN,sfh,2070,3.4576552610113445
C-EEU-SVN,sfh,2075,3.4567503859061124
C-EEU-SVN,sfh,2080,3.4558162229013987
C-EEU-SVN,sfh,2085,3.4548697043695697
C-EEU-SVN,sfh,2090,3.4539312330191434
C-EEU-SVN,sfh,2095,3.4530244946624498
C-EEU-SVN,sfh,2100,3.452175856488811
C-WEU-AUT,mfh,2015,2.0394593311247147
C-WEU-AUT,mfh,2020,2.040475287666634
C-WEU-AUT,mfh,2025,2.0412295515496104
C-WEU-AUT,mfh,2030,2.0417665674097716
C-WEU-AUT,mfh,2035,2.042121321969227
C-WEU-AUT,mfh,2040,2.0423222314278697
C-WEU-AUT,mfh,2045,2.0423931864417195
C-WEU-AUT,mfh,2050,2.042355050624354
C-WEU-AUT,mfh,2055,2.0422267946720485
C-WEU-AUT,mfh,2060,2.04202637890456
C-WEU-AUT,mfh,2065,2.0417714526453565
C-WEU-AUT,mfh,2070,2.041479908768177
C-WEU-AUT,mfh,2075,2.041170310030564
C-WEU-AUT,mfh,2080,2.040862187381195
C-WEU-AUT,mfh,2085,2.04057619790672
C-WEU-AUT,mfh,2090,2.0403341213632102
C-WEU-AUT,mfh,2095,2.0401586701397063
C-WEU-AUT,mfh,2100,2.0400730894751766
C-WEU-AUT,sfh,2015,2.570629198737468
C-WEU-AUT,sfh,2020,2.5721989903016
C-WEU-AUT,sfh,2025,2.573366469693073
C-WEU-AUT,sfh,2030,2.5742005905572722
C-WEU-AUT,sfh,2035,2.5747557305605975
C-WEU-AUT,sfh,2040,2.575076153223965
C-WEU-AUT,sfh,2045,2.5751991675623254
C-WEU-AUT,sfh,2050,2.5751574422757173
C-WEU-AUT,sfh,2055,2.5749807552906603
C-WEU-AUT,sfh,2060,2.574697352286657
C-WEU-AUT,sfh,2065,2.5743350192181658
C-WEU-AUT,sfh,2070,2.5739219272973584
C-WEU-AUT,sfh,2075,2.573487275383477
C-WEU-AUT,sfh,2080,2.573061729453191
C-WEU-AUT,sfh,2085,2.5726776397483824
C-WEU-AUT,sfh,2090,2.572369003184959
C-WEU-AUT,sfh,2095,2.5721711329605523
C-WEU-AUT,sfh,2100,2.5721200012557737
C-WEU-BEL,mfh,2015,1.7932669730709887
C-WEU-BEL,mfh,2020,1.793412415243291
C-WEU-BEL,mfh,2025,1.7935250415348423
C-WEU-BEL,mfh,2030,1.7936099302080022
C-WEU-BEL,mfh,2035,1.793671385576697
C-WEU-BEL,mfh,2040,1.793713126592799
C-WEU-BEL,mfh,2045,1.7937384298420955
C-WEU-BEL,mfh,2050,1.7937502396457168
C-WEU-BEL,mfh,2055,1.7937512539841907
C-WEU-BEL,mfh,2060,1.7937439922935345
C-WEU-BEL,mfh,2065,1.7937308493557194
C-WEU-BEL,mfh,2070,1.793714138228245
C-WEU-BEL,mfh,2075,1.7936961242459466
C-WEU-BEL,mfh,2080,1.7936790514652785
C-WEU-BEL,mfh,2085,1.7936651624319795
C-WEU-BEL,mfh,2090,1.7936567117890796
C-WEU-BEL,mfh,2095,1.7936559739735976
C-WEU-BEL,mfh,2100,1.7936652450593096
C-WEU-BEL,sfh,2015,2.579515891800978
C-WEU-BEL,sfh,2020,2.580010261590259
C-WEU-BEL,sfh,2025,2.580425216252107
C-WEU-BEL,sfh,2030,2.5807716940036958
C-WEU-BEL,sfh,2035,2.5810587556314104
C-WEU-BEL,sfh,2040,2.58129401508153
C-WEU-BEL,sfh,2045,2.5814839648129224
C-WEU-BEL,sfh,2050,2.5816342254868085
C-WEU-BEL,sfh,2055,2.5817497404058267
C-WEU-BEL,sfh,2060,2.581834928989744
C-WEU-BEL,sfh,2065,2.5818938093991814
C-WEU-BEL,sfh,2070,2.581930097516169
C-WEU-BEL,sfh,2075,2.5819472874340827
C-WEU-BEL,sfh,2080,2.58194871712485
C-WEU-BEL,sfh,2085,2.581937621859526
C-WEU-BEL,sfh,2090,2.581917177142093
C-WEU-BEL,sfh,2095,2.5818905322989347
C-WEU-BEL,sfh,2100,2.5818608353985066
C-WEU-CYP,mfh,2015,2.3548721307523524
C-WEU-CYP,mfh,2020,2.357473872384408
C-WEU-CYP,mfh,2025,2.3597100381847222
C-WEU-CYP,mfh,2030,2.3616284886423857
C-WEU-CYP,mfh,2035,2.363264968562323
C-WEU-CYP,mfh,2040,2.364645921522004
C-WEU-CYP,mfh,2045,2.365790427194284
C-WEU-CYP,mfh,2050,2.36671153318525
C-WEU-CYP,mfh,2055,2.3674171529601304
C-WEU-CYP,mfh,2060,2.367910638362593
C-WEU-CYP,mfh,2065,2.368191093631742
C-WEU-CYP,mfh,2070,2.3682534686290144
C-WEU-CYP,mfh,2075,2.3680884465970653
C-WEU-CYP,mfh,2080,2.3676821223680564
C-WEU-CYP,mfh,2085,2.367015447495142
C-WEU-CYP,mfh,2090,2.366063396353562
C-WEU-CYP,mfh,2095,2.3647937783143216
C-WEU-CYP,mfh,2100,2.363165580680481
C-WEU-CYP,sfh,2015,2.7576624491270696
C-WEU-CYP,sfh,2020,2.7607092069986985
C-WEU-CYP,sfh,2025,2.763327858931863
