region_bld,urt,mat,arch,year,value
C-EEU-BGR,rur,perm,mfh,2015,34.15443119020696
C-EEU-BGR,rur,perm,mfh,2020,36.84305402669879
C-EEU-BGR,rur,perm,mfh,2025,39.50795624495229
C-EEU-BGR,rur,perm,mfh,2030,39.236117663035195
C-EEU-BGR,rur,perm,mfh,2035,38.9642790811181
C-EEU-BGR,rur,perm,mfh,2040,38.69244049920101
C-EEU-BGR,rur,perm,mfh,2045,38.42060191728392
C-EEU-BGR,rur,perm,mfh,2050,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2055,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2060,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2065,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2070,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2075,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2080,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2085,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2090,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2095,38.14876333536682
C-EEU-BGR,rur,perm,mfh,2100,38.14876333536682
C-EEU-BGR,rur,perm,sfh,2015,34.95934103202555
C-EEU-BGR,rur,perm,sfh,2020,37.71132603783137
C-EEU-BGR,rur,perm,sfh,2025,40.40159536555706
C-EEU-BGR,rur,perm,sfh,2030,40.24532345363561
C-EEU-BGR,rur,perm,sfh,2035,40.08905154171418
C-EEU-BGR,rur,perm,sfh,2040,39.93277962979273
C-EEU-BGR,rur,perm,sfh,2045,39.7765077178713
C-EEU-BGR,rur,perm,sfh,2050,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2055,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2060,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2065,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2070,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2075,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2080,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2085,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2090,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2095,39.620235805949854
C-EEU-BGR,rur,perm,sfh,2100,39.620235805949854
C-EEU-BGR,urb,perm,mfh,2015,32.10619257870704
C-EEU-BGR,urb,perm,mfh,2020,34.633578922591504
C-EEU-BGR,urb,perm,mfh,2025,37.138260045190194
C-EEU-BGR,urb,perm,mfh,2030,36.861397609385186
C-EEU-BGR,urb,perm,mfh,2035,36.584535173580186
C-EEU-BGR,urb,perm,mfh,2040,36.30767273777518
C-EEU-BGR,urb,perm,mfh,2045,36.03081030197018
C-EEU-BGR,urb,perm,mfh,2050,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2055,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2060,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2065,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2070,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2075,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2080,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2085,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2090,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2095,35.75394786616517
C-EEU-BGR,urb,perm,mfh,2100,35.75394786616517
C-EEU-BGR,urb,perm,sfh,2015,34.31648517608924
C-EEU-BGR,urb,perm,sfh,2020,37.01786483724634
C-EEU-BGR,urb,perm,sfh,2025,39.66061771030402
C-EEU-BGR,urb,perm,sfh,2030,39.4329492205942
C-EEU-BGR,urb,perm,sfh,2035,39.20528073088439
C-EEU-BGR,urb,perm,sfh,2040,38.977612241174576
C-EEU-BGR,urb,perm,sfh,2045,38.74994375146476
C-EEU-BGR,urb,perm,sfh,2050,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2055,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2060,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2065,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2070,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2075,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2080,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2085,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2090,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2095,38.52227526175495
C-EEU-BGR,urb,perm,sfh,2100,38.52227526175495
C-EEU-CZE,rur,perm,mfh,2015,31.501975421328208
