,year,region_bld,clim,arch,urt,value,region_gea
330,2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,rur,23079.0,EEU
331,2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,urb,8685.0,EEU
332,2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,rur,39951.0,EEU
333,2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,urb,5758.0,EEU
334,2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,rur,8504.0,EEU
335,2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,urb,32066.0,EEU
336,2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,rur,17390.0,EEU
337,2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,urb,18919.0,EEU
338,2020,C-EEU-SVN,Zone_7A Very cold Humid,mfh,rur,4453.0,EEU
339,2020,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,6771.0,EEU
340,2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,19596.0,WEU
341,2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,146191.0,WEU
342,2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,21901.0,WEU
343,2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,37068.0,WEU
344,2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,100743.0,WEU
345,2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,70330.0,WEU
346,2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,76030.0,WEU
347,2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,42946.0,WEU
348,2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,48857.0,WEU
349,2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,166393.0,WEU
350,2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,19243.0,WEU
351,2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,39817.0,WEU
352,2020,C-WEU-AUT,Zone_7A Very cold Humid,mfh,rur,58042.0,WEU
353,2020,C-WEU-AUT,Zone_7A Very cold Humid,mfh,urb,26254.0,WEU
354,2020,C-WEU-AUT,Zone_7A Very cold Humid,sfh,rur,16833.0,WEU
355,2020,C-WEU-AUT,Zone_7A Very cold Humid,sfh,urb,3280.0,WEU
356,2020,C-WEU-BEL,Zone_4A Mixed Humid,mfh,rur,5666.0,WEU
357,2020,C-WEU-BEL,Zone_4A Mixed Humid,mfh,urb,465792.0,WEU
358,2020,C-WEU-BEL,Zone_4A Mixed Humid,sfh,rur,14267.0,WEU
359,2020,C-WEU-BEL,Zone_4A Mixed Humid,sfh,urb,237826.0,WEU
360,2020,C-WEU-BEL,Zone_5A Cool Humid,mfh,rur,13669.0,WEU
361,2020,C-WEU-BEL,Zone_5A Cool Humid,mfh,urb,27819.0,WEU
362,2020,C-WEU-BEL,Zone_5A Cool Humid,sfh,rur,37351.0,WEU
363,2020,C-WEU-BEL,Zone_5A Cool Humid,sfh,urb,28707.0,WEU
364,2020,C-WEU-CYP,Zone_3A Warm Humid,mfh,urb,72235.0,WEU
365,2020,C-WEU-CYP,Zone_3A Warm Humid,sfh,urb,65875.0,WEU
366,2020,C-WEU-DEU,Zone_4A Mixed Humid,mfh,rur,2759.0,WEU
367,2020,C-WEU-DEU,Zone_4A Mixed Humid,mfh,urb,386448.0,WEU
368,2020,C-WEU-DEU,Zone_4A Mixed Humid,sfh,rur,1829.0,WEU
369,2020,C-WEU-DEU,Zone_4A Mixed Humid,sfh,urb,72449.0,WEU
370,2020,C-WEU-DEU,Zone_5A Cool Humid,mfh,rur,455307.0,WEU
371,2020,C-WEU-DEU,Zone_5A Cool Humid,mfh,urb,1815594.0,WEU
372,2020,C-WEU-DEU,Zone_5A Cool Humid,sfh,rur,167259.0,WEU
373,2020,C-WEU-DEU,Zone_5A Cool Humid,sfh,urb,385872.0,WEU
374,2020,C-WEU-DEU,Zone_6A Cold Humid,mfh,rur,8180.0,WEU
375,2020,C-WEU-DEU,Zone_6A Cold Humid,mfh,urb,4881.0,WEU
376,2020,C-WEU-DEU,Zone_6A Cold Humid,sfh,rur,2321.0,WEU
377,2020,C-WEU-DEU,Zone_6A Cold Humid,sfh,urb,828.0,WEU
378,2020,C-WEU-DNK,Zone_5A Cool Humid,mfh,rur,101724.0,WEU
379,2020,C-WEU-DNK,Zone_5A Cool Humid,mfh,urb,227183.0,WEU
380,2020,C-WEU-DNK,Zone_5A Cool Humid,sfh,rur,23529.0,WEU
381,2020,C-WEU-DNK,Zone_5A Cool Humid,sfh,urb,53295.0,WEU
382,2020,C-WEU-ESP,Zone_2B Hot Dry,mfh,urb,15043.0,WEU
383,2020,C-WEU-ESP,Zone_2B Hot Dry,sfh,urb,6443.0,WEU
