region_bld,arch,eneff,value
C-EEU-HUN,sfh,sr12_low,535.528464875
C-EEU-HUN,sfh,sr21_std,515.536196525
C-EEU-HUN,sfh,sr22_low,515.536196525
C-EEU-HUN,sfh,sr31_std,323.324893475
C-EEU-HUN,sfh,sr32_low,323.324893475
C-EEU-LTU,inf,ns,715.8753386999999
C-EEU-LTU,mfh,s1,298.21106180000004
C-EEU-LTU,mfh,s2,284.8814386
C-EEU-LTU,mfh,s3,180.22569835000002
C-EEU-LTU,mfh,s51_std,134.25067575
C-EEU-LTU,mfh,s52_low,64.88108568999999
C-EEU-LTU,mfh,sr11_std,298.21106180000004
C-EEU-LTU,mfh,sr12_low,298.21106180000004
C-EEU-LTU,mfh,sr21_std,284.8814386
C-EEU-LTU,mfh,sr22_low,284.8814386
C-EEU-LTU,mfh,sr31_std,180.22569835000002
C-EEU-LTU,mfh,sr32_low,180.22569835000002
C-EEU-LTU,sfh,s1,715.8753386999999
C-EEU-LTU,sfh,s2,687.66652535
C-EEU-LTU,sfh,s3,433.1203359
C-EEU-LTU,sfh,s51_std,318.5204777
C-EEU-LTU,sfh,s52_low,138.17794229999998
C-EEU-LTU,sfh,sr11_std,715.8753386999999
C-EEU-LTU,sfh,sr12_low,715.8753386999999
C-EEU-LTU,sfh,sr21_std,687.66652535
C-EEU-LTU,sfh,sr22_low,687.66652535
C-EEU-LTU,sfh,sr31_std,433.1203359
C-EEU-LTU,sfh,sr32_low,433.1203359
C-EEU-LVA,inf,ns,735.23175795
C-EEU-LVA,mfh,s1,305.57942655
C-EEU-LVA,mfh,s2,291.8837779
C-EEU-LVA,mfh,s3,184.37667564999998
C-EEU-LVA,mfh,s51_std,137.34854515
C-EEU-LVA,mfh,s52_low,66.25852468
C-EEU-LVA,mfh,sr11_std,305.57942655
C-EEU-LVA,mfh,sr12_low,305.57942655
C-EEU-LVA,mfh,sr21_std,291.8837779
C-EEU-LVA,mfh,sr22_low,291.8837779
C-EEU-LVA,mfh,sr31_std,184.37667564999998
C-EEU-LVA,mfh,sr32_low,184.37667564999998
C-EEU-LVA,sfh,s1,735.23175795
C-EEU-LVA,sfh,s2,706.3238827499999
C-EEU-LVA,sfh,s3,444.4146659
C-EEU-LVA,sfh,s51_std,326.5187304
C-EEU-LVA,sfh,s52_low,141.37861550000002
C-EEU-LVA,sfh,sr11_std,735.23175795
C-EEU-LVA,sfh,sr12_low,735.23175795
C-EEU-LVA,sfh,sr21_std,706.3238827499999
C-EEU-LVA,sfh,sr22_low,706.3238827499999
C-EEU-LVA,sfh,sr31_std,444.4146659
C-EEU-LVA,sfh,sr32_low,444.4146659
C-EEU-POL,inf,ns,618.6643859000001
C-EEU-POL,mfh,s1,256.1723909
C-EEU-POL,mfh,s2,244.7465523
C-EEU-POL,mfh,s3,153.85545815
C-EEU-POL,mfh,s51_std,114.17214235
C-EEU-POL,mfh,s52_low,54.178672705
C-EEU-POL,mfh,sr11_std,256.1723909
C-EEU-POL,mfh,sr12_low,256.1723909
C-EEU-POL,mfh,sr21_std,244.7465523
C-EEU-POL,mfh,sr22_low,244.7465523
C-EEU-POL,mfh,sr31_std,153.85545815
C-EEU-POL,mfh,sr32_low,153.85545815
C-EEU-POL,sfh,s1,618.6643859000001
C-EEU-POL,sfh,s2,594.9256715500001
C-EEU-POL,sfh,s3,373.8265104
C-EEU-POL,sfh,s51_std,274.17987875
C-EEU-POL,sfh,s52_low,117.5275887
C-EEU-POL,sfh,sr11_std,618.6643859000001
C-EEU-POL,sfh,sr12_low,618.6643859000001
C-EEU-POL,sfh,sr21_std,594.9256715500001
C-EEU-POL,sfh,sr22_low,594.9256715500001
C-EEU-POL,sfh,sr31_std,373.8265104
C-EEU-POL,sfh,sr32_low,373.8265104
C-EEU-ROU,inf,ns,614.0304525833334
C-EEU-ROU,mfh,s1,254.1376358166667
C-EEU-ROU,mfh,s2,242.9266996
C-EEU-ROU,mfh,s3,152.30924706666667
C-EEU-ROU,mfh,s51_std,112.46507798
C-EEU-ROU,mfh,s52_low,52.13010997166666
C-EEU-ROU,mfh,sr11_std,254.1376358166667
C-EEU-ROU,mfh,sr12_low,254.1376358166667
C-EEU-ROU,mfh,sr21_std,242.9266996
C-EEU-ROU,mfh,sr22_low,242.9266996
C-EEU-ROU,mfh,sr31_std,152.30924706666667
C-EEU-ROU,mfh,sr32_low,152.30924706666667
C-EEU-ROU,sfh,s1,614.0304525833334
C-EEU-ROU,sfh,s2,591.2220324166667
C-EEU-ROU,sfh,s3,371.5081353
C-EEU-ROU,sfh,s51_std,272.37534976666666
C-EEU-ROU,sfh,s52_low,115.76119382
C-EEU-ROU,sfh,sr11_std,614.0304525833334
C-EEU-ROU,sfh,sr12_low,614.0304525833334
C-EEU-ROU,sfh,sr21_std,591.2220324166667
C-EEU-ROU,sfh,sr22_low,591.2220324166667
C-EEU-ROU,sfh,sr31_std,371.5081353
C-EEU-ROU,sfh,sr32_low,371.5081353
C-EEU-SVK,inf,ns,663.01807565
C-EEU-SVK,mfh,s1,275.45854955
C-EEU-SVK,mfh,s2,263.29039245
C-EEU-SVK,mfh,s3,165.72299995
C-EEU-SVK,mfh,s51_std,122.813144825
C-EEU-SVK,mfh,s52_low,58.0218886925
C-EEU-SVK,mfh,sr11_std,275.45854955
C-EEU-SVK,mfh,sr12_low,275.45854955
C-EEU-SVK,mfh,sr21_std,263.29039245
C-EEU-SVK,mfh,sr22_low,263.29039245
C-EEU-SVK,mfh,sr31_std,165.72299995
C-EEU-SVK,mfh,sr32_low,165.72299995
C-EEU-SVK,sfh,s1,663.01807565
C-EEU-SVK,sfh,s2,637.879979225
C-EEU-SVK,sfh,s3,401.5008003
C-EEU-SVK,sfh,s51_std,294.868103475
C-EEU-SVK,sfh,s52_low,126.39128852500001
C-EEU-SVK,sfh,sr11_std,663.01807565
C-EEU-SVK,sfh,sr12_low,663.01807565
C-EEU-SVK,sfh,sr21_std,637.879979225
C-EEU-SVK,sfh,sr22_low,637.879979225
C-EEU-SVK,sfh,sr31_std,401.5008003
C-EEU-SVK,sfh,sr32_low,401.5008003
C-EEU-SVN,inf,ns,603.7745965500001
C-EEU-SVN,mfh,s1,246.2374294
C-EEU-SVN,mfh,s2,235.3555354
C-EEU-SVN,mfh,s3,145.37721145
C-EEU-SVN,mfh,s51_std,105.903187
C-EEU-SVN,mfh,s52_low,46.5528999
C-EEU-SVN,mfh,sr11_std,246.2374294
C-EEU-SVN,mfh,sr12_low,246.2374294
C-EEU-SVN,mfh,sr21_std,235.3555354
C-EEU-SVN,mfh,sr22_low,235.3555354
C-EEU-SVN,mfh,sr31_std,145.37721145
C-EEU-SVN,mfh,sr32_low,145.37721145
C-EEU-SVN,sfh,s1,603.7745965500001
C-EEU-SVN,sfh,s2,582.46570185
C-EEU-SVN,sfh,s3,363.856264
C-EEU-SVN,sfh,s51_std,264.9834839
C-EEU-SVN,sfh,s52_low,109.08725965
