region_bld,arch,eneff,value
C-EEU-LTU,sfh,s1,7.266666667
C-EEU-LTU,sfh,s2,6.541666667
C-EEU-LTU,sfh,s3,7.641666667
C-EEU-LTU,sfh,s51_std,8.908333333
C-EEU-LTU,sfh,s52_low,15.54166667
C-EEU-LTU,sfh,sr11_std,7.266666667
C-EEU-LTU,sfh,sr12_low,7.266666667
C-EEU-LTU,sfh,sr21_std,6.541666667
C-EEU-LTU,sfh,sr22_low,6.541666667
C-EEU-LTU,sfh,sr31_std,7.641666667
C-EEU-LTU,sfh,sr32_low,7.641666667
C-EEU-LVA,inf,ns,4.967948718
C-EEU-LVA,mfh,s1,7.871794872
C-EEU-LVA,mfh,s2,7.698717949
C-EEU-LVA,mfh,s3,10.48717949
C-EEU-LVA,mfh,s51_std,13.08974359
C-EEU-LVA,mfh,s52_low,21.66025641
C-EEU-LVA,mfh,sr11_std,7.871794872
C-EEU-LVA,mfh,sr12_low,7.871794872
C-EEU-LVA,mfh,sr21_std,7.698717949
C-EEU-LVA,mfh,sr22_low,7.698717949
C-EEU-LVA,mfh,sr31_std,10.48717949
C-EEU-LVA,mfh,sr32_low,10.48717949
C-EEU-LVA,sfh,s1,4.967948718
C-EEU-LVA,sfh,s2,4.307692308
C-EEU-LVA,sfh,s3,5.519230769
C-EEU-LVA,sfh,s51_std,6.724358974
C-EEU-LVA,sfh,s52_low,13.1474359
C-EEU-LVA,sfh,sr11_std,4.967948718
C-EEU-LVA,sfh,sr12_low,4.967948718
C-EEU-LVA,sfh,sr21_std,4.307692308
C-EEU-LVA,sfh,sr22_low,4.307692308
C-EEU-LVA,sfh,sr31_std,5.519230769
C-EEU-LVA,sfh,sr32_low,5.519230769
C-EEU-POL,inf,ns,9.006097561
C-EEU-POL,mfh,s1,12.41768293
C-EEU-POL,mfh,s2,12.2347561
C-EEU-POL,mfh,s3,15.83993902
C-EEU-POL,mfh,s51_std,18.75914634
C-EEU-POL,mfh,s52_low,27.15091463
C-EEU-POL,mfh,sr11_std,12.41768293
C-EEU-POL,mfh,sr12_low,12.41768293
C-EEU-POL,mfh,sr21_std,12.2347561
C-EEU-POL,mfh,sr22_low,12.2347561
C-EEU-POL,mfh,sr31_std,15.83993902
C-EEU-POL,mfh,sr32_low,15.83993902
C-EEU-POL,sfh,s1,9.006097561
C-EEU-POL,sfh,s2,8.044207317
C-EEU-POL,sfh,s3,9.525914634
C-EEU-POL,sfh,s51_std,11.11280488
C-EEU-POL,sfh,s52_low,18.8125
C-EEU-POL,sfh,sr11_std,9.006097561
C-EEU-POL,sfh,sr12_low,9.006097561
C-EEU-POL,sfh,sr21_std,8.044207317
C-EEU-POL,sfh,sr22_low,8.044207317
C-EEU-POL,sfh,sr31_std,9.525914634
C-EEU-POL,sfh,sr32_low,9.525914634
C-EEU-ROU,inf,ns,16.583608191333333
C-EEU-ROU,mfh,s1,21.20543874166667
C-EEU-ROU,mfh,s2,20.884615716333332
C-EEU-ROU,mfh,s3,25.158468183666667
C-EEU-ROU,mfh,s51_std,28.437770561666667
C-EEU-ROU,mfh,s52_low,37.6782751
C-EEU-ROU,mfh,sr11_std,21.20543874166667
C-EEU-ROU,mfh,sr12_low,21.20543874166667
C-EEU-ROU,mfh,sr21_std,20.884615716333332
C-EEU-ROU,mfh,sr22_low,20.884615716333332
C-EEU-ROU,mfh,sr31_std,25.158468183666667
C-EEU-ROU,mfh,sr32_low,25.158468183666667
C-EEU-ROU,sfh,s1,16.583608191333333
C-EEU-ROU,sfh,s2,15.196484402000001
C-EEU-ROU,sfh,s3,17.001838110666668
C-EEU-ROU,sfh,s51_std,19.111742424333332
C-EEU-ROU,sfh,s52_low,28.561915925666668
C-EEU-ROU,sfh,sr11_std,16.583608191333333
C-EEU-ROU,sfh,sr12_low,16.583608191333333
C-EEU-ROU,sfh,sr21_std,15.196484402000001
C-EEU-ROU,sfh,sr22_low,15.196484402000001
C-EEU-ROU,sfh,sr31_std,17.001838110666668
C-EEU-ROU,sfh,sr32_low,17.001838110666668
C-EEU-SVK,inf,ns,6.7537878805
C-EEU-SVK,mfh,s1,9.6676136365
C-EEU-SVK,mfh,s2,9.495265153
C-EEU-SVK,mfh,s3,12.9469696985
C-EEU-SVK,mfh,s51_std,15.5956439375
C-EEU-SVK,mfh,s52_low,23.94981061
C-EEU-SVK,mfh,sr11_std,9.6676136365
C-EEU-SVK,mfh,sr12_low,9.6676136365
C-EEU-SVK,mfh,sr21_std,9.495265153
C-EEU-SVK,mfh,sr22_low,9.495265153
C-EEU-SVK,mfh,sr31_std,12.9469696985
C-EEU-SVK,mfh,sr32_low,12.9469696985
C-EEU-SVK,sfh,s1,6.7537878805
C-EEU-SVK,sfh,s2,6.0350378805
C-EEU-SVK,sfh,s3,7.1571969714999994
C-EEU-SVK,sfh,s51_std,8.3977272725
C-EEU-SVK,sfh,s52_low,15.661931818
C-EEU-SVK,sfh,sr11_std,6.7537878805
C-EEU-SVK,sfh,sr12_low,6.7537878805
C-EEU-SVK,sfh,sr21_std,6.0350378805
C-EEU-SVK,sfh,sr22_low,6.0350378805
C-EEU-SVK,sfh,sr31_std,7.1571969714999994
C-EEU-SVK,sfh,sr32_low,7.1571969714999994
C-EEU-SVN,inf,ns,4.642857143
C-EEU-SVN,mfh,s1,8.535714286
C-EEU-SVN,mfh,s2,8.214285714
C-EEU-SVN,mfh,s3,12.28571429
C-EEU-SVN,mfh,s51_std,16.32142857
C-EEU-SVN,mfh,s52_low,26.82142857
C-EEU-SVN,mfh,sr11_std,8.535714286
C-EEU-SVN,mfh,sr12_low,8.535714286
C-EEU-SVN,mfh,sr21_std,8.214285714
C-EEU-SVN,mfh,sr22_low,8.214285714
C-EEU-SVN,mfh,sr31_std,12.28571429
C-EEU-SVN,mfh,sr32_low,12.28571429
C-EEU-SVN,sfh,s1,4.642857143
C-EEU-SVN,sfh,s2,3.607142857
C-EEU-SVN,sfh,s3,4.892857143
C-EEU-SVN,sfh,s51_std,6.607142857
C-EEU-SVN,sfh,s52_low,16.60714286
C-EEU-SVN,sfh,sr11_std,4.642857143
C-EEU-SVN,sfh,sr12_low,4.642857143
C-EEU-SVN,sfh,sr21_std,3.607142857
C-EEU-SVN,sfh,sr22_low,3.607142857
C-EEU-SVN,sfh,sr31_std,4.892857143
C-EEU-SVN,sfh,sr32_low,4.892857143
C-WEU-AUT,inf,ns,7.869318181666666
C-WEU-AUT,mfh,s1,10.604166666666666
C-WEU-AUT,mfh,s2,12.426136363333333
C-WEU-AUT,mfh,s3,17.94128788
C-WEU-AUT,mfh,s51_std,20.709595961
C-WEU-AUT,mfh,s52_low,27.046085859
C-WEU-AUT,mfh,sr11_std,10.604166666666666
C-WEU-AUT,mfh,sr12_low,10.604166666666666
C-WEU-AUT,mfh,sr21_std,12.426136363333333
C-WEU-AUT,mfh,sr22_low,12.426136363333333
C-WEU-AUT,mfh,sr31_std,17.94128788
C-WEU-AUT,mfh,sr32_low,17.94128788
C-WEU-AUT,sfh,s1,7.869318181666666
C-WEU-AUT,sfh,s2,8.645202020000001
C-WEU-AUT,sfh,s3,11.800505051
C-WEU-AUT,sfh,s51_std,13.443813132333332
C-WEU-AUT,sfh,s52_low,18.949494949
C-WEU-AUT,sfh,sr11_std,7.869318181666666
C-WEU-AUT,sfh,sr12_low,7.869318181666666
C-WEU-AUT,sfh,sr21_std,8.645202020000001
C-WEU-AUT,sfh,sr22_low,8.645202020000001
C-WEU-AUT,sfh,sr31_std,11.800505051
C-WEU-AUT,sfh,sr32_low,11.800505051
C-WEU-BEL,inf,ns,4.732142857
C-WEU-BEL,mfh,s1,6.839285714
C-WEU-BEL,mfh,s2,8.410714286
C-WEU-BEL,mfh,s3,13.76785714
C-WEU-BEL,mfh,s51_std,16.51785714
C-WEU-BEL,mfh,s52_low,22.55357143
C-WEU-BEL,mfh,sr11_std,6.839285714
C-WEU-BEL,mfh,sr12_low,6.839285714
C-WEU-BEL,mfh,sr21_std,8.410714286
C-WEU-BEL,mfh,sr22_low,8.410714286
C-WEU-BEL,mfh,sr31_std,13.76785714
C-WEU-BEL,mfh,sr32_low,13.76785714
C-WEU-BEL,sfh,s1,4.732142857
C-WEU-BEL,sfh,s2,5.428571429
C-WEU-BEL,sfh,s3,7.767857143
C-WEU-BEL,sfh,s51_std,9.285714286
C-WEU-BEL,sfh,s52_low,14.78571429
C-WEU-BEL,sfh,sr11_std,4.732142857
C-WEU-BEL,sfh,sr12_low,4.732142857
C-WEU-BEL,sfh,sr21_std,5.428571429
C-WEU-BEL,sfh,sr22_low,5.428571429
C-WEU-BEL,sfh,sr31_std,7.767857143
C-WEU-BEL,sfh,sr32_low,7.767857143
C-WEU-CYP,inf,ns,45.59375
C-WEU-CYP,mfh,s1,48.84375
C-WEU-CYP,mfh,s2,51.28125
C-WEU-CYP,mfh,s3,55.9375
C-WEU-CYP,mfh,s51_std,58.0625
C-WEU-CYP,mfh,s52_low,61.21875
C-WEU-CYP,mfh,sr11_std,48.84375
C-WEU-CYP,mfh,sr12_low,48.84375
C-WEU-CYP,mfh,sr21_std,51.28125
C-WEU-CYP,mfh,sr22_low,51.28125
C-WEU-CYP,mfh,sr31_std,55.9375
C-WEU-CYP,mfh,sr32_low,55.9375
C-WEU-CYP,sfh,s1,45.59375
C-WEU-CYP,sfh,s2,46.875
C-WEU-CYP,sfh,s3,50.40625
C-WEU-CYP,sfh,s51_std,52.21875
C-WEU-CYP,sfh,s52_low,56.46875
C-WEU-CYP,sfh,sr11_std,45.59375
C-WEU-CYP,sfh,sr12_low,45.59375
C-WEU-CYP,sfh,sr21_std,46.875
C-WEU-CYP,sfh,sr22_low,46.875
C-WEU-CYP,sfh,sr31_std,50.40625
C-WEU-CYP,sfh,sr32_low,50.40625
C-WEU-DEU,inf,ns,7.365430403
C-WEU-DEU,mfh,s1,9.471199632
C-WEU-DEU,mfh,s2,11.593727105
C-WEU-DEU,mfh,s3,16.59088828
C-WEU-DEU,mfh,s51_std,19.32074176
C-WEU-DEU,mfh,s52_low,25.45434982
C-WEU-DEU,mfh,sr11_std,9.471199632
C-WEU-DEU,mfh,sr12_low,9.471199632
C-WEU-DEU,mfh,sr21_std,11.593727105
C-WEU-DEU,mfh,sr22_low,11.593727105
C-WEU-DEU,mfh,sr31_std,16.59088828
C-WEU-DEU,mfh,sr32_low,16.59088828
C-WEU-DEU,sfh,s1,7.365430403
C-WEU-DEU,sfh,s2,7.984020146500001
C-WEU-DEU,sfh,s3,10.6982600715
C-WEU-DEU,sfh,s51_std,12.480815015
C-WEU-DEU,sfh,s52_low,17.48585165
C-WEU-DEU,sfh,sr11_std,7.365430403
C-WEU-DEU,sfh,sr12_low,7.365430403
C-WEU-DEU,sfh,sr21_std,7.984020146500001
C-WEU-DEU,sfh,sr22_low,7.984020146500001
C-WEU-DEU,sfh,sr31_std,10.6982600715
C-WEU-DEU,sfh,sr32_low,10.6982600715
C-WEU-DNK,inf,ns,2.703125
C-WEU-DNK,mfh,s1,3.671875
C-WEU-DNK,mfh,s2,4.723958333
C-WEU-DNK,mfh,s3,7.729166667
C-WEU-DNK,mfh,s51_std,9.572916667
C-WEU-DNK,mfh,s52_low,14.22395833
C-WEU-DNK,mfh,sr11_std,3.671875
C-WEU-DNK,mfh,sr12_low,3.671875
C-WEU-DNK,mfh,sr21_std,4.723958333
C-WEU-DNK,mfh,sr22_low,4.723958333
C-WEU-DNK,mfh,sr31_std,7.729166667
C-WEU-DNK,mfh,sr32_low,7.729166667
C-WEU-DNK,sfh,s1,2.703125
C-WEU-DNK,sfh,s2,3.046875
C-WEU-DNK,sfh,s3,4.28125
C-WEU-DNK,sfh,s51_std,5.208333333
C-WEU-DNK,sfh,s52_low,8.369791667
C-WEU-DNK,sfh,sr11_std,2.703125
C-WEU-DNK,sfh,sr12_low,2.703125
C-WEU-DNK,sfh,sr21_std,3.046875
C-WEU-DNK,sfh,sr22_low,3.046875
C-WEU-DNK,sfh,sr31_std,4.28125
C-WEU-DNK,sfh,sr32_low,4.28125
C-WEU-ESP,inf,ns,27.798473874000003
C-WEU-ESP,mfh,s1,31.289727449999997
C-WEU-ESP,mfh,s2,34.515147830000004
C-WEU-ESP,mfh,s3,42.152746656
C-WEU-ESP,mfh,s51_std,45.832463854000004
C-WEU-ESP,mfh,s52_low,53.119903728
C-WEU-ESP,mfh,sr11_std,31.289727449999997
C-WEU-ESP,mfh,sr12_low,31.289727449999997
C-WEU-ESP,mfh,sr21_std,34.515147830000004
C-WEU-ESP,mfh,sr22_low,34.515147830000004
C-WEU-ESP,mfh,sr31_std,42.152746656
C-WEU-ESP,mfh,sr32_low,42.152746656
C-WEU-ESP,sfh,s1,27.798473874000003
C-WEU-ESP,sfh,s2,28.9547137674
C-WEU-ESP,sfh,s3,33.349020081999996
C-WEU-ESP,sfh,s51_std,36.035401686
C-WEU-ESP,sfh,s52_low,43.444325634
C-WEU-ESP,sfh,sr11_std,27.798473874000003
C-WEU-ESP,sfh,sr12_low,27.798473874000003
C-WEU-ESP,sfh,sr21_std,28.9547137674
C-WEU-ESP,sfh,sr22_low,28.9547137674
C-WEU-ESP,sfh,sr31_std,33.349020081999996
C-WEU-ESP,sfh,sr32_low,33.349020081999996
C-WEU-FIN,inf,ns,0.9019607839999999
C-WEU-FIN,mfh,s1,1.9150936495000002
C-WEU-FIN,mfh,s2,3.0293020195
C-WEU-FIN,mfh,s3,5.9724173255
C-WEU-FIN,mfh,s51_std,7.655618964
C-WEU-FIN,mfh,s52_low,11.92306848
C-WEU-FIN,mfh,sr11_std,1.9150936495000002
C-WEU-FIN,mfh,sr12_low,1.9150936495000002
C-WEU-FIN,mfh,sr21_std,3.0293020195
C-WEU-FIN,mfh,sr22_low,3.0293020195
C-WEU-FIN,mfh,sr31_std,5.9724173255
C-WEU-FIN,mfh,sr32_low,5.9724173255
C-WEU-FIN,sfh,s1,0.9019607839999999
C-WEU-FIN,sfh,s2,1.1714223005000002
C-WEU-FIN,sfh,s3,2.5897717295
C-WEU-FIN,sfh,s51_std,3.4842332455
C-WEU-FIN,sfh,s52_low,6.5025973075
C-WEU-FIN,sfh,sr11_std,0.9019607839999999
C-WEU-FIN,sfh,sr12_low,0.9019607839999999
C-WEU-FIN,sfh,sr21_std,1.1714223005000002
C-WEU-FIN,sfh,sr22_low,1.1714223005000002
C-WEU-FIN,sfh,sr31_std,2.5897717295
C-WEU-FIN,sfh,sr32_low,2.5897717295
C-WEU-FRA,inf,ns,12.014171566
C-WEU-FRA,mfh,s1,14.889042790666666
C-WEU-FRA,mfh,s2,17.696906879666667
C-WEU-FRA,mfh,s3,25.437547113333334
C-WEU-FRA,mfh,s51_std,29.081166136666667
C-WEU-FRA,mfh,s52_low,36.221992936666666
C-WEU-FRA,mfh,sr11_std,14.889042790666666
C-WEU-FRA,mfh,sr12_low,14.889042790666666
C-WEU-FRA,mfh,sr21_std,17.696906879666667
C-WEU-FRA,mfh,sr22_low,17.696906879666667
C-WEU-FRA,mfh,sr31_std,25.437547113333334
C-WEU-FRA,mfh,sr32_low,25.437547113333334
C-WEU-FRA,sfh,s1,12.014171566
C-WEU-FRA,sfh,s2,12.890823659666665
C-WEU-FRA,sfh,s3,16.552973767666668
C-WEU-FRA,sfh,s51_std,19.180087565333334
C-WEU-FRA,sfh,s52_low,26.70283996666667
C-WEU-FRA,sfh,sr11_std,12.014171566
C-WEU-FRA,sfh,sr12_low,12.014171566
C-WEU-FRA,sfh,sr21_std,12.890823659666665
C-WEU-FRA,sfh,sr22_low,12.890823659666665
C-WEU-FRA,sfh,sr31_std,16.552973767666668
C-WEU-FRA,sfh,sr32_low,16.552973767666668
C-WEU-GRC,inf,ns,46.17840909
C-WEU-GRC,mfh,s1,50.93181818
C-WEU-GRC,mfh,s2,54.75568182000001
C-WEU-GRC,mfh,s3,62.32159091
C-WEU-GRC,mfh,s51_std,65.611363635
C-WEU-GRC,mfh,s52_low,71.11590909
C-WEU-GRC,mfh,sr11_std,50.93181818
C-WEU-GRC,mfh,sr12_low,50.93181818
C-WEU-GRC,mfh,sr21_std,54.75568182000001
C-WEU-GRC,mfh,sr22_low,54.75568182000001
C-WEU-GRC,mfh,sr31_std,62.32159091
C-WEU-GRC,mfh,sr32_low,62.32159091
C-WEU-GRC,sfh,s1,46.17840909
C-WEU-GRC,sfh,s2,47.86363636
C-WEU-GRC,sfh,s3,53.347727275
C-WEU-GRC,sfh,s51_std,56.45113636
C-WEU-GRC,sfh,s52_low,63.46931818
C-WEU-GRC,sfh,sr11_std,46.17840909
C-WEU-GRC,sfh,sr12_low,46.17840909
C-WEU-GRC,sfh,sr21_std,47.86363636
C-WEU-GRC,sfh,sr22_low,47.86363636
C-WEU-GRC,sfh,sr31_std,53.347727275
