region_bld,arch,eneff,value
C-EEU-LTU,mfh,sr21_std,3.659148439
C-EEU-LTU,mfh,sr22_low,3.659148439
C-EEU-LTU,mfh,sr31_std,4.8305141005
C-EEU-LTU,mfh,sr32_low,4.8305141005
C-EEU-LTU,sfh,s1,3.323925697
C-EEU-LTU,sfh,s2,2.591303239
C-EEU-LTU,sfh,s3,2.729140915
C-EEU-LTU,sfh,s51_std,3.1595447145
C-EEU-LTU,sfh,s52_low,5.96899166
C-EEU-LTU,sfh,sr11_std,3.323925697
C-EEU-LTU,sfh,sr12_low,3.323925697
C-EEU-LTU,sfh,sr21_std,2.591303239
C-EEU-LTU,sfh,sr22_low,2.591303239
C-EEU-LTU,sfh,sr31_std,2.729140915
C-EEU-LTU,sfh,sr32_low,2.729140915
C-EEU-LVA,inf,ns,2.5629509605000003
C-EEU-LVA,mfh,s1,3.2488552325
C-EEU-LVA,mfh,s2,3.0785346005
C-EEU-LVA,mfh,s3,4.117986140499999
C-EEU-LVA,mfh,s51_std,5.2552410215
C-EEU-LVA,mfh,s52_low,9.365768834
C-EEU-LVA,mfh,sr11_std,3.2488552325
C-EEU-LVA,mfh,sr12_low,3.2488552325
C-EEU-LVA,mfh,sr21_std,3.0785346005
C-EEU-LVA,mfh,sr22_low,3.0785346005
C-EEU-LVA,mfh,sr31_std,4.117986140499999
C-EEU-LVA,mfh,sr32_low,4.117986140499999
C-EEU-LVA,sfh,s1,2.5629509605000003
C-EEU-LVA,sfh,s2,1.9109199065
C-EEU-LVA,sfh,s3,2.1832564135
C-EEU-LVA,sfh,s51_std,2.6060306265
C-EEU-LVA,sfh,s52_low,5.34519588
C-EEU-LVA,sfh,sr11_std,2.5629509605000003
C-EEU-LVA,sfh,sr12_low,2.5629509605000003
C-EEU-LVA,sfh,sr21_std,1.9109199065
C-EEU-LVA,sfh,sr22_low,1.9109199065
C-EEU-LVA,sfh,sr31_std,2.1832564135
C-EEU-LVA,sfh,sr32_low,2.1832564135
C-EEU-POL,inf,ns,5.302421256
C-EEU-POL,mfh,s1,5.2976799815
C-EEU-POL,mfh,s2,5.013461552
C-EEU-POL,mfh,s3,6.244618433
C-EEU-POL,mfh,s51_std,7.3614716245
C-EEU-POL,mfh,s52_low,11.127243605
C-EEU-POL,mfh,sr11_std,5.2976799815
C-EEU-POL,mfh,sr12_low,5.2976799815
C-EEU-POL,mfh,sr21_std,5.013461552
C-EEU-POL,mfh,sr22_low,5.013461552
C-EEU-POL,mfh,sr31_std,6.244618433
C-EEU-POL,mfh,sr32_low,6.244618433
C-EEU-POL,sfh,s1,5.302421256
C-EEU-POL,sfh,s2,4.2762288680000005
C-EEU-POL,sfh,s3,4.127674406500001
C-EEU-POL,sfh,s51_std,4.47454761
C-EEU-POL,sfh,s52_low,7.480431524
C-EEU-POL,sfh,sr11_std,5.302421256
C-EEU-POL,sfh,sr12_low,5.302421256
C-EEU-POL,sfh,sr21_std,4.2762288680000005
C-EEU-POL,sfh,sr22_low,4.2762288680000005
C-EEU-POL,sfh,sr31_std,4.127674406500001
C-EEU-POL,sfh,sr32_low,4.127674406500001
C-EEU-ROU,inf,ns,13.033500293000001
C-EEU-ROU,mfh,s1,10.4871157715
C-EEU-ROU,mfh,s2,9.908787765666666
C-EEU-ROU,mfh,s3,11.002646122500002
C-EEU-ROU,mfh,s51_std,12.141174631333334
C-EEU-ROU,mfh,s52_low,16.220307271166664
C-EEU-ROU,mfh,sr11_std,10.4871157715
C-EEU-ROU,mfh,sr12_low,10.4871157715
C-EEU-ROU,mfh,sr21_std,9.908787765666666
C-EEU-ROU,mfh,sr22_low,9.908787765666666
C-EEU-ROU,mfh,sr31_std,11.002646122500002
C-EEU-ROU,mfh,sr32_low,11.002646122500002
C-EEU-ROU,sfh,s1,13.033500293000001
C-EEU-ROU,sfh,s2,10.554470322166667
C-EEU-ROU,sfh,s3,9.242330967
C-EEU-ROU,sfh,s51_std,9.1657750395
C-EEU-ROU,sfh,s52_low,12.382760134333333
C-EEU-ROU,sfh,sr11_std,13.033500293000001
C-EEU-ROU,sfh,sr12_low,13.033500293000001
C-EEU-ROU,sfh,sr21_std,10.554470322166667
C-EEU-ROU,sfh,sr22_low,10.554470322166667
C-EEU-ROU,sfh,sr31_std,9.242330967
C-EEU-ROU,sfh,sr32_low,9.242330967
C-EEU-SVK,inf,ns,5.0167951905
C-EEU-SVK,mfh,s1,4.72514013825
C-EEU-SVK,mfh,s2,4.465841561
C-EEU-SVK,mfh,s3,5.3917673335
C-EEU-SVK,mfh,s51_std,6.3288647825
C-EEU-SVK,mfh,s52_low,9.820278352499999
C-EEU-SVK,mfh,sr11_std,4.72514013825
C-EEU-SVK,mfh,sr12_low,4.72514013825
C-EEU-SVK,mfh,sr21_std,4.465841561
C-EEU-SVK,mfh,sr22_low,4.465841561
C-EEU-SVK,mfh,sr31_std,5.3917673335
C-EEU-SVK,mfh,sr32_low,5.3917673335
C-EEU-SVK,sfh,s1,5.0167951905
C-EEU-SVK,sfh,s2,4.132606528
C-EEU-SVK,sfh,s3,3.78484575525
C-EEU-SVK,sfh,s51_std,4.09941818675
C-EEU-SVK,sfh,s52_low,6.44621812925
C-EEU-SVK,sfh,sr11_std,5.0167951905
C-EEU-SVK,sfh,sr12_low,5.0167951905
C-EEU-SVK,sfh,sr21_std,4.132606528
C-EEU-SVK,sfh,sr22_low,4.132606528
C-EEU-SVK,sfh,sr31_std,3.78484575525
C-EEU-SVK,sfh,sr32_low,3.78484575525
C-EEU-SVN,inf,ns,2.4316975765
C-EEU-SVN,mfh,s1,2.6797540155
C-EEU-SVN,mfh,s2,2.4874327505
C-EEU-SVN,mfh,s3,3.833934815
C-EEU-SVN,mfh,s51_std,5.237668982000001
C-EEU-SVN,mfh,s52_low,9.8957477975
C-EEU-SVN,mfh,sr11_std,2.6797540155
C-EEU-SVN,mfh,sr12_low,2.6797540155
C-EEU-SVN,mfh,sr21_std,2.4874327505
C-EEU-SVN,mfh,sr22_low,2.4874327505
C-EEU-SVN,mfh,sr31_std,3.833934815
C-EEU-SVN,mfh,sr32_low,3.833934815
C-EEU-SVN,sfh,s1,2.4316975765
C-EEU-SVN,sfh,s2,2.367159569
C-EEU-SVN,sfh,s3,1.945106093
C-EEU-SVN,sfh,s51_std,1.9474414715
C-EEU-SVN,sfh,s52_low,5.3641303035
C-EEU-SVN,sfh,sr11_std,2.4316975765
C-EEU-SVN,sfh,sr12_low,2.4316975765
C-EEU-SVN,sfh,sr21_std,2.367159569
C-EEU-SVN,sfh,sr22_low,2.367159569
C-EEU-SVN,sfh,sr31_std,1.945106093
C-EEU-SVN,sfh,sr32_low,1.945106093
C-WEU-AUT,inf,ns,7.264096490666667
C-WEU-AUT,mfh,s1,5.360900915333333
C-WEU-AUT,mfh,s2,5.503090682500001
C-WEU-AUT,mfh,s3,7.368373167666667
C-WEU-AUT,mfh,s51_std,8.407660082
C-WEU-AUT,mfh,s52_low,11.137888623833334
C-WEU-AUT,mfh,sr11_std,5.360900915333333
C-WEU-AUT,mfh,sr12_low,5.360900915333333
C-WEU-AUT,mfh,sr21_std,5.503090682500001
C-WEU-AUT,mfh,sr22_low,5.503090682500001
C-WEU-AUT,mfh,sr31_std,7.368373167666667
C-WEU-AUT,mfh,sr32_low,7.368373167666667
C-WEU-AUT,sfh,s1,7.264096490666667
C-WEU-AUT,sfh,s2,6.136933483499999
C-WEU-AUT,sfh,s3,5.665978315333334
C-WEU-AUT,sfh,s51_std,5.8014922486666665
C-WEU-AUT,sfh,s52_low,7.736027821
C-WEU-AUT,sfh,sr11_std,7.264096490666667
C-WEU-AUT,sfh,sr12_low,7.264096490666667
C-WEU-AUT,sfh,sr21_std,6.136933483499999
C-WEU-AUT,sfh,sr22_low,6.136933483499999
C-WEU-AUT,sfh,sr31_std,5.665978315333334
C-WEU-AUT,sfh,sr32_low,5.665978315333334
C-WEU-BEL,inf,ns,4.2904106955
C-WEU-BEL,mfh,s1,3.463563659
C-WEU-BEL,mfh,s2,3.7996212895
C-WEU-BEL,mfh,s3,5.5742481994999995
C-WEU-BEL,mfh,s51_std,6.6783794755
C-WEU-BEL,mfh,s52_low,9.334521354
C-WEU-BEL,mfh,sr11_std,3.463563659
C-WEU-BEL,mfh,sr12_low,3.463563659
C-WEU-BEL,mfh,sr21_std,3.7996212895
C-WEU-BEL,mfh,sr22_low,3.7996212895
C-WEU-BEL,mfh,sr31_std,5.5742481994999995
C-WEU-BEL,mfh,sr32_low,5.5742481994999995
C-WEU-BEL,sfh,s1,4.2904106955
C-WEU-BEL,sfh,s2,3.7187815925
C-WEU-BEL,sfh,s3,3.7713131835
C-WEU-BEL,sfh,s51_std,4.097531480000001
C-WEU-BEL,sfh,s52_low,5.955383502
C-WEU-BEL,sfh,sr11_std,4.2904106955
C-WEU-BEL,sfh,sr12_low,4.2904106955
C-WEU-BEL,sfh,sr21_std,3.7187815925
C-WEU-BEL,sfh,sr22_low,3.7187815925
C-WEU-BEL,sfh,sr31_std,3.7713131835
C-WEU-BEL,sfh,sr32_low,3.7713131835
C-WEU-CYP,inf,ns,153.58088035
C-WEU-CYP,mfh,s1,84.255667665
C-WEU-CYP,mfh,s2,73.35785446
C-WEU-CYP,mfh,s3,63.917717265
C-WEU-CYP,mfh,s51_std,62.254970915
C-WEU-CYP,mfh,s52_low,61.152295885
C-WEU-CYP,mfh,sr11_std,84.255667665
C-WEU-CYP,mfh,sr12_low,84.255667665
C-WEU-CYP,mfh,sr21_std,73.35785446
C-WEU-CYP,mfh,sr22_low,73.35785446
C-WEU-CYP,mfh,sr31_std,63.917717265
C-WEU-CYP,mfh,sr32_low,63.917717265
C-WEU-CYP,sfh,s1,153.58088035
C-WEU-CYP,sfh,s2,116.52008409999999
