region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-ITA,Zone_4A Mixed Humid,rur,sfh,s51_std,C-WEU-ITA-ITI18,24.37146773
C-WEU-ITA,Zone_4A Mixed Humid,urb,sfh,s51_std,C-WEU-ITA-ITI18,22.53402206
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI19,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI19,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI1A,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI1A,44.51753808
C-WEU-ITA,Zone_4A Mixed Humid,rur,sfh,s51_std,C-WEU-ITA-ITI21,24.37146773
C-WEU-ITA,Zone_4A Mixed Humid,urb,sfh,s51_std,C-WEU-ITA-ITI21,22.53402206
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI22,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI22,44.51753808
C-WEU-ITA,Zone_4A Mixed Humid,rur,sfh,s51_std,C-WEU-ITA-ITI31,24.37146773
C-WEU-ITA,Zone_4A Mixed Humid,urb,sfh,s51_std,C-WEU-ITA-ITI31,22.53402206
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI32,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI32,44.51753808
C-WEU-ITA,Zone_4A Mixed Humid,rur,sfh,s51_std,C-WEU-ITA-ITI33,24.37146773
C-WEU-ITA,Zone_4A Mixed Humid,urb,sfh,s51_std,C-WEU-ITA-ITI33,22.53402206
C-WEU-ITA,Zone_5A Cool Humid,rur,sfh,s51_std,C-WEU-ITA-ITI34,2.971118178
C-WEU-ITA,Zone_5A Cool Humid,urb,sfh,s51_std,C-WEU-ITA-ITI34,2.622535301
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI35,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI35,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI41,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI41,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI42,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI42,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI43,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI43,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI44,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI44,44.51753808
C-WEU-ITA,Zone_3A Warm Humid,rur,sfh,s51_std,C-WEU-ITA-ITI45,40.17468345
C-WEU-ITA,Zone_3A Warm Humid,urb,sfh,s51_std,C-WEU-ITA-ITI45,44.51753808
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s51_std,C-EEU-LTU-LT011,3.199684244
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s51_std,C-EEU-LTU-LT011,3.119405185
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s51_std,C-EEU-LTU-LT021,3.199684244
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s51_std,C-EEU-LTU-LT021,3.119405185
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s51_std,C-EEU-LTU-LT022,3.199684244
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s51_std,C-EEU-LTU-LT022,3.119405185
