region_gea,mat,tenr,year,value
LAC,perm,rent,2055,0.107631363
LAC,perm,rent,2060,0.107631363
LAC,perm,rent,2065,0.107631363
LAC,perm,rent,2070,0.107631363
LAC,perm,rent,2075,0.107631363
LAC,perm,rent,2080,0.107631363
LAC,perm,rent,2085,0.107631363
LAC,perm,rent,2090,0.107631363
LAC,perm,rent,2095,0.107631363
LAC,perm,rent,2100,0.107631363
LAC,sub,own,2015,1.0
LAC,sub,own,2020,1.0
LAC,sub,own,2025,1.0
LAC,sub,own,2030,1.0
LAC,sub,own,2035,1.0
LAC,sub,own,2040,1.0
LAC,sub,own,2045,1.0
LAC,sub,own,2050,1.0
LAC,sub,own,2055,1.0
LAC,sub,own,2060,1.0
LAC,sub,own,2065,1.0
LAC,sub,own,2070,1.0
LAC,sub,own,2075,1.0
LAC,sub,own,2080,1.0
LAC,sub,own,2085,1.0
LAC,sub,own,2090,1.0
LAC,sub,own,2095,1.0
LAC,sub,own,2100,1.0
LAC,sub,rent,2015,0.0
LAC,sub,rent,2020,0.0
LAC,sub,rent,2025,0.0
LAC,sub,rent,2030,0.0
LAC,sub,rent,2035,0.0
LAC,sub,rent,2040,0.0
LAC,sub,rent,2045,0.0
LAC,sub,rent,2050,0.0
LAC,sub,rent,2055,0.0
LAC,sub,rent,2060,0.0
LAC,sub,rent,2065,0.0
LAC,sub,rent,2070,0.0
LAC,sub,rent,2075,0.0
LAC,sub,rent,2080,0.0
LAC,sub,rent,2085,0.0
LAC,sub,rent,2090,0.0
LAC,sub,rent,2095,0.0
LAC,sub,rent,2100,0.0
MEA,perm,own,2015,0.899324311
MEA,perm,own,2020,0.899324311
MEA,perm,own,2025,0.899324311
MEA,perm,own,2030,0.899324311
MEA,perm,own,2035,0.899324311
MEA,perm,own,2040,0.899324311
MEA,perm,own,2045,0.899324311
MEA,perm,own,2050,0.899324311
MEA,perm,own,2055,0.899324311
MEA,perm,own,2060,0.899324311
MEA,perm,own,2065,0.899324311
MEA,perm,own,2070,0.899324311
MEA,perm,own,2075,0.899324311
MEA,perm,own,2080,0.899324311
MEA,perm,own,2085,0.899324311
MEA,perm,own,2090,0.899324311
MEA,perm,own,2095,0.899324311
MEA,perm,own,2100,0.899324311
MEA,perm,rent,2015,0.100675689
MEA,perm,rent,2020,0.100675689
MEA,perm,rent,2025,0.100675689
MEA,perm,rent,2030,0.100675689
MEA,perm,rent,2035,0.100675689
MEA,perm,rent,2040,0.100675689
MEA,perm,rent,2045,0.100675689
MEA,perm,rent,2050,0.100675689
MEA,perm,rent,2055,0.100675689
MEA,perm,rent,2060,0.100675689
MEA,perm,rent,2065,0.100675689
MEA,perm,rent,2070,0.100675689
MEA,perm,rent,2075,0.100675689
MEA,perm,rent,2080,0.100675689
MEA,perm,rent,2085,0.100675689
MEA,perm,rent,2090,0.100675689
MEA,perm,rent,2095,0.100675689
MEA,perm,rent,2100,0.100675689
MEA,sub,own,2015,1.0
MEA,sub,own,2020,1.0
MEA,sub,own,2025,1.0
MEA,sub,own,2030,1.0
MEA,sub,own,2035,1.0
MEA,sub,own,2040,1.0
MEA,sub,own,2045,1.0
MEA,sub,own,2050,1.0
MEA,sub,own,2055,1.0
MEA,sub,own,2060,1.0
MEA,sub,own,2065,1.0
MEA,sub,own,2070,1.0
MEA,sub,own,2075,1.0
MEA,sub,own,2080,1.0
MEA,sub,own,2085,1.0
MEA,sub,own,2090,1.0
MEA,sub,own,2095,1.0
MEA,sub,own,2100,1.0
MEA,sub,rent,2015,0.0
MEA,sub,rent,2020,0.0
MEA,sub,rent,2025,0.0
MEA,sub,rent,2030,0.0
MEA,sub,rent,2035,0.0
MEA,sub,rent,2040,0.0
MEA,sub,rent,2045,0.0
MEA,sub,rent,2050,0.0
MEA,sub,rent,2055,0.0
MEA,sub,rent,2060,0.0
MEA,sub,rent,2065,0.0
MEA,sub,rent,2070,0.0
MEA,sub,rent,2075,0.0
MEA,sub,rent,2080,0.0
MEA,sub,rent,2085,0.0
MEA,sub,rent,2090,0.0
MEA,sub,rent,2095,0.0
MEA,sub,rent,2100,0.0
NAM,perm,own,2015,0.7283253955000001
NAM,perm,own,2020,0.7283253955000001
NAM,perm,own,2025,0.7283253955000001
NAM,perm,own,2030,0.7283253955000001
NAM,perm,own,2035,0.7283253955000001
NAM,perm,own,2040,0.7283253955000001
NAM,perm,own,2045,0.7283253955000001
NAM,perm,own,2050,0.7283253955000001
NAM,perm,own,2055,0.7283253955000001
NAM,perm,own,2060,0.7283253955000001
NAM,perm,own,2065,0.7283253955000001
NAM,perm,own,2070,0.7283253955000001
NAM,perm,own,2075,0.7283253955000001
NAM,perm,own,2080,0.7283253955000001
NAM,perm,own,2085,0.7283253955000001
NAM,perm,own,2090,0.7283253955000001
NAM,perm,own,2095,0.7283253955000001
NAM,perm,own,2100,0.7283253955000001
NAM,perm,rent,2015,0.2716746045
NAM,perm,rent,2020,0.2716746045
NAM,perm,rent,2025,0.2716746045
NAM,perm,rent,2030,0.2716746045
NAM,perm,rent,2035,0.2716746045
NAM,perm,rent,2040,0.2716746045
NAM,perm,rent,2045,0.2716746045
NAM,perm,rent,2050,0.2716746045
NAM,perm,rent,2055,0.2716746045
NAM,perm,rent,2060,0.2716746045
NAM,perm,rent,2065,0.2716746045
NAM,perm,rent,2070,0.2716746045
NAM,perm,rent,2075,0.2716746045
NAM,perm,rent,2080,0.2716746045
NAM,perm,rent,2085,0.2716746045
NAM,perm,rent,2090,0.2716746045
NAM,perm,rent,2095,0.2716746045
NAM,perm,rent,2100,0.2716746045
NAM,sub,own,2015,1.0
NAM,sub,own,2020,1.0
NAM,sub,own,2025,1.0
NAM,sub,own,2030,1.0
NAM,sub,own,2035,1.0
NAM,sub,own,2040,1.0
NAM,sub,own,2045,1.0
NAM,sub,own,2050,1.0
NAM,sub,own,2055,1.0
NAM,sub,own,2060,1.0
NAM,sub,own,2065,1.0
NAM,sub,own,2070,1.0
NAM,sub,own,2075,1.0
NAM,sub,own,2080,1.0
NAM,sub,own,2085,1.0
NAM,sub,own,2090,1.0
NAM,sub,own,2095,1.0
NAM,sub,own,2100,1.0
NAM,sub,rent,2015,0.0
NAM,sub,rent,2020,0.0
NAM,sub,rent,2025,0.0
NAM,sub,rent,2030,0.0
NAM,sub,rent,2035,0.0
NAM,sub,rent,2040,0.0
NAM,sub,rent,2045,0.0
NAM,sub,rent,2050,0.0
NAM,sub,rent,2055,0.0
NAM,sub,rent,2060,0.0
NAM,sub,rent,2065,0.0
NAM,sub,rent,2070,0.0
NAM,sub,rent,2075,0.0
NAM,sub,rent,2080,0.0
NAM,sub,rent,2085,0.0
NAM,sub,rent,2090,0.0
NAM,sub,rent,2095,0.0
NAM,sub,rent,2100,0.0
PAO,perm,own,2015,0.7480375635000001
PAO,perm,own,2020,0.7480375635000001
PAO,perm,own,2025,0.7480375635000001
PAO,perm,own,2030,0.7480375635000001
PAO,perm,own,2035,0.7480375635000001
PAO,perm,own,2040,0.7480375635000001
PAO,perm,own,2045,0.7480375635000001
PAO,perm,own,2050,0.7480375635000001
PAO,perm,own,2055,0.7480375635000001
PAO,perm,own,2060,0.7480375635000001
PAO,perm,own,2065,0.7480375635000001
PAO,perm,own,2070,0.7480375635000001
PAO,perm,own,2075,0.7480375635000001
PAO,perm,own,2080,0.7480375635000001
PAO,perm,own,2085,0.7480375635000001
PAO,perm,own,2090,0.7480375635000001
PAO,perm,own,2095,0.7480375635000001
PAO,perm,own,2100,0.7480375635000001
PAO,perm,rent,2015,0.2519624365
PAO,perm,rent,2020,0.2519624365
PAO,perm,rent,2025,0.2519624365
PAO,perm,rent,2030,0.2519624365
PAO,perm,rent,2035,0.2519624365
PAO,perm,rent,2040,0.2519624365
PAO,perm,rent,2045,0.2519624365
PAO,perm,rent,2050,0.2519624365
PAO,perm,rent,2055,0.2519624365
PAO,perm,rent,2060,0.2519624365
PAO,perm,rent,2065,0.2519624365
PAO,perm,rent,2070,0.2519624365
PAO,perm,rent,2075,0.2519624365
PAO,perm,rent,2080,0.2519624365
PAO,perm,rent,2085,0.2519624365
PAO,perm,rent,2090,0.2519624365
PAO,perm,rent,2095,0.2519624365
PAO,perm,rent,2100,0.2519624365
PAO,sub,own,2015,1.0
PAO,sub,own,2020,1.0
PAO,sub,own,2025,1.0
PAO,sub,own,2030,1.0
PAO,sub,own,2035,1.0
PAO,sub,own,2040,1.0
PAO,sub,own,2045,1.0
PAO,sub,own,2050,1.0
PAO,sub,own,2055,1.0
PAO,sub,own,2060,1.0
PAO,sub,own,2065,1.0
PAO,sub,own,2070,1.0
PAO,sub,own,2075,1.0
PAO,sub,own,2080,1.0
PAO,sub,own,2085,1.0
PAO,sub,own,2090,1.0
PAO,sub,own,2095,1.0
PAO,sub,own,2100,1.0
PAO,sub,rent,2015,0.0
PAO,sub,rent,2020,0.0
PAO,sub,rent,2025,0.0
PAO,sub,rent,2030,0.0
PAO,sub,rent,2035,0.0
PAO,sub,rent,2040,0.0
PAO,sub,rent,2045,0.0
PAO,sub,rent,2050,0.0
PAO,sub,rent,2055,0.0
PAO,sub,rent,2060,0.0
PAO,sub,rent,2065,0.0
