region_gea,mat,tenr,year,value
EEU,perm,rent,2075,0.06158025050000001
EEU,perm,rent,2080,0.06158025050000001
EEU,perm,rent,2085,0.06158025050000001
EEU,perm,rent,2090,0.06158025050000001
EEU,perm,rent,2095,0.06158025050000001
EEU,perm,rent,2100,0.06158025050000001
EEU,sub,own,2015,1.0
EEU,sub,own,2020,1.0
EEU,sub,own,2025,1.0
EEU,sub,own,2030,1.0
EEU,sub,own,2035,1.0
EEU,sub,own,2040,1.0
EEU,sub,own,2045,1.0
EEU,sub,own,2050,1.0
EEU,sub,own,2055,1.0
EEU,sub,own,2060,1.0
EEU,sub,own,2065,1.0
EEU,sub,own,2070,1.0
EEU,sub,own,2075,1.0
EEU,sub,own,2080,1.0
EEU,sub,own,2085,1.0
EEU,sub,own,2090,1.0
EEU,sub,own,2095,1.0
EEU,sub,own,2100,1.0
EEU,sub,rent,2015,0.0
EEU,sub,rent,2020,0.0
EEU,sub,rent,2025,0.0
EEU,sub,rent,2030,0.0
EEU,sub,rent,2035,0.0
EEU,sub,rent,2040,0.0
EEU,sub,rent,2045,0.0
EEU,sub,rent,2050,0.0
EEU,sub,rent,2055,0.0
EEU,sub,rent,2060,0.0
EEU,sub,rent,2065,0.0
EEU,sub,rent,2070,0.0
EEU,sub,rent,2075,0.0
EEU,sub,rent,2080,0.0
EEU,sub,rent,2085,0.0
EEU,sub,rent,2090,0.0
EEU,sub,rent,2095,0.0
EEU,sub,rent,2100,0.0
FSU,perm,own,2015,0.9553739029999999
FSU,perm,own,2020,0.9553739029999999
FSU,perm,own,2025,0.9553739029999999
FSU,perm,own,2030,0.9553739029999999
FSU,perm,own,2035,0.9553739029999999
FSU,perm,own,2040,0.9553739029999999
FSU,perm,own,2045,0.9553739029999999
FSU,perm,own,2050,0.9553739029999999
FSU,perm,own,2055,0.9553739029999999
FSU,perm,own,2060,0.9553739029999999
FSU,perm,own,2065,0.9553739029999999
FSU,perm,own,2070,0.9553739029999999
FSU,perm,own,2075,0.9553739029999999
FSU,perm,own,2080,0.9553739029999999
FSU,perm,own,2085,0.9553739029999999
FSU,perm,own,2090,0.9553739029999999
FSU,perm,own,2095,0.9553739029999999
FSU,perm,own,2100,0.9553739029999999
FSU,perm,rent,2015,0.044626097
FSU,perm,rent,2020,0.044626097
FSU,perm,rent,2025,0.044626097
FSU,perm,rent,2030,0.044626097
FSU,perm,rent,2035,0.044626097
FSU,perm,rent,2040,0.044626097
FSU,perm,rent,2045,0.044626097
FSU,perm,rent,2050,0.044626097
FSU,perm,rent,2055,0.044626097
FSU,perm,rent,2060,0.044626097
FSU,perm,rent,2065,0.044626097
FSU,perm,rent,2070,0.044626097
FSU,perm,rent,2075,0.044626097
FSU,perm,rent,2080,0.044626097
FSU,perm,rent,2085,0.044626097
FSU,perm,rent,2090,0.044626097
FSU,perm,rent,2095,0.044626097
FSU,perm,rent,2100,0.044626097
FSU,sub,own,2015,1.0
FSU,sub,own,2020,1.0
FSU,sub,own,2025,1.0
FSU,sub,own,2030,1.0
FSU,sub,own,2035,1.0
FSU,sub,own,2040,1.0
FSU,sub,own,2045,1.0
FSU,sub,own,2050,1.0
FSU,sub,own,2055,1.0
FSU,sub,own,2060,1.0
FSU,sub,own,2065,1.0
FSU,sub,own,2070,1.0
FSU,sub,own,2075,1.0
FSU,sub,own,2080,1.0
FSU,sub,own,2085,1.0
FSU,sub,own,2090,1.0
FSU,sub,own,2095,1.0
FSU,sub,own,2100,1.0
FSU,sub,rent,2015,0.0
FSU,sub,rent,2020,0.0
FSU,sub,rent,2025,0.0
FSU,sub,rent,2030,0.0
FSU,sub,rent,2035,0.0
FSU,sub,rent,2040,0.0
FSU,sub,rent,2045,0.0
FSU,sub,rent,2050,0.0
FSU,sub,rent,2055,0.0
FSU,sub,rent,2060,0.0
FSU,sub,rent,2065,0.0
FSU,sub,rent,2070,0.0
FSU,sub,rent,2075,0.0
FSU,sub,rent,2080,0.0
FSU,sub,rent,2085,0.0
FSU,sub,rent,2090,0.0
FSU,sub,rent,2095,0.0
FSU,sub,rent,2100,0.0
LAC,perm,own,2015,0.892368637
LAC,perm,own,2020,0.892368637
LAC,perm,own,2025,0.892368637
LAC,perm,own,2030,0.892368637
LAC,perm,own,2035,0.892368637
LAC,perm,own,2040,0.892368637
LAC,perm,own,2045,0.892368637
LAC,perm,own,2050,0.892368637
LAC,perm,own,2055,0.892368637
LAC,perm,own,2060,0.892368637
LAC,perm,own,2065,0.892368637
LAC,perm,own,2070,0.892368637
LAC,perm,own,2075,0.892368637
LAC,perm,own,2080,0.892368637
LAC,perm,own,2085,0.892368637
LAC,perm,own,2090,0.892368637
LAC,perm,own,2095,0.892368637
LAC,perm,own,2100,0.892368637
LAC,perm,rent,2015,0.107631363
LAC,perm,rent,2020,0.107631363
LAC,perm,rent,2025,0.107631363
LAC,perm,rent,2030,0.107631363
LAC,perm,rent,2035,0.107631363
LAC,perm,rent,2040,0.107631363
LAC,perm,rent,2045,0.107631363
LAC,perm,rent,2050,0.107631363
