region_bld,region_nuts,urt,clim,value
C-EEU-LTU,C-EEU-LTU-LT011,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT021,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT021,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT022,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT022,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT023,rur,Zone_5A Cool Humid,1
C-EEU-LTU,C-EEU-LTU-LT023,urb,Zone_5A Cool Humid,1
C-EEU-LTU,C-EEU-LTU-LT024,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT024,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT025,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT025,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT026,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT026,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT027,rur,Zone_5A Cool Humid,1
C-EEU-LTU,C-EEU-LTU-LT027,urb,Zone_5A Cool Humid,1
C-EEU-LTU,C-EEU-LTU-LT028,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT028,urb,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT029,rur,Zone_6A Cold Humid,1
C-EEU-LTU,C-EEU-LTU-LT029,urb,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV005,rur,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV005,urb,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV009,rur,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV009,urb,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00A,rur,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00A,urb,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00B,rur,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00B,urb,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00C,rur,Zone_6A Cold Humid,1
C-EEU-LVA,C-EEU-LVA-LV00C,urb,Zone_6A Cold Humid,1
C-EEU-POL,C-EEU-POL-PL213,rur,Zone_5A Cool Humid,1
