region_bld,clim,region_nuts,region_gea,urt,mat,arch,yr_con,bld_age,Occupied conventional dwellings,Unoccupied conventional dwellings
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1965,p2,0.13693800218676175,0.1064752539515927
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1970,p2,0.09632534368207166,0.07489714518059862
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1975,p2,0.09074369363864697,0.07055716945178653
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1980,p2,0.08561225434082928,0.06656725216332517
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1985,p2,0.09395097296974479,0.05999958450383361
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1990,p2,0.05885439362441372,0.03758597758031807
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,1995,p3,0.011602990389004492,0.007409977569539749
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,2000,p3,0.022155419685016726,0.014149038946484798
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,2005,p3,0.006623496182918552,0.005457366591400042
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,2010,p3,0.007625847597302096,0.006283244491927338
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,2015,p3,0.0063352345615662435,0.006620466290395561
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG312,EEU,urb,perm,sfh,2020,p3,0.005230022301604531,0.0077397537567574
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1945,p1,0.0964041860761917,0.16087564042850488
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1960,p2,0.24976070448599325,0.2892594317652538
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1965,p2,0.14460938857119546,0.1302592680914937
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1970,p2,0.10172157349555129,0.09162736834422161
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1975,p2,0.09582723454574543,0.08631794628614486
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1980,p2,0.09040832754040169,0.08143677731540112
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1985,p2,0.10079118207299533,0.07026284565980177
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1990,p2,0.0631393557308269,0.044015267164557136
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,1995,p3,0.012447759506077452,0.008677495262953002
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,2000,p3,0.023768470605357812,0.016569310403605635
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,2005,p3,0.006073228674338496,0.0052912903238760646
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,2010,p3,0.006992306390430823,0.0060920352466875115
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,2015,p3,0.0040839767723821075,0.003167210060549604
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,mfh,2020,p3,0.003972305532512284,0.006148113646949231
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1945,p1,0.0964041860761917,0.16087564042850488
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1960,p2,0.24976070448599325,0.2892594317652538
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1965,p2,0.14460938857119546,0.1302592680914937
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1970,p2,0.10172157349555129,0.09162736834422161
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1975,p2,0.09582723454574543,0.08631794628614486
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1980,p2,0.09040832754040169,0.08143677731540112
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1985,p2,0.10079118207299533,0.07026284565980177
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1990,p2,0.0631393557308269,0.044015267164557136
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,1995,p3,0.012447759506077452,0.008677495262953002
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,2000,p3,0.023768470605357812,0.016569310403605635
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,2005,p3,0.006073228561543487,0.005291290225603602
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,2010,p3,0.006992306503225833,0.006092035344959975
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,2015,p3,0.0040839767723821075,0.003167210060549604
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,rur,perm,sfh,2020,p3,0.003972305532512284,0.006148113646949231
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1945,p1,0.0964041860761917,0.16087564042850488
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1960,p2,0.24976070448599325,0.2892594317652538
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1965,p2,0.14460938857119546,0.1302592680914937
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1970,p2,0.10172157349555129,0.09162736834422161
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1975,p2,0.09582723454574543,0.08631794628614486
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1980,p2,0.09040832754040169,0.08143677731540112
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1985,p2,0.10079118207299533,0.07026284565980177
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1990,p2,0.0631393557308269,0.044015267164557136
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,1995,p3,0.012447759506077452,0.008677495262953002
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,2000,p3,0.023768470605357812,0.016569310403605635
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,2005,p3,0.006073228674338496,0.0052912903238760646
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,2010,p3,0.006992306390430823,0.0060920352466875115
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,2015,p3,0.0040839767723821075,0.003167210060549604
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,mfh,2020,p3,0.003972305532512284,0.006148113646949231
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1945,p1,0.0964041860761917,0.16087564042850488
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1960,p2,0.24976070448599325,0.2892594317652538
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1965,p2,0.14460938857119546,0.1302592680914937
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1970,p2,0.10172157349555129,0.09162736834422161
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1975,p2,0.09582723454574543,0.08631794628614486
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1980,p2,0.09040832754040169,0.08143677731540112
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1985,p2,0.10079118207299533,0.07026284565980177
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1990,p2,0.0631393557308269,0.044015267164557136
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,1995,p3,0.012447759506077452,0.008677495262953002
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,2000,p3,0.023768470605357812,0.016569310403605635
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,2005,p3,0.006073228561543487,0.005291290225603602
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,2010,p3,0.006992306503225833,0.006092035344959975
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,2015,p3,0.0040839767723821075,0.003167210060549604
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG313,EEU,urb,perm,sfh,2020,p3,0.003972305532512284,0.006148113646949231
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1945,p1,0.1037023531178275,0.1740052633646255
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1960,p2,0.26592161994036767,0.3084763737774461
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1965,p2,0.12785561153979474,0.09474769928327108
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1970,p2,0.08993658098250523,0.06664771320454506
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1975,p2,0.08472513296729405,0.06278575749193292
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1980,p2,0.07993403554346117,0.05923530356595187
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1985,p2,0.1067740484182635,0.09007943272772165
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1990,p2,0.06688724635671817,0.05642911641722433
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,1995,p3,0.0131866463798217,0.01112485330538637
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,2000,p3,0.02517934385774515,0.021242437134883087
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,2005,p3,0.0113018881521317,0.014031204837032714
C-EEU-BGR,Zone_4A Mixed Humid,C-EEU-BGR-BG314,EEU,rur,perm,mfh,2010,p3,0.013012232699881426,0.016154584078478498
