region_bld,clim,arch,eneff,urt,value
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,rur,6.901233769999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,sub,7.33630311
C-EEU-BGR,Zone_5A Cool Humid,mfh,s2,urb,7.7713724399999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,rur,8.271892779999998
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,sub,8.770138
C-EEU-BGR,Zone_5A Cool Humid,mfh,s3,urb,9.268383219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,rur,9.690917459999998
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,sub,10.26105075
C-EEU-BGR,Zone_5A Cool Humid,mfh,s51_std,urb,10.83118403
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,rur,15.035547249999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,sub,15.696683259999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,s52_low,urb,16.35781926
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,rur,7.384251999999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,sub,7.836897079999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr11_std,urb,8.28954216
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,rur,7.384251999999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,sub,7.836897079999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr12_low,urb,8.28954216
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,rur,6.901233769999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,sub,7.33630311
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr21_std,urb,7.7713724399999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,rur,6.901233769999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,sub,7.33630311
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr22_low,urb,7.7713724399999995
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,rur,8.271892779999998
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,sub,8.770138
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr31_std,urb,9.268383219999999
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,rur,8.271892779999998
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,sub,8.770138
C-EEU-BGR,Zone_5A Cool Humid,mfh,sr32_low,urb,9.268383219999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,rur,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,sub,9.19703307
C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,urb,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,rur,6.881095679999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,sub,7.51704958
C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,urb,8.153003479999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,rur,5.982723039999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,sub,6.46558532
C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,urb,6.948447609999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,rur,6.16786701
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,sub,6.62627725
C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,urb,7.084687489999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,rur,9.91275848
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,sub,10.48621436
C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,urb,11.05967024
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,rur,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,sub,9.19703307
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,urb,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,rur,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,sub,9.19703307
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,urb,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,rur,6.881095679999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,sub,7.51704958
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,urb,8.153003479999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,rur,6.881095679999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,sub,7.51704958
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,urb,8.153003479999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,rur,5.982723039999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,sub,6.46558532
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,urb,6.948447609999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,rur,5.982723039999999
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,sub,6.46558532
C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,urb,6.948447609999999
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,7.4539273
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,sub,7.94550788
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,8.437088439999998
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,rur,4.03846563
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,sub,4.23033884
C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,urb,4.422212049999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,rur,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,sub,3.99499177
C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,urb,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,rur,4.90086726
C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,sub,5.10503449
C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,urb,5.309201719999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,rur,5.93889985
C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,sub,6.16411384
C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,urb,6.389327839999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,rur,9.69618819
C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,sub,10.05238126
C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,urb,10.408574329999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,rur,4.03846563
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,sub,4.23033884
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,urb,4.422212049999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,rur,4.03846563
