index,region_bld,urt,arch,mat,year,value
96,C-EEU-BGR,urb,mfh,perm,2025,21.45828868027082
97,C-EEU-BGR,rur,sfh,perm,2070,55.82572145051187
98,C-EEU-BGR,urb,mfh,perm,2030,22.87276347534181
99,C-EEU-BGR,rur,sfh,perm,2075,57.06731994751716
100,C-EEU-BGR,rur,sfh,perm,2080,58.171826138463345
101,C-EEU-BGR,rur,sfh,perm,2085,59.14989141202306
102,C-EEU-BGR,urb,mfh,perm,2090,33.94645282697998
103,C-EEU-BGR,urb,mfh,perm,2020,20.01139623004559
104,C-EEU-BGR,rur,sfh,perm,2095,60.7715335667183
105,C-EEU-BGR,rur,sfh,perm,2100,61.43729990219796
106,C-EEU-BGR,urb,mfh,perm,2015,18.551064059668914
107,C-EEU-BGR,rur,sfh,perm,2090,60.0127108026709
108,C-EEU-CZE,sub,sfh,perm,2020,40.97988780757307
109,C-EEU-CZE,sub,sfh,perm,2025,42.7633383438197
110,C-EEU-CZE,sub,sfh,perm,2030,44.505066942168234
111,C-EEU-CZE,sub,sfh,perm,2035,46.18508817855775
112,C-EEU-CZE,sub,sfh,perm,2040,47.786384763130805
113,C-EEU-CZE,sub,sfh,perm,2045,49.29553856444838
114,C-EEU-CZE,sub,sfh,perm,2050,50.702982980449015
115,C-EEU-CZE,sub,sfh,perm,2015,39.17680095827398
116,C-EEU-CZE,sub,sfh,perm,2060,53.193118141825835
117,C-EEU-CZE,sub,sfh,perm,2065,54.27427627903131
118,C-EEU-CZE,sub,sfh,perm,2070,55.2495893873512
119,C-EEU-CZE,sub,sfh,perm,2090,58.20998486770834
120,C-EEU-CZE,sub,sfh,perm,2080,56.904197523300304
121,C-EEU-CZE,sub,sfh,perm,2085,57.59698158182629
122,C-EEU-CZE,sub,sfh,perm,2055,52.002934330338476
123,C-EEU-CZE,sub,sfh,perm,2075,56.124125624274924
124,C-EEU-CZE,sub,mfh,perm,2045,30.706025308888552
125,C-EEU-CZE,sub,mfh,perm,2095,36.59567209831279
126,C-EEU-CZE,sub,sfh,perm,2095,58.7507939359723
127,C-EEU-CZE,sub,mfh,perm,2015,24.403097658031523
128,C-EEU-CZE,sub,mfh,perm,2020,25.526234398529148
129,C-EEU-CZE,sub,mfh,perm,2025,26.637139740686063
130,C-EEU-CZE,sub,mfh,perm,2030,27.722056637707112
131,C-EEU-CZE,sub,mfh,perm,2035,28.76853621538904
132,C-EEU-CZE,sub,mfh,perm,2040,29.76597847298851
133,C-EEU-CZE,sub,mfh,perm,2100,36.892172631465094
134,C-EEU-CZE,sub,mfh,perm,2050,31.582717705266713
135,C-EEU-CZE,sub,mfh,perm,2060,33.13381453356439
136,C-EEU-CZE,sub,mfh,perm,2065,33.80726430013486
137,C-EEU-CZE,sub,mfh,perm,2070,34.41478355799804
138,C-EEU-CZE,sub,mfh,perm,2075,34.95952923905063
139,C-EEU-CZE,sub,mfh,perm,2080,35.44543340222412
