region_bld,mat,arch,year,value
C-EEU-HRV,perm,mfh,2030,0.512928023516086
C-EEU-HRV,perm,mfh,2035,0.5111448830366832
C-EEU-HRV,perm,mfh,2040,0.5093292557601324
C-EEU-HRV,perm,mfh,2045,0.5074964031319984
C-EEU-HRV,perm,mfh,2050,0.505665604874048
C-EEU-HRV,perm,mfh,2055,0.5038607021892947
C-EEU-HRV,perm,mfh,2060,0.5021105643053009
C-EEU-HRV,perm,mfh,2065,0.50044939986928
C-EEU-HRV,perm,mfh,2070,0.4989168121711975
C-EEU-HRV,perm,mfh,2075,0.4975574784169198
C-EEU-HRV,perm,mfh,2080,0.4964203252230694
C-EEU-HRV,perm,mfh,2085,0.49555708425956535
C-EEU-HRV,perm,mfh,2090,0.4950201533118836
C-EEU-HRV,perm,mfh,2095,0.4948597662997313
C-EEU-HRV,perm,mfh,2100,0.4951205911442296
C-EEU-HRV,perm,sfh,2015,0.4820214972441301
C-EEU-HRV,perm,sfh,2020,0.48364747205098735
C-EEU-HRV,perm,sfh,2025,0.4853331292174301
C-EEU-HRV,perm,sfh,2030,0.487071976483914
C-EEU-HRV,perm,sfh,2035,0.4888551169633168
C-EEU-HRV,perm,sfh,2040,0.49067074423986745
C-EEU-HRV,perm,sfh,2045,0.49250359686800166
C-EEU-HRV,perm,sfh,2050,0.49433439512595206
C-EEU-HRV,perm,sfh,2055,0.4961392978107053
C-EEU-HRV,perm,sfh,2060,0.49788943569469907
C-EEU-HRV,perm,sfh,2065,0.4995506001307199
C-EEU-HRV,perm,sfh,2070,0.5010831878288025
C-EEU-HRV,perm,sfh,2075,0.5024425215830802
C-EEU-HRV,perm,sfh,2080,0.5035796747769306
C-EEU-HRV,perm,sfh,2085,0.5044429157404345
C-EEU-HRV,perm,sfh,2090,0.5049798466881165
C-EEU-HRV,perm,sfh,2095,0.5051402337002687
C-EEU-HRV,perm,sfh,2100,0.5048794088557704
C-EEU-HUN,perm,mfh,2015,0.41553602121808964
C-EEU-HUN,perm,mfh,2020,0.416751112911755
C-EEU-HUN,perm,mfh,2025,0.4180712856182001
C-EEU-HUN,perm,mfh,2030,0.41949313677137673
C-EEU-HUN,perm,mfh,2035,0.4210127549327546
C-EEU-HUN,perm,mfh,2040,0.42262538266940974
C-EEU-HUN,perm,mfh,2045,0.4243250468328714
C-EEU-HUN,perm,mfh,2050,0.42610415059522383
C-EEU-HUN,perm,mfh,2055,0.4279530248957407
C-EEU-HUN,perm,mfh,2060,0.42985944160892137
C-EEU-HUN,perm,mfh,2065,0.43180809726662656
C-EEU-HUN,perm,mfh,2070,0.43378008502192256
C-EEU-HUN,perm,mfh,2075,0.43575238405182526
C-EEU-HUN,perm,mfh,2080,0.4376974097480723
C-EEU-HUN,perm,mfh,2085,0.439582684224143
C-EEU-HUN,perm,mfh,2090,0.4413707033193234
C-EEU-HUN,perm,mfh,2095,0.443019090575034
C-EEU-HUN,perm,mfh,2100,0.44448113627593844
C-EEU-HUN,perm,sfh,2015,0.5844639787819104
C-EEU-HUN,perm,sfh,2020,0.583248887088245
C-EEU-HUN,perm,sfh,2025,0.5819287143817998
C-EEU-HUN,perm,sfh,2030,0.5805068632286232
C-EEU-HUN,perm,sfh,2035,0.5789872450672454
C-EEU-HUN,perm,sfh,2040,0.5773746173305901
C-EEU-HUN,perm,sfh,2045,0.5756749531671285
C-EEU-HUN,perm,sfh,2050,0.5738958494047761
C-EEU-HUN,perm,sfh,2055,0.5720469751042593
C-EEU-HUN,perm,sfh,2060,0.5701405583910787
C-EEU-HUN,perm,sfh,2065,0.5681919027333734
C-EEU-HUN,perm,sfh,2070,0.5662199149780774
C-EEU-HUN,perm,sfh,2075,0.5642476159481747
C-EEU-HUN,perm,sfh,2080,0.5623025902519276
C-EEU-HUN,perm,sfh,2085,0.560417315775857
C-EEU-HUN,perm,sfh,2090,0.5586292966806766
C-EEU-HUN,perm,sfh,2095,0.5569809094249659
C-EEU-HUN,perm,sfh,2100,0.5555188637240615
C-EEU-LTU,perm,mfh,2015,0.6346075829228859
C-EEU-LTU,perm,mfh,2020,0.6370183012743619
C-EEU-LTU,perm,mfh,2025,0.6394072549622426
C-EEU-LTU,perm,mfh,2030,0.641772456575181
C-EEU-LTU,perm,mfh,2035,0.6441101736422066
C-EEU-LTU,perm,mfh,2040,0.6464145981280824
C-EEU-LTU,perm,mfh,2045,0.6486774987912064
C-EEU-LTU,perm,mfh,2050,0.6508878832750894
C-EEU-LTU,perm,mfh,2055,0.653031711896574
C-EEU-LTU,perm,mfh,2060,0.6550917228825601
C-EEU-LTU,perm,mfh,2065,0.6570474469594495
C-EEU-LTU,perm,mfh,2070,0.6588755031659936
C-EEU-LTU,perm,mfh,2075,0.6605502704373123
C-EEU-LTU,perm,mfh,2080,0.6620450118296778
C-EEU-LTU,perm,mfh,2085,0.6633334814276449
C-EEU-LTU,perm,mfh,2090,0.6643919637479432
C-EEU-LTU,perm,mfh,2095,0.6652015877656533
C-EEU-LTU,perm,mfh,2100,0.6657506432266636
C-EEU-LTU,perm,sfh,2015,0.36539241707711406
C-EEU-LTU,perm,sfh,2020,0.362981698725638
C-EEU-LTU,perm,sfh,2025,0.3605927450377574
C-EEU-LTU,perm,sfh,2030,0.3582275434248189
C-EEU-LTU,perm,sfh,2035,0.35588982635779326
C-EEU-LTU,perm,sfh,2040,0.35358540187191756
C-EEU-LTU,perm,sfh,2045,0.3513225012087935
C-EEU-LTU,perm,sfh,2050,0.34911211672491055
C-EEU-LTU,perm,sfh,2055,0.34696828810342595
C-EEU-LTU,perm,sfh,2060,0.3449082771174398
C-EEU-LTU,perm,sfh,2065,0.3429525530405505
C-EEU-LTU,perm,sfh,2070,0.3411244968340064
C-EEU-LTU,perm,sfh,2075,0.3394497295626876
C-EEU-LTU,perm,sfh,2080,0.33795498817032216
C-EEU-LTU,perm,sfh,2085,0.3366665185723551
C-EEU-LTU,perm,sfh,2090,0.3356080362520567
C-EEU-LTU,perm,sfh,2095,0.3347984122343467
C-EEU-LTU,perm,sfh,2100,0.33424935677333656
C-EEU-LVA,perm,mfh,2015,0.8046202159782578
C-EEU-LVA,perm,mfh,2020,0.8091891332886282
C-EEU-LVA,perm,mfh,2025,0.8137160168009032
C-EEU-LVA,perm,mfh,2030,0.818180148088585
C-EEU-LVA,perm,mfh,2035,0.8225559289150944
C-EEU-LVA,perm,mfh,2040,0.8268123736653294
C-EEU-LVA,perm,mfh,2045,0.8309127040225797
C-EEU-LVA,perm,mfh,2050,0.8348141232269334
C-EEU-LVA,perm,mfh,2055,0.8384678663380898
C-EEU-LVA,perm,mfh,2060,0.8418196385291581
C-EEU-LVA,perm,mfh,2065,0.8448105602211481
C-EEU-LVA,perm,mfh,2070,0.8473787288599891
C-EEU-LVA,perm,mfh,2075,0.8494614746294046
C-EEU-LVA,perm,mfh,2080,0.8509983248753312
C-EEU-LVA,perm,mfh,2085,0.851934597230107
C-EEU-LVA,perm,mfh,2090,0.8522254200195717
C-EEU-LVA,perm,mfh,2095,0.8518398470841113
C-EEU-LVA,perm,mfh,2100,0.8507646204991267
C-EEU-LVA,perm,sfh,2015,0.19537978402174216
C-EEU-LVA,perm,sfh,2020,0.1908108667113718
C-EEU-LVA,perm,sfh,2025,0.18628398319909667
C-EEU-LVA,perm,sfh,2030,0.181819851911415
C-EEU-LVA,perm,sfh,2035,0.17744407108490554
C-EEU-LVA,perm,sfh,2040,0.17318762633467044
C-EEU-LVA,perm,sfh,2045,0.16908729597742012
C-EEU-LVA,perm,sfh,2050,0.16518587677306654
C-EEU-LVA,perm,sfh,2055,0.16153213366191016
C-EEU-LVA,perm,sfh,2060,0.15818036147084186
C-EEU-LVA,perm,sfh,2065,0.1551894397788518
C-EEU-LVA,perm,sfh,2070,0.15262127114001067
C-EEU-LVA,perm,sfh,2075,0.15053852537059534
C-EEU-LVA,perm,sfh,2080,0.14900167512466866
C-EEU-LVA,perm,sfh,2085,0.1480654027698928
C-EEU-LVA,perm,sfh,2090,0.14777457998042814
C-EEU-LVA,perm,sfh,2095,0.14816015291588844
C-EEU-LVA,perm,sfh,2100,0.14923537950087323
C-EEU-POL,perm,mfh,2015,0.6046432047322369
C-EEU-POL,perm,mfh,2020,0.6045929530552187
C-EEU-POL,perm,mfh,2025,0.6041839585419444
C-EEU-POL,perm,mfh,2030,0.6034627545394092
C-EEU-POL,perm,mfh,2035,0.6024687645416387
C-EEU-POL,perm,mfh,2040,0.6012385718354837
C-EEU-POL,perm,mfh,2045,0.5998096486038883
C-EEU-POL,perm,mfh,2050,0.5982238860581868
C-EEU-POL,perm,mfh,2055,0.5965311003056243
C-EEU-POL,perm,mfh,2060,0.5947925257120393
C-EEU-POL,perm,mfh,2065,0.5930841109362069
C-EEU-POL,perm,mfh,2070,0.5914991799979257
C-EEU-POL,perm,mfh,2075,0.5901497149819496
C-EEU-POL,perm,mfh,2080,0.5891652099495319
C-EEU-POL,perm,mfh,2085,0.5886878643381378
C-EEU-POL,perm,mfh,2090,0.5888630399218387
C-EEU-POL,perm,mfh,2095,0.5898246434848023
C-EEU-POL,perm,mfh,2100,0.5916765455505248
C-EEU-POL,perm,sfh,2015,0.39535679526776296
C-EEU-POL,perm,sfh,2020,0.39540704694478135
C-EEU-POL,perm,sfh,2025,0.39581604145805543
C-EEU-POL,perm,sfh,2030,0.3965372454605906
C-EEU-POL,perm,sfh,2035,0.39753123545836117
C-EEU-POL,perm,sfh,2040,0.3987614281645164
C-EEU-POL,perm,sfh,2045,0.4001903513961116
C-EEU-POL,perm,sfh,2050,0.40177611394181306
C-EEU-POL,perm,sfh,2055,0.40346889969437566
C-EEU-POL,perm,sfh,2060,0.40520747428796067
C-EEU-POL,perm,sfh,2065,0.40691588906379306
C-EEU-POL,perm,sfh,2070,0.4085008200020744
C-EEU-POL,perm,sfh,2075,0.40985028501805026
C-EEU-POL,perm,sfh,2080,0.410834790050468
C-EEU-POL,perm,sfh,2085,0.41131213566186203
C-EEU-POL,perm,sfh,2090,0.41113696007816125
C-EEU-POL,perm,sfh,2095,0.4101753565151977
C-EEU-POL,perm,sfh,2100,0.4083234544494751
C-EEU-ROU,perm,mfh,2015,0.4858966108242548
C-EEU-ROU,perm,mfh,2020,0.48441721059859644
C-EEU-ROU,perm,mfh,2025,0.48288041040159957
C-EEU-ROU,perm,mfh,2030,0.4812870689322344
C-EEU-ROU,perm,mfh,2035,0.4796400054638143
C-EEU-ROU,perm,mfh,2040,0.47794458273276075
C-EEU-ROU,perm,mfh,2045,0.4762094271413516
C-EEU-ROU,perm,mfh,2050,0.4744472951319218
C-EEU-ROU,perm,mfh,2055,0.4726760814970053
C-EEU-ROU,perm,mfh,2060,0.4709199418947582
C-EEU-ROU,perm,mfh,2065,0.46921046396283184
C-EEU-ROU,perm,mfh,2070,0.4675877655823596
C-EEU-ROU,perm,mfh,2075,0.46610132388917397
C-EEU-ROU,perm,mfh,2080,0.464810249427601
C-EEU-ROU,perm,mfh,2085,0.46378263236283324
C-EEU-ROU,perm,mfh,2090,0.4630935342880179
C-EEU-ROU,perm,mfh,2095,0.4628212305327221
C-EEU-ROU,perm,mfh,2100,0.4630414849126501
C-EEU-ROU,perm,sfh,2015,0.5141033891757452
C-EEU-ROU,perm,sfh,2020,0.5155827894014035
C-EEU-ROU,perm,sfh,2025,0.5171195895984004
C-EEU-ROU,perm,sfh,2030,0.5187129310677656
C-EEU-ROU,perm,sfh,2035,0.5203599945361856
C-EEU-ROU,perm,sfh,2040,0.5220554172672391
C-EEU-ROU,perm,sfh,2045,0.5237905728586483
C-EEU-ROU,perm,sfh,2050,0.5255527048680781
C-EEU-ROU,perm,sfh,2055,0.5273239185029948
C-EEU-ROU,perm,sfh,2060,0.5290800581052417
C-EEU-ROU,perm,sfh,2065,0.5307895360371682
C-EEU-ROU,perm,sfh,2070,0.5324122344176404
C-EEU-ROU,perm,sfh,2075,0.5338986761108261
C-EEU-ROU,perm,sfh,2080,0.535189750572399
C-EEU-ROU,perm,sfh,2085,0.5362173676371667
C-EEU-ROU,perm,sfh,2090,0.536906465711982
C-EEU-ROU,perm,sfh,2095,0.5371787694672779
C-EEU-ROU,perm,sfh,2100,0.5369585150873497
C-EEU-SVK,perm,mfh,2015,0.5040719646634813
C-EEU-SVK,perm,mfh,2020,0.5040051687876876
C-EEU-SVK,perm,mfh,2025,0.5039656061158373
C-EEU-SVK,perm,mfh,2030,0.5039456262641613
C-EEU-SVK,perm,mfh,2035,0.50393810700873
C-EEU-SVK,perm,mfh,2040,0.503936077931543
C-EEU-SVK,perm,mfh,2045,0.5039324194528283
C-EEU-SVK,perm,mfh,2050,0.5039196174330322
C-EEU-SVK,perm,mfh,2055,0.5038895664872001
C-EEU-SVK,perm,mfh,2060,0.5038334259167864
C-EEU-SVK,perm,mfh,2065,0.5037415420649743
C-EEU-SVK,perm,mfh,2070,0.5036034602768523
C-EEU-SVK,perm,mfh,2075,0.5034080578157645
C-EEU-SVK,perm,mfh,2080,0.5031438341884706
C-EEU-SVK,perm,mfh,2085,0.502799394194357
C-EEU-SVK,perm,mfh,2090,0.5023641473849537
C-EEU-SVK,perm,mfh,2095,0.5018292211377173
C-EEU-SVK,perm,mfh,2100,0.5011885408242546
C-EEU-SVK,perm,sfh,2015,0.49592803533651875
C-EEU-SVK,perm,sfh,2020,0.49599483121231236
C-EEU-SVK,perm,sfh,2025,0.49603439388416276
C-EEU-SVK,perm,sfh,2030,0.49605437373583877
C-EEU-SVK,perm,sfh,2035,0.49606189299127
C-EEU-SVK,perm,sfh,2040,0.4960639220684569
C-EEU-SVK,perm,sfh,2045,0.4960675805471717
C-EEU-SVK,perm,sfh,2050,0.49608038256696785
C-EEU-SVK,perm,sfh,2055,0.49611043351279993
C-EEU-SVK,perm,sfh,2060,0.49616657408321363
C-EEU-SVK,perm,sfh,2065,0.49625845793502565
C-EEU-SVK,perm,sfh,2070,0.4963965397231477
C-EEU-SVK,perm,sfh,2075,0.4965919421842356
C-EEU-SVK,perm,sfh,2080,0.4968561658115293
C-EEU-SVK,perm,sfh,2085,0.497200605805643
C-EEU-SVK,perm,sfh,2090,0.4976358526150463
C-EEU-SVK,perm,sfh,2095,0.4981707788622826
C-EEU-SVK,perm,sfh,2100,0.4988114591757453
C-EEU-SVN,perm,mfh,2015,0.4574200338762895
C-EEU-SVN,perm,mfh,2020,0.4574443802289587
C-EEU-SVN,perm,mfh,2025,0.4573512762075726
C-EEU-SVN,perm,mfh,2030,0.45715747480561475
C-EEU-SVN,perm,mfh,2035,0.4568771186881757
C-EEU-SVN,perm,mfh,2040,0.45652286816664983
C-EEU-SVN,perm,mfh,2045,0.4561067941846968
C-EEU-SVN,perm,mfh,2050,0.4556411235207257
