region_bld,urt,clim,year,value
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,0.07063962820728195
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,0.06757611680810312
C-EEU-BGR,urb,Zone_4A Mixed Humid,2050,0.06449391797641152
C-EEU-BGR,urb,Zone_4A Mixed Humid,2055,0.06144647021890393
C-EEU-BGR,urb,Zone_4A Mixed Humid,2060,0.05848630218537105
C-EEU-BGR,urb,Zone_4A Mixed Humid,2065,0.05566479203953877
C-EEU-BGR,urb,Zone_4A Mixed Humid,2070,0.05303194895416551
C-EEU-BGR,urb,Zone_4A Mixed Humid,2075,0.05063628190100525
C-EEU-BGR,urb,Zone_4A Mixed Humid,2080,0.04852485594716673
C-EEU-BGR,urb,Zone_4A Mixed Humid,2085,0.04674366445102001
C-EEU-BGR,urb,Zone_4A Mixed Humid,2090,0.04533844138145974
C-EEU-BGR,urb,Zone_4A Mixed Humid,2095,0.04435596632082471
C-EEU-BGR,urb,Zone_4A Mixed Humid,2100,0.043845750801840305
C-EEU-BGR,urb,Zone_5A Cool Humid,2010,0.4359244016931153
C-EEU-BGR,urb,Zone_5A Cool Humid,2015,0.4252988639784746
C-EEU-BGR,urb,Zone_5A Cool Humid,2020,0.4117222589323978
C-EEU-BGR,urb,Zone_5A Cool Humid,2025,0.3964615724875836
C-EEU-BGR,urb,Zone_5A Cool Humid,2030,0.37984097990697063
C-EEU-BGR,urb,Zone_5A Cool Humid,2035,0.3621845840419433
C-EEU-BGR,urb,Zone_5A Cool Humid,2040,0.3438162451158564
C-EEU-BGR,urb,Zone_5A Cool Humid,2045,0.3250593672190046
C-EEU-BGR,urb,Zone_5A Cool Humid,2050,0.30623662740606755
C-EEU-BGR,urb,Zone_5A Cool Humid,2055,0.28766963622393366
C-EEU-BGR,urb,Zone_5A Cool Humid,2060,0.2696785268097762
C-EEU-BGR,urb,Zone_5A Cool Humid,2065,0.25258148751205745
C-EEU-BGR,urb,Zone_5A Cool Humid,2070,0.2366942852594505
C-EEU-BGR,urb,Zone_5A Cool Humid,2075,0.2223298773886607
C-EEU-BGR,urb,Zone_5A Cool Humid,2080,0.20979827594413308
C-EEU-BGR,urb,Zone_5A Cool Humid,2085,0.1994068935629224
C-EEU-BGR,urb,Zone_5A Cool Humid,2090,0.19146162322324023
C-EEU-BGR,urb,Zone_5A Cool Humid,2095,0.18626882162842012
C-EEU-BGR,urb,Zone_5A Cool Humid,2100,0.18413811938804517
C-EEU-CZE,rur,Zone_5A Cool Humid,2010,0.411522612257873
C-EEU-CZE,rur,Zone_5A Cool Humid,2015,0.4213743294463076
C-EEU-CZE,rur,Zone_5A Cool Humid,2020,0.4277123028499483
C-EEU-CZE,rur,Zone_5A Cool Humid,2025,0.43102239871638964
C-EEU-CZE,rur,Zone_5A Cool Humid,2030,0.43167381758898965
C-EEU-CZE,rur,Zone_5A Cool Humid,2035,0.4300376438597857
C-EEU-CZE,rur,Zone_5A Cool Humid,2040,0.42648609176884833
C-EEU-CZE,rur,Zone_5A Cool Humid,2045,0.42139196054303796
C-EEU-CZE,rur,Zone_5A Cool Humid,2050,0.41512821481646905
C-EEU-CZE,rur,Zone_5A Cool Humid,2055,0.40806764585172284
C-EEU-CZE,rur,Zone_5A Cool Humid,2060,0.40058259521053546
C-EEU-CZE,rur,Zone_5A Cool Humid,2065,0.39304474284445506
C-EEU-CZE,rur,Zone_5A Cool Humid,2070,0.38582497927949677
C-EEU-CZE,rur,Zone_5A Cool Humid,2075,0.3792933967095306
C-EEU-CZE,rur,Zone_5A Cool Humid,2080,0.3738194434315106
C-EEU-CZE,rur,Zone_5A Cool Humid,2085,0.36977228434137577
C-EEU-CZE,rur,Zone_5A Cool Humid,2090,0.3675213898530452
C-EEU-CZE,rur,Zone_5A Cool Humid,2095,0.3674373314002803
C-EEU-CZE,rur,Zone_5A Cool Humid,2100,0.3698926963876741
C-EEU-CZE,sub,Zone_5A Cool Humid,2010,0.3322877605875026
C-EEU-CZE,sub,Zone_5A Cool Humid,2015,0.3346620991465014
C-EEU-CZE,sub,Zone_5A Cool Humid,2020,0.3356548183431566
C-EEU-CZE,sub,Zone_5A Cool Humid,2025,0.33527353686096545
C-EEU-CZE,sub,Zone_5A Cool Humid,2030,0.333687254440743
C-EEU-CZE,sub,Zone_5A Cool Humid,2035,0.3310669084144012
C-EEU-CZE,sub,Zone_5A Cool Humid,2040,0.3275843460810813
C-EEU-CZE,sub,Zone_5A Cool Humid,2045,0.32341145956986467
C-EEU-CZE,sub,Zone_5A Cool Humid,2050,0.3187194351455952
C-EEU-CZE,sub,Zone_5A Cool Humid,2055,0.3136780947519878
C-EEU-CZE,sub,Zone_5A Cool Humid,2060,0.3084553295089091
C-EEU-CZE,sub,Zone_5A Cool Humid,2065,0.30321664517035773
C-EEU-CZE,sub,Zone_5A Cool Humid,2070,0.298124858888861
C-EEU-CZE,sub,Zone_5A Cool Humid,2075,0.2933400041163232
C-EEU-CZE,sub,Zone_5A Cool Humid,2080,0.2890195134698075
C-EEU-CZE,sub,Zone_5A Cool Humid,2085,0.2853187535195158
C-EEU-CZE,sub,Zone_5A Cool Humid,2090,0.2823919750055284
C-EEU-CZE,sub,Zone_5A Cool Humid,2095,0.28039371117253686
C-EEU-CZE,sub,Zone_5A Cool Humid,2100,0.27948060216389686
C-EEU-CZE,urb,Zone_5A Cool Humid,2010,0.6260528755617835
C-EEU-CZE,urb,Zone_5A Cool Humid,2015,0.6317436908423774
C-EEU-CZE,urb,Zone_5A Cool Humid,2020,0.6336120815532492
C-EEU-CZE,urb,Zone_5A Cool Humid,2025,0.6314643385562413
C-EEU-CZE,urb,Zone_5A Cool Humid,2030,0.6258133714032301
C-EEU-CZE,urb,Zone_5A Cool Humid,2035,0.6171739331823906
C-EEU-CZE,urb,Zone_5A Cool Humid,2040,0.6060616966521224
C-EEU-CZE,urb,Zone_5A Cool Humid,2045,0.5929924749936117
C-EEU-CZE,urb,Zone_5A Cool Humid,2050,0.5784815255693746
C-EEU-CZE,urb,Zone_5A Cool Humid,2055,0.5630429052740249
C-EEU-CZE,urb,Zone_5A Cool Humid,2060,0.5471888723733632
C-EEU-CZE,urb,Zone_5A Cool Humid,2065,0.5314293564807253
C-EEU-CZE,urb,Zone_5A Cool Humid,2070,0.5162715474546399
C-EEU-CZE,urb,Zone_5A Cool Humid,2075,0.5022196846538103
C-EEU-CZE,urb,Zone_5A Cool Humid,2080,0.48977515545969497
C-EEU-CZE,urb,Zone_5A Cool Humid,2085,0.47943702675798106
C-EEU-CZE,urb,Zone_5A Cool Humid,2090,0.4717031210305095
C-EEU-CZE,urb,Zone_5A Cool Humid,2095,0.46707169418320466
C-EEU-CZE,urb,Zone_5A Cool Humid,2100,0.46604366534873604
C-EEU-EST,rur,Zone_6A Cold Humid,2010,0.11759180651122278
C-EEU-EST,rur,Zone_6A Cold Humid,2015,0.11893732550072968
