region_bld,material,year,eol_treat,value
C-EEU-BGR,steel,2050,reuse,0
C-EEU-BGR,steel,2055,downcycling,0
C-EEU-BGR,steel,2055,incineration,0
C-EEU-BGR,steel,2055,landfilling,0.00114069618597993
C-EEU-BGR,steel,2055,recycling,0.99885930381402
C-EEU-BGR,steel,2055,reuse,0
C-EEU-BGR,steel,2060,downcycling,0
C-EEU-BGR,steel,2060,incineration,0
C-EEU-BGR,steel,2060,landfilling,0.00114069618597993
C-EEU-BGR,steel,2060,recycling,0.99885930381402
C-EEU-BGR,steel,2060,reuse,0
C-EEU-BGR,steel,2065,downcycling,0
C-EEU-BGR,steel,2065,incineration,0
C-EEU-BGR,steel,2065,landfilling,0.00114069618597993
C-EEU-BGR,steel,2065,recycling,0.99885930381402
C-EEU-BGR,steel,2065,reuse,0
C-EEU-BGR,steel,2070,downcycling,0
C-EEU-BGR,steel,2070,incineration,0
C-EEU-BGR,steel,2070,landfilling,0.00114069618597993
C-EEU-BGR,steel,2070,recycling,0.99885930381402
C-EEU-BGR,steel,2070,reuse,0
C-EEU-BGR,steel,2075,downcycling,0
C-EEU-BGR,steel,2075,incineration,0
C-EEU-BGR,steel,2075,landfilling,0.00114069618597993
C-EEU-BGR,steel,2075,recycling,0.99885930381402
C-EEU-BGR,steel,2075,reuse,0
C-EEU-BGR,steel,2080,downcycling,0
C-EEU-BGR,steel,2080,incineration,0
C-EEU-BGR,steel,2080,landfilling,0.00114069618597993
C-EEU-BGR,steel,2080,recycling,0.99885930381402
C-EEU-BGR,steel,2080,reuse,0
C-EEU-BGR,steel,2085,downcycling,0
C-EEU-BGR,steel,2085,incineration,0
C-EEU-BGR,steel,2085,landfilling,0.00114069618597993
C-EEU-BGR,steel,2085,recycling,0.99885930381402
C-EEU-BGR,steel,2085,reuse,0
C-EEU-BGR,steel,2090,downcycling,0
C-EEU-BGR,steel,2090,incineration,0
C-EEU-BGR,steel,2090,landfilling,0.00114069618597993
C-EEU-BGR,steel,2090,recycling,0.99885930381402
C-EEU-BGR,steel,2090,reuse,0
C-EEU-BGR,steel,2095,downcycling,0
C-EEU-BGR,steel,2095,incineration,0
