,year,region_bld,clim,arch,urt,value
81,2015,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,0.225
82,2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,0.21
83,2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,0.134
84,2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,0.174
85,2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,0.214
86,2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,0.224
87,2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,0.178
88,2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,0.166
89,2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,0.167
90,2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,0.242
91,2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,0.208
92,2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,0.163
93,2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,0.139
94,2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,rur,0.296
95,2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,urb,0.18
96,2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,rur,0.192
97,2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,urb,0.127
98,2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,rur,0.161
99,2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,urb,0.24
100,2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,rur,0.092
101,2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,urb,0.082
102,2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,rur,0.195
103,2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,urb,0.191
104,2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,rur,0.173
105,2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,urb,0.092
106,2015,C-WEU-CYP,Zone_3A Warm Humid,mfh,urb,0.283
107,2015,C-WEU-CYP,Zone_3A Warm Humid,sfh,urb,0.279
108,2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,rur,0.098
109,2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,urb,0.07
110,2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,rur,0.054
111,2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,urb,0.037
112,2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,rur,0.139
113,2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,urb,0.087
114,2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,rur,0.067
115,2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,urb,0.044
116,2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,rur,0.142
117,2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,urb,0.118
118,2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,rur,0.075
119,2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,urb,0.062
