DATAFLOW,LAST UPDATE,freq,deg_urb,hhcomp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Switzerland,2023,117.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Cyprus,2023,149.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Czechia,2023,89.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Germany,2023,108.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Denmark,2023,132.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Euro area – 20 countries (2023-2025),2023,111.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Estonia,2023,81.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Greece,2023,94.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Spain,2023,115.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,European Union - 27 countries (from 2020),2023,108.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Finland,2023,105.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,France,2023,100.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Croatia,2023,105.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Hungary,2023,94.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Ireland,2023,,u,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Italy,2023,102.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Lithuania,2023,74.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Luxembourg,2023,132.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Latvia,2023,85.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,North Macedonia,2023,111.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Malta,2023,148.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Netherlands,2023,146.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Norway,2023,142.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Poland,2023,104.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Portugal,2023,132.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Romania,2023,57.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Serbia,2023,89.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Sweden,2023,108.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Slovenia,2023,104.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Towns and suburbs,Total,Square metre,Slovakia,2023,95.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Austria,2023,133.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Belgium,2023,155.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Bulgaria,2023,87.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Switzerland,2023,127.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Cyprus,2023,158.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Czechia,2023,105.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Germany,2023,124.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Denmark,2023,146.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Euro area – 20 countries (2023-2025),2023,120.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Estonia,2023,98.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Greece,2023,97.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Spain,2023,131.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,European Union - 27 countries (from 2020),2023,114.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Finland,2023,121.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,France,2023,116.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Croatia,2023,108.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Hungary,2023,100.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Ireland,2023,,u,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Italy,2023,107.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Lithuania,2023,83.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Luxembourg,2023,171.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Latvia,2023,95.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,North Macedonia,2023,107.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Malta,2023,139.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Netherlands,2023,161.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Norway,2023,151.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Poland,2023,118.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Portugal,2023,134.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Romania,2023,58.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Serbia,2023,100.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Sweden,2023,111.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Slovenia,2023,110.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Rural areas,Total,Square metre,Slovakia,2023,118.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Austria,2023,110.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Belgium,2023,145.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Bulgaria,2023,81.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Switzerland,2023,112.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Cyprus,2023,149.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Czechia,2023,91.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Germany,2023,103.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Denmark,2023,126.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Euro area – 20 countries (2023-2025),2023,106.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Estonia,2023,80.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Greece,2023,92.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Spain,2023,106.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,European Union - 27 countries (from 2020),2023,102.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Finland,2023,102.0,,
