DATAFLOW,LAST UPDATE,freq,rskpovth,building,deg_urb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Latvia,2021,38.3,u,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Latvia,2025,33.3,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,North Macedonia,2021,9.6,b,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Malta,2021,31.5,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Malta,2025,41.0,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Netherlands,2021,14.3,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Netherlands,2025,17.3,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Norway,2021,14.8,b,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Norway,2025,16.0,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Poland,2021,27.1,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Poland,2025,26.0,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Portugal,2021,30.4,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Portugal,2025,32.0,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Romania,2021,24.2,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Romania,2025,25.8,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Serbia,2021,20.1,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Serbia,2025,23.6,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Sweden,2021,26.5,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Sweden,2025,28.1,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Slovenia,2021,11.5,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Slovenia,2025,10.6,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Slovakia,2021,19.7,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Cities,Percentage,Slovakia,2025,18.3,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Albania,2021,6.3,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Austria,2021,13.7,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Austria,2025,13.6,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Belgium,2021,7.4,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Belgium,2025,8.5,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Bulgaria,2021,9.6,,
ESTAT:ILC_LVHO01(1.0),06/05/26 23:00:00,Annual,Total,Flat,Towns and suburbs,Percentage,Bulgaria,2025,10.7,,
